T355292	-0.1569	0.250
T275568	0.1073	0.430
T135202	-0.1937	0.180
T019989	0.0678	0.630
T190264	-0.0198	0.880
T324413	0.3021	0.017
T324412	0.277	0.041
T324410	0.2356	0.057
T324416	0.3195	0.0098
T324414	0.2111	0.110
T231786	-0.0455	0.740
T107549	0.0241	0.860
T074554	-0.1329	0.360
T073016	0.2200	0.087
T073015	0.2634	0.065
T327855	0.0131	0.920
T218701	-0.0080	0.950
T327859	-0.0868	0.540
T073019	0.2467	0.079
T093996	-0.2738	0.056
T085771	0.0269	0.830
T181493	-0.0605	0.660
T348280	-0.204	0.100
T248987	-0.1054	0.430
T117944	-0.0978	0.530
T169470	0.1279	0.370
T128248	0.0750	0.600
T125427	-0.074	0.600
T284448	0.0698	0.620
T205376	-0.0228	0.870
T214861	-0.2691	0.066
T139945	0.1057	0.450
T139412	0.0827	0.550
T200383	-0.0445	0.740
T320554	0.0673	0.650
T078794	0.0543	0.710
T018350	0.0837	0.550
T110327	0.0855	0.560
T151603	0.0663	0.640
T359449	-0.1448	0.300
T254677	0.1703	0.180
T254672	0.1195	0.350
T254670	0.0710	0.610
T353403	0.0998	0.500
T254678	-0.0905	0.520
T098325	0.0658	0.620
T333063	-0.0312	0.830
T291191	0.1430	0.290
T176285	-0.2301	0.100
T250117	-0.1596	0.240
T261545	-0.1511	0.310
T261544	-0.1477	0.320
T048595	0.0146	0.920
T378637	-0.1313	0.33
T333819	-0.0668	0.59
T247954	-0.0495	0.730
T168482	-0.1240	0.360
T168481	-0.0218	0.880
T230009	-0.0185	0.890
T114379	0.1739	0.210
T314380	0.132	0.350
T061702	-0.2233	0.100
T061258	0.1247	0.380
T060079	0.0744	0.580
T364581	-0.0585	0.650
T195198	-0.0451	0.740
T066953	-0.1197	0.380
T050359	0.0247	0.840
T180441	-0.1194	0.370
T240984	0.1564	0.260
T302771	0.1209	0.360
T350607	-0.0645	0.620
T152186	-0.1150	0.420
T023588	-0.2001	0.130
T136494	0.2720	0.060
T123737	-0.154	0.300
T066031	0.1065	0.420
T285014	-0.1186	0.400
T148768	0.1879	0.170
T256648	0.0117	0.930
T115222	-0.1099	0.460
T115221	0.1841	0.160
T153365	0.194	0.140
T205747	-0.1467	0.270
T205748	-0.0416	0.760
T129676	0.0109	0.930
T129677	-0.1678	0.250
T129675	0.0729	0.610
T272008	-0.1672	0.230
T230701	-0.1817	0.210
T129959	0.0802	0.550
T177475	-0.2687	0.081
T196170	-0.0451	0.740
T294244	-0.0314	0.830
T125569	0.00391	0.980
T309376	0.0967	0.480
T129451	0.0326	0.800
T130155	-0.0162	0.910
T130156	-0.0562	0.670
T324337	-0.0205	0.880
T102504	0.1514	0.240
T212633	-0.0603	0.65
T227657	-0.1802	0.210
T129955	-0.1112	0.390
T121286	-0.0495	0.740
T373973	-0.0937	0.500
T171355	-0.0584	0.680
T159183	0.0418	0.780
T074090	-0.0683	0.620
T117175	-0.0833	0.510
T158634	0.1422	0.310
T074099	-0.1174	0.400
T074098	-0.1713	0.230
T241117	0.0553	0.700
T331376	0.1000	0.470
T165981	-0.0832	0.540
T126035	0.174	0.170
T126034	-0.0347	0.800
T334257	-0.0583	0.680
T182926	0.0199	0.870
T229128	-0.2670	0.049
T306889	0.2311	0.110
T177897	0.2032	0.13
T306887	0.1758	0.200
T188120	0.00209	0.990
T061397	-0.1085	0.47
T061395	0.0277	0.840
T274516	-0.1342	0.350
T126159	0.2578	0.068
T150556	-0.1147	0.420
T150550	-0.0712	0.600
T333158	-0.0895	0.480
T216399	0.108	0.440
T217446	0.0658	0.630
T375533	0.1034	0.450
T145003	-0.00534	0.970
T334872	-0.1270	0.330
T067941	-0.0480	0.740
T312723	-0.1113	0.430
T180386	0.00373	0.980
T307687	0.1655	0.200
T202998	-0.0400	0.770
T060449	0.179	0.180
T202990	0.0446	0.730
T224837	0.0896	0.470
T026197	0.00448	0.970
T045664	-0.0231	0.880
T173769	0.000846	1.00
T156491	0.0578	0.68
T031872	0.0679	0.600
T371236	0.1622	0.220
T031878	0.2285	0.063
T076550	0.2417	0.081
T081667	0.0355	0.800
T356489	-0.0295	0.830
T085712	-0.0618	0.670
T055152	-0.152	0.260
T044900	-0.1254	0.370
T238488	-0.0542	0.690
T371496	0.1290	0.370
T329662	-0.2591	0.07
T252688	0.1309	0.280
T252689	-0.0401	0.760
T131417	-0.1429	0.29
