T299193	0.0455	0.80
T355292	-0.14031	0.51
T275568	-0.2321	0.29
T019989	-0.2232	0.25
T275564	-0.1352	0.53
T190264	-0.11132	0.56
T324413	0.2379	0.23
T324412	0.00783	0.97
T324410	0.1619	0.42
T324416	0.27855	0.17
T324414	0.2118	0.25
T231786	-0.124138	0.50
T074554	-0.1990	0.31
T073016	0.0258	0.90
T327855	0.06536	0.73
T218701	0.1701	0.36
T327859	-0.2907	0.20
T073019	0.1155	0.59
T093996	0.1389	0.43
T085771	-0.1614	0.39
T181493	0.00739	0.97
T348280	-0.3444	0.11
T248987	-0.3022	0.14
T117944	-0.8164	0.00053
T169470	-0.2936	0.12
T128248	0.1695	0.39
T125427	-0.5863	0.0098
T362204	0.2187	0.30
T263567	-0.2294	0.30
T284448	0.1209	0.54
T205376	-0.5769	0.0033
T214861	-0.2930	0.12
T139945	0.1583	0.41
T139412	-0.1249	0.53
T200383	-0.7138	0.00082
T320554	0.24012	0.19
T078794	-0.2403	0.23
T018350	0.0046	0.98
T164978	-0.1197	0.55
T110327	0.1583	0.43
T151603	0.0741	0.71
T359449	-0.00335	0.99
T254677	0.00815	0.97
T254672	0.1003	0.62
T254670	0.1506	0.49
T353403	-0.1483	0.52
T089600	-0.4727	0.048
T098325	0.2897	0.11
T333063	-0.3139	0.11
T291191	-0.0728	0.72
T310278	-0.07077	0.73
T176285	-0.6677	0.0035
T250117	0.1768	0.41
T261545	-0.2716	0.15
T261544	-0.2841	0.14
T048595	-0.67195	0.006
T378637	-0.0081	0.96
T333819	0.0213	0.91
T247954	0.1706	0.42
T168482	0.15266	0.43
T168481	-0.0256	0.89
T230009	-0.2271	0.25
T114379	0.2806	0.17
T314380	0.0370	0.85
T160461	-0.196	0.35
T061702	-0.2650	0.21
T061258	-0.0251	0.89
T060079	-0.0312	0.88
T364581	-0.1581	0.45
T195198	-0.4509	0.026
T050359	0.09383	0.63
T180441	-0.0333	0.85
T240984	0.2545	0.19
T302771	-0.3678	0.06
T350607	-0.0934	0.64
T152186	0.1356	0.49
T023588	-0.7550	0.0032
T136494	-0.3061	0.17
T123737	-0.4335	0.03
T066031	-0.1549	0.42
T285014	-0.3466	0.11
T148768	0.2054	0.33
T115222	0.0192	0.91
T115221	0.04995	0.79
T203742	0.2656	0.20
T153365	-0.2107	0.30
T205747	-0.05633	0.80
T205748	0.2653	0.19
T315547	-0.0276	0.90
T129676	-0.6607	0.00096
T129677	-0.1399	0.43
T129675	0.0628	0.74
T128246	0.2019	0.33
