T355292	-0.3699	2.4e-02
T275568	-0.0310	8.2e-01
T135202	-0.2070	1.3e-01
T019989	-0.2208	1.1e-01
T190264	0.1487	2.9e-01
T324413	0.2090	1.3e-01
T324412	0.1938	1.7e-01
T324410	0.1707	2.3e-01
T324416	0.1619	2.7e-01
T324415	0.207	1.5e-01
T324414	0.2468	7.8e-02
T231786	0.161	2.7e-01
T107549	-0.1786	2.0e-01
T074554	-0.1368	2.8e-01
T073016	-0.0295	8.3e-01
T073015	-0.2400	8.5e-02
T327855	0.0943	4.7e-01
T218701	0.2153	1.1e-01
T327859	0.0284	8.3e-01
T073019	-0.1733	2.1e-01
T093996	-0.021	8.7e-01
T085771	-0.1810	2.3e-01
T181493	0.2048	1.3e-01
T348280	-0.0249	8.5e-01
T117944	-0.1534	2.6e-01
T169470	-0.1965	1.6e-01
T128248	0.2260	1.4e-01
T125427	0.0076	9.5e-01
T263567	0.131	3.3e-01
T284448	0.0325	8.2e-01
T205376	-0.2760	6.3e-02
T214861	0.2554	5.5e-02
T139945	-0.1722	2.3e-01
T139412	-0.1314	3.6e-01
T139948	-0.2359	1.0e-01
T200383	0.1159	3.8e-01
T108013	0.1770	2.7e-01
T078794	-0.2523	7.8e-02
T018350	0.1446	2.9e-01
T110324	0.3617	1.1e-02
T164978	-0.2060	1.7e-01
T110327	-0.3260	2.6e-02
T151603	0.0262	8.6e-01
T006917	0.1985	1.4e-01
T359449	-0.0514	7.2e-01
T321612	-0.3267	3.2e-02
T218568	-0.1174	4.4e-01
T111815	-0.1411	3.4e-01
T098325	-0.0135	9.2e-01
T333063	0.4148	1.4e-03
T310278	0.0810	5.7e-01
T176285	0.0690	6.6e-01
T119685	-0.4400	1.8e-03
T250117	-0.0362	8.0e-01
T261545	-0.0341	8.1e-01
T261544	-0.0358	8.0e-01
T048595	-0.1698	2.4e-01
T378637	0.0991	4.7e-01
T200290	-0.2214	9.2e-02
T333819	0.2536	5.6e-02
T195261	-0.3171	1.8e-02
T200298	-0.0119	9.3e-01
T247954	0.2005	1.7e-01
T168482	-0.00971	9.5e-01
T168481	0.0186	8.9e-01
T230009	-0.0911	5.8e-01
T114379	0.0433	7.4e-01
T314380	-0.1029	4.3e-01
T061702	-0.1234	4.0e-01
T342426	-0.0228	8.7e-01
T061258	-0.0677	6.5e-01
T060078	-0.2699	6.0e-02
T060079	-0.3022	2.7e-02
T364581	0.1083	4.2e-01
T195198	-0.1010	4.2e-01
T336822	-0.3384	1.3e-02
T066953	-0.1301	3.6e-01
T050359	-0.2309	1.1e-01
T180441	0.0540	6.9e-01
T121843	-0.1119	5.0e-01
T240984	0.0210	8.8e-01
T240985	-0.1543	2.4e-01
T247405	-0.2182	1.3e-01
T302771	0.0298	8.3e-01
T350607	-0.2681	4.2e-02
T306063	0.0261	8.6e-01
T152186	0.0564	7.0e-01
T194027	-0.0107	9.4e-01
T194026	-0.0253	8.6e-01
T136494	-0.4242	3.1e-03
T194024	-0.1629	2.8e-01
T242581	0.0588	6.9e-01
T235786	-0.3073	2.2e-02
T235787	-0.2924	3.5e-02
T123737	-0.0749	5.8e-01
T066031	-0.337	1.9e-02
T285014	0.1937	1.9e-01
T148768	0.3954	2.6e-03
T115222	0.1434	3.1e-01
T115221	0.0420	7.6e-01
T203742	0.0298	8.2e-01
T305441	-0.3746	1.9e-02
T153365	0.0325	8.2e-01
T153369	0.0927	5.3e-01
T205747	0.1632	2.6e-01
T172376	-0.3834	9.9e-03
T205748	0.2766	4.6e-02
T129676	-0.1606	2.5e-01
T129677	0.1770	2.1e-01
T129675	0.0636	6.6e-01
T272008	0.3137	1.7e-02
T044481	0.0136	9.2e-01
T230701	-0.0906	5.1e-01
T129959	-0.1664	2.3e-01
T177475	0.1537	2.6e-01
T196170	-0.0679	6.1e-01
T288764	-0.1645	2.5e-01
T294244	-0.0277	8.4e-01
T309376	0.0753	5.8e-01
T129450	0.0219	8.8e-01
T129451	-0.3266	2.1e-02
T130155	-0.2243	1.3e-01
T130156	-0.1979	1.7e-01
T324337	0.1962	1.4e-01
T102504	-0.2153	1.3e-01
T281576	-0.1336	3.2e-01
T212634	0.0486	7.1e-01
T212633	0.1741	1.9e-01
T129955	0.0671	5.9e-01
T121286	0.1198	3.8e-01
T373973	0.1379	2.8e-01
T171355	-0.2392	7.2e-02
T159183	-0.0228	8.9e-01
T074090	-0.0247	8.3e-01
T117175	-0.120	3.6e-01
T158634	-0.2245	1.1e-01
T074099	0.0662	6.1e-01
T074098	0.0728	5.6e-01
T241117	-0.0607	6.5e-01
T165981	0.1276	3.5e-01
T272729	0.0683	6.1e-01
T126035	-0.1377	3.5e-01
