T275568	-0.4098	0.370
T135202	0.4547	0.340
T190264	0.8978	0.200
T324410	-0.2013	0.70
T231786	1.1189	0.097
T074554	-0.1151	0.770
T327855	0.3997	0.500
T218701	0.0290	0.950
T327859	0.226	0.540
T093996	0.1185	0.760
T085771	0.7028	0.110
T181493	0.3089	0.450
T348280	-0.884	0.066
T248987	-0.6498	0.130
T117944	0.2183	0.680
T169470	-0.2756	0.630
T128248	1.072	0.057
T284448	0.6039	0.210
T205376	0.1914	0.710
T139945	0.3152	0.540
T139412	-0.00745	0.980
T200383	0.1677	0.740
T320554	0.3753	0.400
T078794	0.7353	0.160
T018350	-0.6928	0.16
T110327	-0.2990	0.49
T151603	0.9129	0.071
T359449	-0.6096	0.31
T254677	0.1633	0.710
T254672	1.0066	0.099
T353403	0.992	0.160
T098325	-0.7072	0.150
T333063	0.0316	0.930
T176285	-0.1492	0.720
T250117	-0.3274	0.490
T048595	-0.3776	0.33
T333819	-0.1744	0.690
T247954	0.3352	0.36
T168482	0.4730	0.230
T168481	0.5755	0.240
T314380	0.2093	0.570
T061702	-0.1984	0.680
T061258	0.0792	0.870
T243187	-0.1402	0.730
T060078	0.1471	0.730
T060079	0.0276	0.940
T195198	0.1041	0.830
T067731	0.5969	0.14
T336822	0.0983	0.820
T050359	0.1322	0.75
T180441	0.2860	0.500
T302771	-0.4631	0.310
T350607	1.3318	0.019
T152186	0.4866	0.390
T023588	0.0725	0.870
T136494	0.9101	0.12
T123737	0.938	0.190
T066031	0.0383	0.920
T148768	-0.6725	0.24
T099562	0.4318	0.430
T115222	1.0578	0.079
T115221	1.50	0.070
T153365	-0.56	0.150
T205747	-0.1606	0.71
T205748	-0.4190	0.390
T129676	0.2206	0.610
T129677	-0.3317	0.47
T129675	0.6907	0.220
T128246	0.6738	0.210
T272008	0.2480	0.590
T230701	0.499	0.270
T129959	0.1620	0.740
T177475	0.4088	0.450
T196170	-0.2823	0.440
T294244	0.4492	0.260
T065634	-0.2995	0.470
T309376	0.4349	0.390
T129451	-0.0560	0.900
T130155	-0.00169	1.000
T130156	-0.703	0.130
T324337	1.259	0.065
T102504	0.6971	0.100
T212633	-0.0989	0.840
T227657	0.5721	0.260
T121286	0.833	0.170
T373973	0.1612	0.730
T171355	1.7565	0.022
T074090	0.6770	0.300
T158634	0.3361	0.46
T074099	0.5534	0.27
T074098	0.1525	0.700
T241117	0.3935	0.460
T165981	0.8704	0.079
T126035	0.152	0.660
T126034	0.1039	0.810
T334257	0.0439	0.930
T182926	0.2785	0.490
T229128	-0.3251	0.43
T306889	0.7267	0.200
T177897	-0.3284	0.48
T306887	0.5038	0.350
T188120	-0.0732	0.89
T061395	0.4698	0.25
T274516	0.5024	0.210
T126159	0.808	0.100
T150550	-0.145	0.780
T333158	0.3113	0.490
T216399	0.6107	0.23
T217446	0.5381	0.230
T375533	0.5248	0.24
T004456	-0.562	0.230
T145003	0.9313	0.110
T334872	-0.2159	0.620
T226169	0.3056	0.400
T060669	0.3373	0.520
T206054	-0.1020	0.800
T180386	0.3617	0.300
T307687	0.5681	0.220
T202996	0.5108	0.400
T060449	0.1573	0.630
T224837	-0.9583	0.190
T026197	0.133	0.700
T045664	0.6755	0.220
T173769	-0.3022	0.530
T156491	0.4947	0.270
T031872	-0.2077	0.600
T371236	0.0802	0.85
T031878	0.5885	0.230
T076550	0.3068	0.500
T356489	0.9094	0.180
T055152	-0.4333	0.410
T044900	0.6796	0.200
T238488	-0.4121	0.42
T329662	0.1988	0.680
T252688	0.1348	0.840
T131417	-0.595	0.23
T252683	1.263	0.016
T149821	0.650	0.250
T237047	-0.3517	0.490
T009216	-0.1215	0.78
T018355	0.400	0.360
T253488	0.5336	0.400
T087627	0.2991	0.470
T154791	0.4598	0.430
T154062	-0.4971	0.35
T330617	0.0728	0.880
T380574	0.612	0.200
T216095	-0.6476	0.20
T196786	-0.6812	0.15
T196789	-0.3481	0.540
T004062	-0.6017	0.290
T065407	-0.3367	0.51
T335649	0.0481	0.880
T048144	1.173	0.051
T114088	0.3582	0.480
T301689	-0.515	0.270
T301683	-0.2916	0.530
T301681	0.0497	0.910
T301684	0.2570	0.550
T008165	-0.2892	0.50
T082674	0.1762	0.680
T082671	0.6225	0.200
T251082	-0.3450	0.490
T345416	0.2180	0.700
T226842	0.342	0.46
T235237	0.7700	0.160
T031011	-0.0447	0.930
T061273	0.8026	0.14
T032282	0.4144	0.42
T028625	-0.0674	0.880
T174358	-0.1663	0.71
T362814	-0.1232	0.830
T244225	0.2471	0.630
T063691	0.0629	0.910
T175914	0.00271	1.000
T123753	1.45	0.034
T307745	0.5517	0.290
T233174	-0.1013	0.810
T133951	-0.0584	0.870
T093217	-0.2330	0.60
T153565	-0.4977	0.290
T205503	0.0796	0.850
T205505	0.7229	0.220
T030862	-0.0249	0.960
T030861	-0.228	0.610
T066064	-0.0071	0.99
T232333	0.836	0.091
T334719	-0.1622	0.75
T303449	-0.414	0.400
T303448	-0.580	0.190
T014702	-0.3178	0.50
T346493	0.7607	0.15
T042211	0.755	0.15
T128529	0.00272	0.990
T141628	-0.0581	0.890
T166425	0.5431	0.220
T105518	-0.1463	0.760
T346727	-0.4965	0.240
T346726	0.0634	0.880
T370751	0.0281	0.940
T081835	0.7957	0.130
T351663	0.1588	0.74
T330111	0.3270	0.400
T314610	-0.6536	0.15
T172132	0.0866	0.870
T166615	0.4194	0.260
T021357	-0.4526	0.29
T064965	-0.1694	0.710
T021359	-0.4023	0.430
T225819	0.9999	0.100
T316759	-0.7553	0.11
T013531	0.4444	0.420
T311397	-0.1292	0.79
T133178	0.5342	0.330
T321584	0.2541	0.60
T115742	1.384	0.031
T317392	-0.778	0.22
T380633	0.2419	0.640
T145024	0.0131	0.970
T307913	1.1653	0.077
T334850	-0.0491	0.930
T203592	0.6974	0.130
T213034	-0.0483	0.920
T364173	0.790	0.170
T269318	0.1451	0.730
T080164	0.2845	0.49
T142552	0.3430	0.390
T142553	0.4567	0.310
T002642	0.0555	0.920
T348716	0.5586	0.27
T163561	-0.903	0.088
T163562	-1.152	0.064
T302636	0.7821	0.15
T234599	-0.585	0.29
T017152	0.6327	0.280
T050475	0.5799	0.190
T174167	-0.1436	0.780
T023464	-0.2566	0.62
T165464	0.0716	0.850
T139635	-0.0362	0.910
T138854	0.3960	0.420
T138855	0.5112	0.200
T301744	0.242	0.600
T138853	0.559	0.260
T214354	-0.3772	0.270
T347609	0.4716	0.300
T232291	-0.700	0.074
T134118	1.1571	0.100
T006483	-0.5703	0.340
T006482	-0.830	0.130
T303584	0.1553	0.720
T196766	-0.6307	0.220
T212172	-1.201	0.021
T219477	0.3236	0.480
T219474	0.4208	0.38
T219472	0.2186	0.610
T011263	-0.8770	0.130
T115171	-0.610	0.240
T350782	0.1096	0.820
T257678	0.00334	1.000
T124030	0.1427	0.800
T257672	0.6675	0.180
T253312	-0.0047	0.990
T110182	-0.2864	0.540
T034495	-0.00625	0.990
T363042	-0.1628	0.74
T052341	1.361	0.053
T043562	0.0904	0.840
T183455	0.4302	0.360
T017712	0.3443	0.440
T321643	0.4196	0.420
T015570	-0.9360	0.150
T363301	0.0413	0.930
T175026	0.2868	0.530
T175025	-0.1982	0.660
T302345	0.5969	0.190
T170471	0.1181	0.790
T132184	0.2513	0.680
T071362	0.7849	0.120
T282276	-0.8282	0.085
T010930	0.1914	0.660
T010931	0.3563	0.330
T206046	0.4982	0.260
T275816	-0.1627	0.690
T170654	0.3589	0.450
T184453	-0.0555	0.910
T184100	0.2768	0.480
T215910	0.4419	0.28
T184450	0.4807	0.240
T313640	-0.3410	0.560
T082929	0.8130	0.081
T364549	0.1866	0.720
T364547	0.2478	0.540
T038491	0.1475	0.700
T072147	-0.0834	0.840
T217036	0.551	0.260
T260018	0.0224	0.950
T375615	0.1667	0.670
T070283	-0.9356	0.050
T004642	-0.3519	0.52
T153890	0.1547	0.720
T048440	1.0027	0.073
T181972	-0.5137	0.24
T309756	0.1303	0.770
T249156	-1.8924	0.04
T205783	-1.1512	0.085
T120518	0.758	0.120
T176835	0.563	0.210
T017578	-0.1130	0.790
T356780	0.2184	0.630
T127898	0.0246	0.940
T142346	-0.3756	0.440
T127418	-0.1881	0.66
T043711	-0.2173	0.620
T101373	-1.9026	0.019
T340567	0.5252	0.410
T125480	0.5056	0.29
T012645	0.3552	0.530
T122173	-0.3100	0.40
T095092	0.0424	0.930
T236072	0.0487	0.900
T295238	-0.5079	0.34
T018097	-0.3625	0.53
T311009	0.1631	0.680
T296205	0.1886	0.560
T272952	-0.0571	0.890
T272951	0.1051	0.810
T338492	-0.8231	0.130
T027958	1.3960	0.025
T027959	0.1726	0.640
T287545	0.0256	0.960
T287546	0.00916	0.980
T196864	0.9115	0.042
T286149	-0.8616	0.100
T059999	0.2670	0.470
T009407	-0.1291	0.740
T200009	0.6185	0.230
T382727	-0.0017	1.000
T200005	0.0249	0.950
T036712	0.1665	0.690
T036710	-0.1536	0.76
T123738	0.4493	0.25
T217484	-0.921	0.15
T109790	0.5646	0.220
T164132	0.3782	0.400
T164137	0.2330	0.490
T229471	-2.315	0.025
T068457	0.3753	0.370
T180348	0.2008	0.630
T180347	0.7394	0.110
T318359	0.6087	0.180
T186847	1.052	0.110
T191060	0.9695	0.150
T248563	-1.0156	0.071
T272470	0.850	0.058
T234355	0.2616	0.610
T141182	0.6083	0.250
T040199	0.4361	0.340
T039355	-0.2238	0.510
T072636	0.7857	0.160
T093641	0.246	0.560
T093645	-0.3282	0.400
T074283	-0.0693	0.880
T141985	0.3355	0.480
T322753	0.4108	0.420
T074289	0.0432	0.900
T346024	0.711	0.190
T302619	0.4308	0.390
T106671	0.480	0.320
T243808	-0.5276	0.24
T162496	0.2012	0.640
T290659	0.3584	0.390
T117615	-0.4916	0.280
T071011	0.0315	0.930
T174146	-0.1473	0.770
T287594	-0.2526	0.51
T128222	0.7425	0.092
T206254	-0.1744	0.720
T206255	-0.0772	0.860
T351417	0.327	0.570
T241435	-0.3374	0.500
T340972	0.4078	0.310
T075627	-0.4628	0.38
T350231	1.062	0.078
T350233	-0.0757	0.880
T350234	0.4591	0.360
T062970	0.6050	0.240
T115110	-0.4411	0.29
T307142	-0.3983	0.430
T063374	-0.0963	0.80
T042364	-0.0160	0.970
T010075	1.1066	0.071
T287156	0.115	0.810
T010079	0.3225	0.490
T301609	0.2857	0.600
T216234	0.2173	0.490
T158208	0.1124	0.790
T158207	0.1007	0.790
T377770	-0.00393	0.990
T367184	-0.2811	0.570
T238556	0.3009	0.580
T238557	0.1779	0.740
T114645	-0.2813	0.590
T238558	-0.0714	0.870
T254340	-0.609	0.280
T078556	1.4573	0.029
T078802	0.2898	0.490
T250319	0.943	0.058
T334335	-0.0370	0.930
T288899	0.1005	0.870
T168429	0.0851	0.840
T073718	-0.144	0.690
T367231	-0.565	0.340
T082949	-0.984	0.14
