T299193	0.01852	0.90
T275568	0.1516	0.28
T135202	0.22966	0.11
T019989	0.0528	0.69
T275564	-0.00864	0.95
T190264	0.1978	0.15
T324413	0.3942	0.0046
T324412	0.12599	0.39
T324410	0.42955	0.0015
T324416	0.30140	0.032
T324415	0.13555	0.37
T324414	0.36668	0.0083
T231786	0.10487	0.46
T107549	0.20277	0.13
T197902	-0.11727	0.42
T074554	0.28101	0.057
T073016	0.04365	0.75
T073015	0.04982	0.74
T351126	0.25378	0.08
T327855	0.24261	0.085
T218701	0.15211	0.25
T327859	0.22110	0.10
T073019	0.08563	0.53
T093996	-0.000134	1.00
T085771	0.459636	0.00089
T181493	0.1283	0.33
T348280	-0.17749	0.21
T117944	0.29672	0.036
T169470	0.1632	0.25
T128248	0.15045	0.29
T125427	-0.02225	0.89
T063868	-0.01819	0.89
T263567	0.06509	0.64
T284448	0.27017	0.072
T214861	-0.0437	0.75
T139945	-0.01017	0.94
T139412	0.02505	0.85
T200383	0.26529	0.063
T350291	0.11677	0.43
T108013	0.14734	0.32
T320554	0.1969	0.18
T078794	0.25045	0.087
T018350	0.26371	0.055
T110324	0.14243	0.29
T110327	0.30483	0.021
T197900	-0.0493	0.73
T151603	0.19922	0.14
T359449	-0.26538	0.097
T254677	0.30382	0.037
T254672	0.36346	0.012
T254670	0.29217	0.04
T254678	0.1299	0.40
T098325	0.2048	0.17
T333063	0.1288	0.34
T291198	0.18265	0.18
T176285	0.1376	0.31
T220163	0.06163	0.66
T250117	0.000458	1.00
T048595	0.09590	0.50
T378637	0.29258	0.029
T200290	0.11376	0.42
T333819	0.25074	0.082
T195261	0.20120	0.15
T168482	-0.11591	0.41
T168481	0.20864	0.11
T230009	-0.10429	0.51
T114379	0.17279	0.20
T314380	0.1247	0.36
T061702	0.15909	0.25
T243187	-0.14276	0.35
T060078	0.17827	0.24
T060079	0.2195	0.12
T015980	0.3699	0.0061
T364581	0.34722	0.019
T195198	0.32432	0.018
T336822	0.15304	0.26
T050359	0.22013	0.092
T180441	0.25020	0.074
T240984	0.11291	0.41
T302771	0.1950	0.16
T350607	0.2544	0.069
T152186	0.09482	0.48
T023588	-0.16703	0.25
T136494	-0.0738	0.60
T123737	0.07489	0.58
T066031	0.15434	0.26
T148768	0.3255	0.019
T256648	0.03001	0.83
T099562	0.28753	0.062
T115222	0.05947	0.68
T115221	0.14368	0.29
T203742	0.09916	0.49
T153365	0.01488	0.91
T205747	0.06529	0.66
T205748	0.08971	0.52
T129676	0.2100	0.17
T129677	0.00112	0.99
T130236	0.00872	0.95
T129675	0.02088	0.88
T128246	0.06232	0.66
T272008	0.42648	0.002
T230701	0.18100	0.19
T129959	0.1745	0.24
T177475	0.1644	0.21
T196170	0.29609	0.028
T288764	0.10732	0.46
T294244	0.1491	0.30
T125569	0.1418	0.38
T309376	0.1731	0.20
T130155	0.187	0.21
T130156	0.19420	0.18
T324337	0.1221	0.39
T102504	0.27774	0.04
T212633	0.0614	0.67
T227657	0.0297	0.83
T129955	0.09126	0.56
T121286	0.14944	0.25
T373973	-0.01049	0.94
T171355	0.17606	0.20
T159183	0.27959	0.034
T074090	0.19383	0.17
T117175	0.13497	0.37
T158634	-0.0570	0.65
T074098	0.1059	0.46
T241117	0.27790	0.058
T165981	0.0818	0.54
T126035	-0.03277	0.81
T126034	0.026	0.84
T334257	0.22739	0.10
T182926	-0.03816	0.78
T229128	-0.04948	0.73
T306889	0.2604	0.094
T177897	0.14143	0.34
T306887	0.31761	0.034
T188120	0.29492	0.022
T061397	0.07873	0.57
T061395	0.02278	0.88
T274512	0.13762	0.37
T016619	0.0592	0.69
T274516	0.26175	0.062
T126159	0.2221	0.11
T150550	0.1717	0.22
T333158	0.19340	0.16
T216399	0.00961	0.95
T217446	0.16452	0.22
T375533	0.0902	0.51
T145003	0.1718	0.20
T334872	0.1387	0.32
T180386	0.10525	0.44
T307687	0.08439	0.52
T060449	0.14456	0.27
T202990	0.0979	0.51
T224837	0.33358	0.025
T297424	0.0945	0.53
T026197	0.29569	0.038
T045664	0.23450	0.081
T173769	0.0904	0.52
T156491	0.0691	0.64
T031872	0.25199	0.075
T371236	0.25718	0.064
T031878	0.29827	0.034
T076550	0.31427	0.027
T356489	0.11600	0.40
T085712	0.2278	0.13
T055152	0.24166	0.075
T044900	0.1182	0.40
T371496	-0.06813	0.64
T329662	0.1288	0.35
T252689	0.27085	0.042
T131417	0.08677	0.56
T252683	0.22609	0.091
T092657	0.22765	0.10
T237047	0.16361	0.21
T030051	0.1406	0.32
T009216	0.2352	0.096
T018355	0.01637	0.91
T253488	0.06676	0.65
T154791	0.1667	0.22
T154062	0.00822	0.95
T330617	0.04211	0.76
T380574	0.08434	0.56
T216095	0.28718	0.03
T196786	0.00849	0.95
T127511	0.31625	0.026
T196783	0.10095	0.50
T196789	0.17524	0.24
T004062	0.1411	0.33
T366548	0.17082	0.24
