T299193	0.2802	0.088
T355292	-0.1875	0.230
T230289	-0.0146	0.930
T275568	-0.0555	0.740
T135202	0.3710	0.041
T019989	0.0610	0.730
T190264	0.2786	0.091
T324410	-0.0488	0.760
T324414	-0.0772	0.670
T231786	-0.1475	0.340
T074554	0.0396	0.830
T073016	0.0833	0.600
T327855	0.2883	0.083
T218701	0.0901	0.570
T327859	-0.1446	0.380
T073019	-0.0121	0.94
T093996	-0.1797	0.310
T085771	0.1379	0.390
T181493	0.177	0.290
T348280	-0.0713	0.630
T117944	-0.0154	0.92
T169470	-0.0223	0.890
T128248	0.2689	0.100
T362204	-0.0174	0.920
T263567	0.0913	0.590
T284448	-0.0480	0.770
T205376	-0.1173	0.490
T214861	0.0524	0.760
T139412	-0.2539	0.120
T200383	0.0353	0.820
T350291	-0.0931	0.620
T320554	0.2031	0.210
T078794	0.0904	0.610
T018350	-0.0174	0.910
T110327	0.2901	0.063
T151603	0.2115	0.200
T359449	-0.2122	0.260
T254677	0.0816	0.610
T254672	0.0592	0.720
T254670	-0.0195	0.900
T353403	-0.0946	0.540
T098325	0.0437	0.780
T333063	-0.0882	0.540
T053657	-0.0950	0.55
T176285	-0.1452	0.32
T315385	0.0614	0.720
T315384	-0.0286	0.870
T048595	0.1139	0.510
T378637	0.3516	0.036
T333819	0.0957	0.490
T195261	0.1711	0.300
T247954	-0.0688	0.690
T168482	-0.0733	0.660
T168481	-0.0772	0.640
T114379	-0.0230	0.900
T314380	0.1909	0.270
T061702	0.0521	0.750
T060078	-0.0655	0.730
T060079	-0.2237	0.250
T195198	-0.1160	0.490
T336822	0.0149	0.930
T050359	0.2043	0.220
T180441	0.2956	0.059
T302771	0.0835	0.59
T350607	-0.1119	0.500
T152186	0.1199	0.49
T023588	-0.2657	0.100
T136494	0.00551	0.970
T123737	0.1309	0.430
T066031	0.1258	0.420
T148768	-0.0292	0.870
T099562	-0.0145	0.930
T115222	-0.1947	0.260
T115221	-0.1011	0.53
T153365	0.148	0.370
T205747	0.0273	0.870
T205748	0.3054	0.064
T315547	-0.0754	0.65
T129676	-0.1008	0.560
T129677	-0.420	0.020
T129675	0.1770	0.280
T128246	0.2276	0.200
T272008	-0.00544	0.970
T230701	-0.0690	0.640
T129959	-0.1120	0.490
T177475	0.1110	0.500
T196170	-0.0894	0.620
T294244	0.0571	0.740
T309376	0.0811	0.630
T129450	0.106	0.54
T129451	-0.00242	0.990
T130155	0.0832	0.590
T130156	-0.2337	0.130
T324337	-0.00466	0.980
T102504	0.0624	0.680
T212634	0.1235	0.490
T212633	-0.1097	0.550
T227650	0.3295	0.066
T227657	-0.3127	0.079
T121286	0.3073	0.062
T373973	-0.0801	0.620
T171355	-0.0256	0.880
T159183	0.2100	0.230
T074090	0.2375	0.140
T117175	0.0745	0.690
T158634	0.1068	0.560
T074099	-0.0547	0.75
T074098	0.1568	0.400
T241117	-0.0121	0.940
T165981	-0.0800	0.630
T126035	-0.0157	0.920
T126034	-0.0507	0.740
T334257	-0.0945	0.570
T182926	-0.1782	0.27
T229128	-0.1190	0.47
T177897	-0.3427	0.083
T188120	0.2319	0.170
T061397	0.1462	0.370
T061395	0.1027	0.490
T274516	-0.0454	0.770
T126159	-0.1589	0.380
T150550	0.1036	0.530
T333158	0.0849	0.580
T216399	-0.1107	0.500
T217446	0.1966	0.260
T375533	0.0178	0.910
T145003	0.3395	0.051
T334872	-0.0553	0.730
T206054	-0.0396	0.810
T180386	0.0608	0.710
T307687	0.1175	0.460
T202998	-0.1460	0.380
T060449	0.1295	0.37
T202990	-0.210	0.190
T224837	-0.1236	0.480
T026197	0.1386	0.42
T045664	-0.0632	0.720
T173769	0.0152	0.920
T156491	-0.1254	0.480
T031872	0.0766	0.640
T371236	0.2935	0.076
T031878	-0.0748	0.640
T076550	0.1577	0.350
T356489	0.1679	0.280
T085712	-0.0899	0.630
T055152	-0.6405	0.00098
T044900	-0.00218	0.990
T329662	0.1229	0.460
T252688	-0.242	0.17
T252689	-0.1884	0.310
T131417	0.0555	0.730
T252683	0.1891	0.280
T237047	0.1585	0.330
T030051	0.3788	0.035
T009216	-0.2332	0.150
T018355	-0.2569	0.150
T253488	0.1888	0.260
T087627	-0.1446	0.390
T154791	0.2763	0.099
T154062	0.1980	0.210
T330617	-0.0610	0.720
T380574	-0.0253	0.880
T216095	0.0997	0.560
T196786	-0.1466	0.390
T196789	-0.0901	0.61
T004062	-0.2483	0.130
T065407	0.0688	0.640
T206882	0.0977	0.570
T206881	-0.0322	0.840
T335649	0.2926	0.081
T048144	-0.00848	0.960
T114088	-0.0178	0.920
T372142	0.2163	0.200
T301689	-0.3619	0.027
T301683	-0.149	0.390
T301681	-0.1033	0.550
T301684	-0.120	0.490
T008165	-0.2413	0.170
T082674	-0.1092	0.560
T082671	-0.0646	0.730
T251082	0.0401	0.810
T345416	0.0909	0.550
T345417	-0.0497	0.770
T226842	0.1591	0.360
T061273	-0.0629	0.690
T082905	0.1527	0.360
T032282	-0.0603	0.690
T183841	-0.0955	0.570
T174358	-0.0349	0.830
T362814	0.2186	0.190
T063691	0.1503	0.370
T123753	0.0783	0.630
T018933	-0.0866	0.620
T307745	0.0906	0.580
T233174	0.0473	0.770
T133951	-0.3090	0.067
T093217	0.1232	0.470
T030862	0.1692	0.320
T030861	-0.1907	0.270
T066064	-0.1620	0.330
T232333	-0.3014	0.065
T334719	-0.0891	0.560
T303449	-0.0148	0.920
T014702	-0.0293	0.860
T346493	0.0346	0.830
T042211	-0.2854	0.110
T128529	0.219	0.17
T141628	-0.1132	0.500
T166425	-0.0309	0.850
T105518	-0.0905	0.580
T346727	-0.0566	0.740
T346726	0.0742	0.650
T370751	0.1138	0.500
T192347	0.2684	0.091
T081835	-0.0170	0.920
T037552	-0.1490	0.410
T330111	0.2023	0.270
T089479	-0.1976	0.320
T172132	0.1089	0.520
T166615	-0.3125	0.064
T171443	-0.123	0.400
T021357	0.236	0.150
T064965	-0.1191	0.440
T021359	0.2119	0.180
T225819	-0.044	0.800
T316759	0.0095	0.960
T013531	-0.00159	0.990
T311397	0.0610	0.700
T133178	0.0227	0.900
T321584	-0.145	0.360
T115742	-0.0937	0.550
T098795	-0.00943	0.950
T380633	0.0223	0.900
T145024	0.0121	0.940
T307913	-0.0986	0.560
T334850	0.0315	0.830
T203592	0.1378	0.400
T213034	0.1743	0.310
T364173	-0.0676	0.670
T269318	-0.2843	0.070
T080164	-0.209	0.220
T142552	0.0275	0.870
T142553	0.0872	0.620
T002642	0.1588	0.340
T348716	-0.00261	0.990
T163561	0.1008	0.490
T163562	0.2039	0.140
T302636	-0.1100	0.540
T234599	-0.0629	0.680
T017152	-0.00995	0.95
T050475	0.00797	0.960
T174167	-0.0773	0.630
T023464	-0.0485	0.780
T360088	0.1338	0.440
T165464	-0.1342	0.400
T264026	0.0204	0.900
T139635	0.1339	0.400
T138854	-0.0963	0.550
T138855	-0.0240	0.89
T301744	-0.0359	0.810
T138853	-0.0192	0.910
T214354	0.0536	0.770
T377340	0.2103	0.230
T347609	0.0510	0.75
T232291	0.00309	0.98
T134118	0.2280	0.180
T006483	0.0395	0.810
T006482	0.2357	0.180
T303584	0.00572	0.97
T196766	0.1851	0.260
T212172	0.0455	0.780
T219477	-0.1223	0.490
T219474	-0.2192	0.210
T219472	-0.2533	0.120
T011263	0.378	0.035
T115171	-0.2238	0.170
T350782	0.1281	0.430
T212862	0.1742	0.310
T289910	0.1753	0.31
T257678	-0.0401	0.790
T124030	0.1873	0.250
T257672	0.0933	0.550
T253312	0.0838	0.630
T330320	0.00412	0.980
T254324	0.1924	0.230
T110182	-0.1883	0.220
T034495	0.0733	0.660
T363042	0.2145	0.170
T052341	-0.0658	0.670
T043562	0.1261	0.400
T183455	-0.0936	0.550
T017712	0.1932	0.27
T061250	-0.00825	0.960
T321643	0.1174	0.480
T015570	0.00821	0.960
T363301	-0.1118	0.520
T175026	0.1729	0.350
T175025	0.0843	0.62
T302345	-0.1444	0.370
T170471	-0.1440	0.360
T344076	0.1633	0.360
T344073	0.1153	0.52
T132184	-0.2083	0.210
T071362	0.3299	0.048
T282276	-0.00983	0.960
T010930	0.2125	0.200
T010931	-0.0480	0.780
T206046	0.0307	0.860
T170654	0.0800	0.590
T184453	0.2241	0.180
T215910	0.0146	0.93
T184450	-0.0487	0.770
T313640	0.2307	0.180
T082929	-0.0815	0.610
T364549	0.2753	0.140
T364547	0.1844	0.340
T038491	0.1228	0.410
T072147	0.4109	0.019
T217036	0.2116	0.200
T260018	0.1420	0.380
T033866	0.2778	0.110
T375615	-0.0260	0.88
T118234	0.0388	0.820
T070283	-0.164	0.330
T004642	-0.1180	0.450
T153890	0.00631	0.970
T048440	0.270	0.100
T181757	-0.2063	0.190
T181972	0.1676	0.310
T309756	0.0208	0.910
T249156	0.0264	0.860
T205783	-0.0229	0.890
T120518	0.2549	0.150
T176835	0.0651	0.690
T356780	0.0847	0.610
T275267	-0.1071	0.540
T127898	0.0204	0.900
T142346	0.0922	0.560
T127418	-0.1822	0.290
T262081	0.0487	0.770
T262080	0.1570	0.350
T262083	0.1971	0.210
T043711	-0.0660	0.690
T101373	-0.1801	0.21
T141604	0.0563	0.740
T340567	0.1801	0.310
T125480	0.0959	0.580
T122173	-0.00176	0.990
T095092	0.145	0.360
T236072	-0.00678	0.970
T295238	0.0210	0.890
T018097	0.1381	0.340
T020637	0.0677	0.710
T311009	0.1148	0.470
T296205	0.1916	0.240
T272952	0.0468	0.79
T272951	-0.2135	0.190
T338492	0.0488	0.760
T027958	-0.0817	0.650
T027959	0.1355	0.400
T287545	-0.3298	0.042
T287546	0.0049	0.980
T196864	-0.1465	0.350
T287543	-0.1710	0.310
T286149	0.0250	0.880
T210900	0.0733	0.640
T059999	0.164	0.300
T009407	-0.1853	0.290
T200009	0.1396	0.39
T382727	-0.0736	0.660
T382726	-0.2021	0.270
T200005	-0.00312	0.990
T036712	0.0732	0.690
T036710	0.0144	0.940
T217484	-0.2838	0.100
T109790	-0.0256	0.880
T164132	-0.0683	0.640
T311917	-0.1307	0.450
T164137	0.1059	0.500
T229471	-0.1773	0.33
T068457	-0.0307	0.850
T180349	-0.0410	0.800
T180348	-0.1744	0.280
T180347	0.2949	0.078
T186847	0.2729	0.083
T191060	0.2384	0.150
T272470	-0.00762	0.960
T097637	0.0354	0.830
T234355	-0.1198	0.490
T141182	-0.0484	0.760
T040199	0.1581	0.290
T082004	0.0721	0.66
T039355	0.1334	0.410
T072636	0.119	0.490
T039352	0.2367	0.17
T093641	0.1778	0.260
T093645	0.1437	0.410
T074283	0.171	0.300
T141985	-0.1760	0.280
T322753	0.0990	0.530
T298886	-0.0750	0.65
T074289	0.1725	0.260
T346026	-0.0299	0.860
T346024	0.1560	0.330
T302619	0.2471	0.150
T106671	-0.2222	0.210
T243808	-0.0272	0.870
T290659	0.2680	0.100
T117615	0.2060	0.190
T174146	0.140	0.370
T287594	-0.3074	0.07
T128222	0.4438	0.0099
T206254	-0.0218	0.890
T206255	0.1491	0.410
T139479	0.1183	0.470
T351417	0.2335	0.130
T241435	0.0789	0.600
T340972	0.2035	0.240
T075627	0.2258	0.130
T350231	0.2291	0.15
T350234	0.0945	0.560
T159555	-0.2232	0.21
T350239	0.1745	0.29
T251305	0.0257	0.870
T062970	0.224	0.170
