MI0000001	cel-let-7L;cel-let-7;
MI0000002	cel-lin-4L;cel-lin-4;
MI0000003	cel-mir-1;
MI0000004	cel-mir-2;
MI0000005	cel-mir-34;
MI0000006	cel-mir-35;
MI0000007	cel-mir-36;
MI0000008	cel-mir-37;
MI0000009	cel-mir-38;
MI0000010	cel-mir-39;
MI0000011	cel-mir-40;
MI0000012	cel-mir-41;
MI0000013	cel-mir-42;
MI0000014	cel-mir-43;
MI0000015	cel-mir-44;
MI0000016	cel-mir-45;
MI0000017	cel-mir-46;
MI0000018	cel-mir-47;
MI0000019	cel-mir-48;
MI0000020	cel-mir-49;
MI0000021	cel-mir-50;
MI0000022	cel-mir-51;
MI0000023	cel-mir-52;
MI0000024	cel-mir-53;
MI0000025	cel-mir-54;
MI0000026	cel-mir-55;
MI0000027	cel-mir-56;
MI0000028	cel-mir-57;
MI0000029	cel-mir-58;cel-mir-58a;
MI0000030	cel-mir-59;
MI0000031	cel-mir-60;
MI0000032	cel-mir-61;
MI0000033	cel-mir-62;
MI0000034	cel-mir-63;
MI0000035	cel-mir-64;
MI0000036	cel-mir-65;
MI0000037	cel-mir-66;
MI0000038	cel-mir-67;
MI0000039	cel-mir-68;
MI0000040	cel-mir-69;
MI0000041	cel-mir-70;
MI0000042	cel-mir-71;
MI0000043	cel-mir-72;
MI0000044	cel-mir-73;
MI0000045	cel-mir-74;
MI0000046	cel-mir-75;
MI0000047	cel-mir-76;
MI0000048	cel-mir-77;
MI0000049	cel-mir-78;
MI0000050	cel-mir-79;
MI0000051	cel-mir-80;
MI0000052	cel-mir-81;
MI0000053	cel-mir-82;
MI0000054	cel-mir-83;
MI0000055	cel-mir-84;
MI0000056	cel-mir-85;
MI0000057	cel-mir-86;
MI0000058	cel-mir-87;
MI0000059	cel-mir-90;
MI0000060	hsa-let-7a-1L;hsa-let-7a-1;
MI0000061	hsa-let-7a-2L;hsa-let-7a-2;
MI0000062	hsa-let-7a-3L;hsa-let-7a-3;
MI0000063	hsa-let-7bL;hsa-let-7b;
MI0000064	hsa-let-7cL;hsa-let-7c;
MI0000065	hsa-let-7dL;hsa-let-7d;
MI0000066	hsa-let-7eL;hsa-let-7e;
MI0000067	hsa-let-7f-1L;hsa-let-7f-1;
MI0000068	hsa-let-7f-2L;hsa-let-7f-2;
MI0000069	hsa-mir-15;hsa-mir-15a;
MI0000070	hsa-mir-16-13;hsa-mir-16;hsa-mir-16-1;
MI0000071	hsa-mir-17;
MI0000072	hsa-mir-18;hsa-mir-18a;
MI0000073	hsa-mir-19a;
MI0000074	hsa-mir-19b-1;
MI0000075	hsa-mir-19b-2;
MI0000076	hsa-mir-20;hsa-mir-20a;
MI0000077	hsa-mir-21;
MI0000078	hsa-mir-22;
MI0000079	hsa-mir-23;hsa-mir-23a;
MI0000080	hsa-mir-24-1;
MI0000081	hsa-mir-24-2;
MI0000082	hsa-mir-25;
MI0000083	hsa-mir-26a;hsa-mir-26a-1;
MI0000084	hsa-mir-26b;
MI0000085	hsa-mir-27;hsa-mir-27a;
MI0000086	hsa-mir-28;
MI0000087	hsa-mir-29;hsa-mir-29a;
MI0000088	hsa-mir-30;hsa-mir-30a;
MI0000089	hsa-mir-31;
MI0000090	hsa-mir-32;
MI0000091	hsa-mir-33;hsa-mir-33a;
MI0000092	hsa-mir-91-13;hsa-mir-91;
MI0000093	hsa-mir-92-13;hsa-mir-92-1;hsa-mir-92a-1;
MI0000094	hsa-mir-92-X;hsa-mir-92-2;hsa-mir-92a-2;
MI0000095	hsa-mir-93-7.1;hsa-mir-93-1;hsa-mir-93;
MI0000096	hsa-mir-93-7.2;hsa-mir-93-2;
MI0000097	hsa-mir-95-4;hsa-mir-95;
MI0000098	hsa-mir-96-7;hsa-mir-96;
MI0000099	hsa-mir-97-6;
MI0000100	hsa-mir-98-X;hsa-mir-98;
MI0000101	hsa-mir-99-21;hsa-mir-99;hsa-mir-99a;
MI0000102	hsa-mir-100-11;hsa-mir-100;
MI0000103	hsa-mir-101-1;hsa-mir-101;hsa-mir-101-1;
MI0000104	hsa-mir-101-9;
MI0000105	hsa-mir-102-7.1;hsa-mir-102-2;hsa-mir-29b-2;hsa-mir-29b-1;
MI0000106	hsa-mir-102-7.2;hsa-mir-102-3;hsa-mir-29b-3;
MI0000107	hsa-mir-102-1;hsa-mir-29b-1;hsa-mir-29b-2;
MI0000108	hsa-mir-103-20;hsa-mir-103-2;hsa-mir-103a-2;
MI0000109	hsa-mir-103-5;hsa-mir-103-1;hsa-mir-103a-1;
MI0000110	hsa-mir-104-17;hsa-mir-104;
MI0000111	hsa-mir-105-X.1;hsa-mir-105-1;
MI0000112	hsa-mir-105-X.2;hsa-mir-105-2;
MI0000113	hsa-mir-106-X;hsa-mir-106;hsa-mir-106a;
MI0000114	hsa-mir-107-10;hsa-mir-107;
MI0000115	hsa-mir-16-3;hsa-mir-16-2;
MI0000116	dme-mir-1;
MI0000117	dme-mir-2a-1;
MI0000118	dme-mir-2a-2;
MI0000119	dme-mir-2b-1;
MI0000120	dme-mir-2b-2;
MI0000121	dme-mir-3;
MI0000122	dme-mir-4;
MI0000123	dme-mir-5;
MI0000124	dme-mir-6-1;
MI0000125	dme-mir-6-2;
MI0000126	dme-mir-6-3;
MI0000127	dme-mir-7;
MI0000128	dme-mir-8;
MI0000129	dme-mir-9;dme-mir-9a;
MI0000130	dme-mir-10;
MI0000131	dme-mir-11;
MI0000132	dme-mir-12;
MI0000133	dme-mir-13a;
MI0000134	dme-mir-13b-1;
MI0000135	dme-mir-13b-2;
MI0000136	dme-mir-14;
MI0000137	mmu-let-7gL;mmu-let-7g;
MI0000138	mmu-let-7iL;mmu-let-7i;
MI0000139	mmu-mir-1d;mmu-mir-1-1;mmu-mir-1a-1;
MI0000140	mmu-mir-15b;
MI0000141	mmu-mir-23b;
MI0000142	mmu-mir-27b;
MI0000143	mmu-mir-29b;mmu-mir-29b-1;
MI0000144	mmu-mir-30a;
MI0000145	mmu-mir-30b;
MI0000146	mmu-mir-99a;
MI0000147	mmu-mir-99b;
MI0000148	mmu-mir-101;mmu-mir-101a;
MI0000149	mmu-mir-123;
MI0000150	mmu-mir-124a;mmu-mir-124a-3;mmu-mir-124-3;
MI0000151	mmu-mir-125a;
MI0000152	mmu-mir-125b;mmu-mir-125b-2;
MI0000153	mmu-mir-126;mmu-mir-126a;
MI0000154	mmu-mir-127;
MI0000155	mmu-mir-128;mmu-mir-128a;mmu-mir-128-1;
MI0000156	mmu-mir-130;mmu-mir-130a;
MI0000157	mmu-mir-131;mmu-mir-9;mmu-mir-9-2;
MI0000158	mmu-mir-132;
MI0000159	mmu-mir-133;mmu-mir-133a-1;
MI0000160	mmu-mir-134;
MI0000161	mmu-mir-135;mmu-mir-135-1;mmu-mir-135a-1;
MI0000162	mmu-mir-136;
MI0000163	mmu-mir-137;
MI0000164	mmu-mir-138;mmu-mir-138-2;
MI0000165	mmu-mir-140;
MI0000166	mmu-mir-141;
MI0000167	mmu-mir-142;mmu-mir-142a;
MI0000168	mmu-mir-144;
MI0000169	mmu-mir-145;mmu-mir-145a;
MI0000170	mmu-mir-146;mmu-mir-146a;
MI0000171	mmu-mir-149;
MI0000172	mmu-mir-150;
MI0000173	mmu-mir-151;
MI0000174	mmu-mir-152;
MI0000175	mmu-mir-153;
MI0000176	mmu-mir-154;
MI0000177	mmu-mir-155;
MI0000178	ath-MIR156a;
MI0000179	ath-MIR156b;
MI0000180	ath-MIR156c;
MI0000181	ath-MIR156d;
MI0000182	ath-MIR156e;
MI0000183	ath-MIR156f;
MI0000184	ath-MIR157a;
MI0000185	ath-MIR157b;
MI0000186	ath-MIR157c;
MI0000187	ath-MIR157d;
MI0000188	ath-MIR158;ath-MIR158a;
MI0000189	ath-MIR159;ath-MIR159a;
MI0000190	ath-MIR160a;
MI0000191	ath-MIR160b;
MI0000192	ath-MIR160c;
MI0000193	ath-MIR161;
MI0000194	ath-MIR162a;
MI0000195	ath-MIR162b;
MI0000196	ath-MIR163;
MI0000197	ath-MIR164a;
MI0000198	ath-MIR164b;
MI0000199	ath-MIR165a;
MI0000200	ath-MIR165b;
MI0000201	ath-MIR166a;
MI0000202	ath-MIR166b;
MI0000203	ath-MIR166c;
MI0000204	ath-MIR166d;
MI0000205	ath-MIR166e;
MI0000206	ath-MIR166f;
MI0000207	ath-MIR166g;
MI0000208	ath-MIR167a;
MI0000209	ath-MIR167b;
MI0000210	ath-MIR168a;
MI0000211	ath-MIR168b;
MI0000212	ath-MIR169;ath-MIR169a;
MI0000213	ath-MIR170;
MI0000214	ath-MIR171;ath-MIR171a;
MI0000215	ath-MIR172a1;ath-MIR172a;
MI0000216	ath-MIR172a2;ath-MIR172b;
MI0000217	ath-MIR173;
MI0000218	ath-MIR159b;
MI0000219	ath-MIR180a;
MI0000220	ath-MIR180b;
MI0000221	mmu-mir-10b;
MI0000222	mmu-mir-129b;mmu-mir-129-1;
MI0000223	mmu-mir-181;mmu-mir-181a;mmu-mir-181a-2;
MI0000224	mmu-mir-182;
MI0000225	mmu-mir-183;
MI0000226	mmu-mir-184;
MI0000227	mmu-mir-185;
MI0000228	mmu-mir-186;
MI0000229	mmu-mir-187;
MI0000230	mmu-mir-188;
MI0000231	mmu-mir-189;mmu-mir-24-1;
MI0000232	mmu-mir-190;mmu-mir-190a;
MI0000233	mmu-mir-191;
MI0000234	hsa-mir-192;
MI0000235	mmu-mir-193;mmu-mir-193a;
MI0000236	mmu-mir-194;mmu-mir-194-1;
MI0000237	mmu-mir-195;mmu-mir-195a;
MI0000238	hsa-mir-196;hsa-mir-196-1;hsa-mir-196a-1;
MI0000239	hsa-mir-197;
MI0000240	hsa-mir-198;
MI0000241	mmu-mir-199-as;mmu-mir-199;mmu-mir-199a-1;
MI0000242	hsa-mir-199-s;hsa-mir-199a-1;
MI0000243	mmu-mir-200b;
MI0000244	mmu-mir-201;
MI0000245	mmu-mir-202;
MI0000246	mmu-mir-203;
MI0000247	mmu-mir-204;
MI0000248	mmu-mir-205;
MI0000249	mmu-mir-206;
MI0000250	mmu-mir-207;
MI0000251	hsa-mir-208;hsa-mir-208a;
MI0000252	hsa-mir-129;hsa-mir-129a;hsa-mir-129-1;
MI0000253	hsa-mir-148;hsa-mir-148a;
MI0000254	hsa-mir-30c;hsa-mir-30c-2;
MI0000255	hsa-mir-30d;
MI0000256	mmu-mir-122a;mmu-mir-122;
MI0000257	mmu-mir-143;
MI0000258	mmu-mir-1b;
MI0000259	mmu-mir-30e;
MI0000260	hsa-mir-124b;
MI0000261	hsa-mir-139;
MI0000262	hsa-mir-147;hsa-mir-147a;
MI0000263	hsa-mir-7-1;
MI0000264	hsa-mir-7-2;
MI0000265	hsa-mir-7-3;
MI0000266	hsa-mir-10a;
MI0000267	hsa-mir-10b;
MI0000268	hsa-mir-34;hsa-mir-34a;
MI0000269	hsa-mir-181a;hsa-mir-181a-2;
MI0000270	hsa-mir-181b;hsa-mir-181b-1;
MI0000271	hsa-mir-181c;
MI0000272	hsa-mir-182-as;hsa-mir-182;
MI0000273	hsa-mir-183;
MI0000274	hsa-mir-187;
MI0000278	hsa-mir-196-1;
MI0000279	hsa-mir-196-2;hsa-mir-196a-2;
MI0000280	hsa-mir-199a-1;
MI0000281	hsa-mir-199a-2;
MI0000282	hsa-mir-199b;
MI0000283	hsa-mir-203;hsa-mir-203a;
MI0000284	hsa-mir-204;
MI0000285	hsa-mir-205;
MI0000286	hsa-mir-210;
MI0000287	hsa-mir-211;
MI0000288	hsa-mir-212;
MI0000289	hsa-mir-213;hsa-mir-181a-1;
MI0000290	hsa-mir-214;
MI0000291	hsa-mir-215;
MI0000292	hsa-mir-216;hsa-mir-216a;
MI0000293	hsa-mir-217;
MI0000294	hsa-mir-218-1;
MI0000295	hsa-mir-218-2;
MI0000296	hsa-mir-219;hsa-mir-219-1;hsa-mir-219a-1;
MI0000297	hsa-mir-220;hsa-mir-220a;
MI0000298	hsa-mir-221;
MI0000299	hsa-mir-222;
MI0000300	hsa-mir-223;
MI0000301	hsa-mir-224;
MI0000302	cel-mir-124;
MI0000303	cel-mir-228;
MI0000304	cel-mir-229;
MI0000305	cel-mir-230;
MI0000306	cel-mir-231;
MI0000307	cel-mir-232;
MI0000308	cel-mir-233;
MI0000309	cel-mir-234;
MI0000310	cel-mir-235;
MI0000311	cel-mir-236;
MI0000312	cel-mir-237;
MI0000313	cel-mir-238;
MI0000314	cel-mir-239a;
MI0000315	cel-mir-239b;
MI0000316	cel-mir-240;
MI0000317	cel-mir-241;
MI0000318	cel-mir-242;
MI0000319	cel-mir-243;
MI0000320	cel-mir-244;
MI0000321	cel-mir-245;
MI0000322	cel-mir-246;
MI0000323	cel-mir-247;
MI0000324	cel-mir-248;
MI0000325	cel-mir-249;
MI0000326	cel-mir-250;
MI0000327	cel-mir-251;
MI0000328	cel-mir-252;
MI0000329	cel-mir-253;
MI0000330	cel-mir-254;
MI0000331	cel-mir-255;
MI0000332	cel-mir-227;
MI0000333	cel-mir-256;
MI0000334	cel-mir-257;
MI0000335	cel-mir-258;cel-mir-258-1;
MI0000336	cel-mir-259;
MI0000337	cel-mir-260;
MI0000338	cel-mir-261;
MI0000339	cel-mir-262;
MI0000342	hsa-mir-200b;
MI0000343	dme-mir-263;dme-mir-263a;
MI0000344	cel-mir-264;
MI0000345	cel-mir-265;
MI0000346	cel-mir-266;
MI0000347	cel-mir-267;
MI0000348	cel-mir-268;
MI0000349	cel-mir-269;
MI0000350	cel-mir-270;
MI0000351	cel-mir-271;
MI0000352	cel-mir-272;
MI0000353	cel-mir-273;
MI0000354	dme-mir-184;
MI0000355	dme-mir-274;
MI0000356	dme-mir-275;
MI0000357	dme-mir-92a;
MI0000358	dme-mir-219;
MI0000359	dme-mir-276a;
MI0000360	dme-mir-277;
MI0000361	dme-mir-278;
MI0000362	dme-mir-133;
MI0000363	dme-mir-279;
MI0000364	dme-mir-33;
MI0000365	dme-mir-280;
MI0000366	dme-mir-281-1;
MI0000367	dme-mir-282;
MI0000368	dme-mir-283;
MI0000369	dme-mir-284;
MI0000370	dme-mir-281-2;
MI0000371	dme-mir-34;
MI0000372	dme-mir-263a;
MI0000373	dme-mir-124;
MI0000374	dme-mir-79;
MI0000375	dme-mir-276b;
MI0000376	dme-mir-210;
MI0000377	dme-mir-285;
MI0000378	dme-mir-100;
MI0000379	dme-mir-92b;
MI0000380	dme-mir-286;
MI0000381	dme-mir-287;
MI0000382	dme-mir-87;
MI0000383	dme-mir-263b;
MI0000384	dme-mir-288;
MI0000385	dme-mir-289;
MI0000387	dme-bantam;bantam;dme-bantam;
MI0000388	mmu-mir-290;mmu-mir-290a;
MI0000389	mmu-mir-291;mmu-mir-291a;
MI0000390	mmu-mir-292;mmu-mir-292a;
MI0000391	mmu-mir-293;
MI0000392	mmu-mir-294;
MI0000393	mmu-mir-295;
MI0000394	mmu-mir-296;
MI0000395	mmu-mir-297-1;mmu-mir-297a-1;
MI0000396	mmu-mir-297-2;
MI0000397	mmu-mir-297-3;mmu-mir-297-2;mmu-mir-297a-2;
MI0000398	mmu-mir-298;
MI0000399	mmu-mir-299;mmu-mir-299a;
MI0000400	mmu-mir-300;
MI0000401	mmu-mir-301;mmu-mir-301a;
MI0000402	mmu-mir-302;mmu-mir-302a;
MI0000403	mmu-mir-34a;mmu-mir-34c;
MI0000404	mmu-mir-34b;
MI0000405	mmu-let-7d;
MI0000406	mmu-mir-106a;
MI0000407	mmu-mir-106b;
MI0000408	mmu-mir-130b;
MI0000409	dme-mir-303;
MI0000410	dme-mir-31b;
MI0000411	dme-mir-304;
MI0000412	dme-mir-305;
MI0000413	dme-mir-9c;
MI0000414	dme-mir-306;
MI0000415	dme-mir-9b;
MI0000416	dme-let-7L;dme-let-7;
MI0000417	dme-mir-125;
MI0000418	dme-mir-307;dme-mir-307a;
MI0000419	dme-mir-308;
MI0000420	dme-mir-31a;
MI0000421	dme-mir-309;
MI0000422	dme-mir-310;
MI0000423	dme-mir-311;
MI0000424	dme-mir-312;
MI0000425	dme-mir-313;
MI0000426	dme-mir-314;
MI0000427	dme-mir-315;
MI0000428	dme-mir-316;
MI0000429	dme-mir-317;
MI0000430	dme-mir-318;
MI0000431	dme-mir-2c;
MI0000432	dme-mir-iab-4;
MI0000433	hsa-let-7g;
MI0000434	hsa-let-7i;
MI0000435	hsa-mir-1b-1;
MI0000436	hsa-mir-1b-2;
MI0000437	hsa-mir-1d;hsa-mir-1-2;
MI0000438	hsa-mir-15b;
MI0000439	hsa-mir-23b;
MI0000440	hsa-mir-27b;
MI0000441	hsa-mir-30b;
MI0000442	hsa-mir-122a;hsa-mir-122;
MI0000443	hsa-mir-124a-1;hsa-mir-124-1;
MI0000444	hsa-mir-124a-2;hsa-mir-124-2;
MI0000445	hsa-mir-124a-3;hsa-mir-124-3;
MI0000446	hsa-mir-125b-1;
MI0000447	hsa-mir-128a;hsa-mir-128-1;
MI0000448	hsa-mir-130a;
MI0000449	hsa-mir-132;
MI0000450	hsa-mir-133a-1;
MI0000451	hsa-mir-133a-2;
MI0000452	hsa-mir-135-1;hsa-mir-135a-1;
MI0000453	hsa-mir-135-2;hsa-mir-135a-2;
MI0000454	hsa-mir-137;
MI0000455	hsa-mir-138-2;
MI0000456	hsa-mir-140;
MI0000457	hsa-mir-141;
MI0000458	hsa-mir-142;
MI0000459	hsa-mir-143;
MI0000460	hsa-mir-144;
MI0000461	hsa-mir-145;
MI0000462	hsa-mir-152;
MI0000463	hsa-mir-153-1;
MI0000464	hsa-mir-153-2;
MI0000465	hsa-mir-191;
MI0000466	hsa-mir-9-1;
MI0000467	hsa-mir-9-2;
MI0000468	hsa-mir-9-3;
MI0000469	hsa-mir-125a;
MI0000470	hsa-mir-125b-2;
MI0000471	hsa-mir-126;
MI0000472	hsa-mir-127;
MI0000473	hsa-mir-129b;hsa-mir-129-2;
MI0000474	hsa-mir-134;
MI0000475	hsa-mir-136;
MI0000476	hsa-mir-138-1;
