filename	barcode(s)
TCGA-2F-A9KO-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2F-A9KO-01A-11R-A38M-13
TCGA-2F-A9KO-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2F-A9KO-01A-11R-A38M-13
TCGA-2F-A9KP-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2F-A9KP-01A-11R-A38M-13
TCGA-2F-A9KP-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2F-A9KP-01A-11R-A38M-13
TCGA-2F-A9KQ-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2F-A9KQ-01A-11R-A38M-13
TCGA-2F-A9KQ-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2F-A9KQ-01A-11R-A38M-13
TCGA-2F-A9KR-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2F-A9KR-01A-11R-A38M-13
TCGA-2F-A9KR-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2F-A9KR-01A-11R-A38M-13
TCGA-2F-A9KT-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2F-A9KT-01A-11R-A38M-13
TCGA-2F-A9KT-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2F-A9KT-01A-11R-A38M-13
TCGA-2F-A9KW-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2F-A9KW-01A-11R-A38M-13
TCGA-2F-A9KW-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2F-A9KW-01A-11R-A38M-13
TCGA-4Z-AA7M-01A-11R-A39B-13.isoform.quantification.txt	TCGA-4Z-AA7M-01A-11R-A39B-13
TCGA-4Z-AA7M-01A-11R-A39B-13.mirna.quantification.txt	TCGA-4Z-AA7M-01A-11R-A39B-13
TCGA-4Z-AA7N-01A-11R-A39B-13.isoform.quantification.txt	TCGA-4Z-AA7N-01A-11R-A39B-13
TCGA-4Z-AA7N-01A-11R-A39B-13.mirna.quantification.txt	TCGA-4Z-AA7N-01A-11R-A39B-13
TCGA-4Z-AA7O-01A-31R-A39B-13.isoform.quantification.txt	TCGA-4Z-AA7O-01A-31R-A39B-13
TCGA-4Z-AA7O-01A-31R-A39B-13.mirna.quantification.txt	TCGA-4Z-AA7O-01A-31R-A39B-13
TCGA-4Z-AA7Q-01A-11R-A39B-13.isoform.quantification.txt	TCGA-4Z-AA7Q-01A-11R-A39B-13
TCGA-4Z-AA7Q-01A-11R-A39B-13.mirna.quantification.txt	TCGA-4Z-AA7Q-01A-11R-A39B-13
TCGA-4Z-AA7R-01A-11R-A39B-13.isoform.quantification.txt	TCGA-4Z-AA7R-01A-11R-A39B-13
TCGA-4Z-AA7R-01A-11R-A39B-13.mirna.quantification.txt	TCGA-4Z-AA7R-01A-11R-A39B-13
TCGA-4Z-AA7S-01A-11R-A39B-13.isoform.quantification.txt	TCGA-4Z-AA7S-01A-11R-A39B-13
TCGA-4Z-AA7S-01A-11R-A39B-13.mirna.quantification.txt	TCGA-4Z-AA7S-01A-11R-A39B-13
TCGA-4Z-AA7W-01A-11R-A39B-13.isoform.quantification.txt	TCGA-4Z-AA7W-01A-11R-A39B-13
TCGA-4Z-AA7W-01A-11R-A39B-13.mirna.quantification.txt	TCGA-4Z-AA7W-01A-11R-A39B-13
TCGA-4Z-AA7Y-01A-11R-A39B-13.isoform.quantification.txt	TCGA-4Z-AA7Y-01A-11R-A39B-13
TCGA-4Z-AA7Y-01A-11R-A39B-13.mirna.quantification.txt	TCGA-4Z-AA7Y-01A-11R-A39B-13
TCGA-4Z-AA80-01A-11R-A39B-13.isoform.quantification.txt	TCGA-4Z-AA80-01A-11R-A39B-13
TCGA-4Z-AA80-01A-11R-A39B-13.mirna.quantification.txt	TCGA-4Z-AA80-01A-11R-A39B-13
TCGA-4Z-AA81-01A-11R-A39B-13.isoform.quantification.txt	TCGA-4Z-AA81-01A-11R-A39B-13
TCGA-4Z-AA81-01A-11R-A39B-13.mirna.quantification.txt	TCGA-4Z-AA81-01A-11R-A39B-13
TCGA-4Z-AA82-01A-11R-A39B-13.isoform.quantification.txt	TCGA-4Z-AA82-01A-11R-A39B-13
