filename	barcode(s)
unc.edu.01a7643f-d7be-40e8-bdc1-562d825e8ba8.2096365.junction_quantification.txt	TCGA-DK-A6AV-01A-12R-A30C-07
unc.edu.01a7643f-d7be-40e8-bdc1-562d825e8ba8.2096822.rsem.genes.results	TCGA-DK-A6AV-01A-12R-A30C-07
unc.edu.01a7643f-d7be-40e8-bdc1-562d825e8ba8.2096823.rsem.isoforms.results	TCGA-DK-A6AV-01A-12R-A30C-07
unc.edu.01a7643f-d7be-40e8-bdc1-562d825e8ba8.2096835.rsem.isoforms.normalized_results	TCGA-DK-A6AV-01A-12R-A30C-07
unc.edu.01a7643f-d7be-40e8-bdc1-562d825e8ba8.2096836.rsem.genes.normalized_results	TCGA-DK-A6AV-01A-12R-A30C-07
unc.edu.01a7643f-d7be-40e8-bdc1-562d825e8ba8.2096984.bt.exon_quantification.txt	TCGA-DK-A6AV-01A-12R-A30C-07
unc.edu.024bc00e-0419-4dc6-8df4-ad3af476314d.1475086.junction_quantification.txt	TCGA-DK-A3WX-01A-22R-A22U-07
unc.edu.024bc00e-0419-4dc6-8df4-ad3af476314d.1475253.rsem.genes.results	TCGA-DK-A3WX-01A-22R-A22U-07
unc.edu.024bc00e-0419-4dc6-8df4-ad3af476314d.1475254.rsem.isoforms.results	TCGA-DK-A3WX-01A-22R-A22U-07
unc.edu.024bc00e-0419-4dc6-8df4-ad3af476314d.1475264.rsem.genes.normalized_results	TCGA-DK-A3WX-01A-22R-A22U-07
unc.edu.024bc00e-0419-4dc6-8df4-ad3af476314d.1475265.rsem.isoforms.normalized_results	TCGA-DK-A3WX-01A-22R-A22U-07
unc.edu.024bc00e-0419-4dc6-8df4-ad3af476314d.1750755.bt.exon_quantification.txt	TCGA-DK-A3WX-01A-22R-A22U-07
unc.edu.029cb0c8-9a67-4af0-9137-a5fbe08fce20.1474139.junction_quantification.txt	TCGA-FD-A3SQ-01A-21R-A22U-07
unc.edu.029cb0c8-9a67-4af0-9137-a5fbe08fce20.1474846.rsem.genes.results	TCGA-FD-A3SQ-01A-21R-A22U-07
unc.edu.029cb0c8-9a67-4af0-9137-a5fbe08fce20.1474847.rsem.isoforms.results	TCGA-FD-A3SQ-01A-21R-A22U-07
unc.edu.029cb0c8-9a67-4af0-9137-a5fbe08fce20.1474869.rsem.genes.normalized_results	TCGA-FD-A3SQ-01A-21R-A22U-07
unc.edu.029cb0c8-9a67-4af0-9137-a5fbe08fce20.1474870.rsem.isoforms.normalized_results	TCGA-FD-A3SQ-01A-21R-A22U-07
unc.edu.029cb0c8-9a67-4af0-9137-a5fbe08fce20.1750711.bt.exon_quantification.txt	TCGA-FD-A3SQ-01A-21R-A22U-07
unc.edu.037904cf-92c3-443c-8800-0156db1e3a89.1107416.junction_quantification.txt	TCGA-DK-A1AC-01A-11R-A13Y-07
unc.edu.037904cf-92c3-443c-8800-0156db1e3a89.1112928.rsem.genes.results	TCGA-DK-A1AC-01A-11R-A13Y-07
unc.edu.037904cf-92c3-443c-8800-0156db1e3a89.1112929.rsem.isoforms.results	TCGA-DK-A1AC-01A-11R-A13Y-07
unc.edu.037904cf-92c3-443c-8800-0156db1e3a89.1112964.rsem.isoforms.normalized_results	TCGA-DK-A1AC-01A-11R-A13Y-07
unc.edu.037904cf-92c3-443c-8800-0156db1e3a89.1112965.rsem.genes.normalized_results	TCGA-DK-A1AC-01A-11R-A13Y-07
unc.edu.037904cf-92c3-443c-8800-0156db1e3a89.1759325.bt.exon_quantification.txt	TCGA-DK-A1AC-01A-11R-A13Y-07
unc.edu.0379335d-61be-4142-9ba3-2676dd0945d8.2434233.junction_quantification.txt	TCGA-E7-A8O7-01A-11R-A36F-07
unc.edu.0379335d-61be-4142-9ba3-2676dd0945d8.2434928.rsem.genes.results	TCGA-E7-A8O7-01A-11R-A36F-07
unc.edu.0379335d-61be-4142-9ba3-2676dd0945d8.2434929.rsem.isoforms.results	TCGA-E7-A8O7-01A-11R-A36F-07
unc.edu.0379335d-61be-4142-9ba3-2676dd0945d8.2434951.rsem.genes.normalized_results	TCGA-E7-A8O7-01A-11R-A36F-07
unc.edu.0379335d-61be-4142-9ba3-2676dd0945d8.2434954.rsem.isoforms.normalized_results	TCGA-E7-A8O7-01A-11R-A36F-07
unc.edu.0379335d-61be-4142-9ba3-2676dd0945d8.2435165.bt.exon_quantification.txt	TCGA-E7-A8O7-01A-11R-A36F-07
unc.edu.043d2756-1abf-411f-aaac-b448ed088be1.1928130.junction_quantification.txt	TCGA-FD-A43N-01A-11R-A23W-07
unc.edu.043d2756-1abf-411f-aaac-b448ed088be1.1929143.rsem.genes.results	TCGA-FD-A43N-01A-11R-A23W-07
unc.edu.043d2756-1abf-411f-aaac-b448ed088be1.1929144.rsem.isoforms.results	TCGA-FD-A43N-01A-11R-A23W-07
unc.edu.043d2756-1abf-411f-aaac-b448ed088be1.1929154.rsem.isoforms.normalized_results	TCGA-FD-A43N-01A-11R-A23W-07
unc.edu.043d2756-1abf-411f-aaac-b448ed088be1.1929157.rsem.genes.normalized_results	TCGA-FD-A43N-01A-11R-A23W-07
unc.edu.043d2756-1abf-411f-aaac-b448ed088be1.1929677.bt.exon_quantification.txt	TCGA-FD-A43N-01A-11R-A23W-07
unc.edu.06c37fa7-a8d3-4727-ba1d-69b584b8f585.2434151.junction_quantification.txt	TCGA-XF-A8HE-01A-11R-A36F-07
unc.edu.06c37fa7-a8d3-4727-ba1d-69b584b8f585.2434765.rsem.genes.results	TCGA-XF-A8HE-01A-11R-A36F-07
unc.edu.06c37fa7-a8d3-4727-ba1d-69b584b8f585.2434766.rsem.isoforms.results	TCGA-XF-A8HE-01A-11R-A36F-07
unc.edu.06c37fa7-a8d3-4727-ba1d-69b584b8f585.2434778.rsem.isoforms.normalized_results	TCGA-XF-A8HE-01A-11R-A36F-07
unc.edu.06c37fa7-a8d3-4727-ba1d-69b584b8f585.2434779.rsem.genes.normalized_results	TCGA-XF-A8HE-01A-11R-A36F-07
unc.edu.06c37fa7-a8d3-4727-ba1d-69b584b8f585.2434838.bt.exon_quantification.txt	TCGA-XF-A8HE-01A-11R-A36F-07
unc.edu.06d4cd28-11fb-4f25-8ae0-3fa8e3f3e325.1988083.junction_quantification.txt	TCGA-FD-A5BU-01A-31R-A26T-07
unc.edu.06d4cd28-11fb-4f25-8ae0-3fa8e3f3e325.1989582.rsem.genes.results	TCGA-FD-A5BU-01A-31R-A26T-07
unc.edu.06d4cd28-11fb-4f25-8ae0-3fa8e3f3e325.1989583.rsem.isoforms.results	TCGA-FD-A5BU-01A-31R-A26T-07
unc.edu.06d4cd28-11fb-4f25-8ae0-3fa8e3f3e325.1989602.rsem.isoforms.normalized_results	TCGA-FD-A5BU-01A-31R-A26T-07
unc.edu.06d4cd28-11fb-4f25-8ae0-3fa8e3f3e325.1989605.rsem.genes.normalized_results	TCGA-FD-A5BU-01A-31R-A26T-07
unc.edu.06d4cd28-11fb-4f25-8ae0-3fa8e3f3e325.1989743.bt.exon_quantification.txt	TCGA-FD-A5BU-01A-31R-A26T-07
unc.edu.088b27e8-38f6-41ff-a861-d371415fd7f0.2232103.junction_quantification.txt	TCGA-FD-A6TG-01A-11R-A32O-07
unc.edu.088b27e8-38f6-41ff-a861-d371415fd7f0.2233137.rsem.genes.results	TCGA-FD-A6TG-01A-11R-A32O-07
unc.edu.088b27e8-38f6-41ff-a861-d371415fd7f0.2233138.rsem.isoforms.results	TCGA-FD-A6TG-01A-11R-A32O-07
unc.edu.088b27e8-38f6-41ff-a861-d371415fd7f0.2233153.rsem.genes.normalized_results	TCGA-FD-A6TG-01A-11R-A32O-07
unc.edu.088b27e8-38f6-41ff-a861-d371415fd7f0.2233156.rsem.isoforms.normalized_results	TCGA-FD-A6TG-01A-11R-A32O-07
unc.edu.088b27e8-38f6-41ff-a861-d371415fd7f0.2233427.bt.exon_quantification.txt	TCGA-FD-A6TG-01A-11R-A32O-07
unc.edu.09898301-3dac-4b86-af1b-6cbad9f2d380.1180164.junction_quantification.txt	TCGA-BT-A20J-01A-11R-A14Y-07
unc.edu.09898301-3dac-4b86-af1b-6cbad9f2d380.1182544.rsem.genes.results	TCGA-BT-A20J-01A-11R-A14Y-07
unc.edu.09898301-3dac-4b86-af1b-6cbad9f2d380.1182545.rsem.isoforms.results	TCGA-BT-A20J-01A-11R-A14Y-07
unc.edu.09898301-3dac-4b86-af1b-6cbad9f2d380.1182808.rsem.isoforms.normalized_results	TCGA-BT-A20J-01A-11R-A14Y-07
unc.edu.09898301-3dac-4b86-af1b-6cbad9f2d380.1182811.rsem.genes.normalized_results	TCGA-BT-A20J-01A-11R-A14Y-07
unc.edu.09898301-3dac-4b86-af1b-6cbad9f2d380.1759711.bt.exon_quantification.txt	TCGA-BT-A20J-01A-11R-A14Y-07
unc.edu.0aba0f10-05b2-4045-822b-045f61457427.2094431.junction_quantification.txt	TCGA-E7-A677-01A-11R-A30C-07
unc.edu.0aba0f10-05b2-4045-822b-045f61457427.2095977.rsem.genes.results	TCGA-E7-A677-01A-11R-A30C-07
unc.edu.0aba0f10-05b2-4045-822b-045f61457427.2095978.rsem.isoforms.results	TCGA-E7-A677-01A-11R-A30C-07
unc.edu.0aba0f10-05b2-4045-822b-045f61457427.2096015.rsem.genes.normalized_results	TCGA-E7-A677-01A-11R-A30C-07
unc.edu.0aba0f10-05b2-4045-822b-045f61457427.2096018.rsem.isoforms.normalized_results	TCGA-E7-A677-01A-11R-A30C-07
unc.edu.0aba0f10-05b2-4045-822b-045f61457427.2096102.bt.exon_quantification.txt	TCGA-E7-A677-01A-11R-A30C-07
unc.edu.0c1e7ecc-d20d-4047-8419-6347537cb8a3.1821267.junction_quantification.txt	TCGA-CF-A47Y-01A-11R-A23W-07
unc.edu.0c1e7ecc-d20d-4047-8419-6347537cb8a3.1821610.rsem.genes.results	TCGA-CF-A47Y-01A-11R-A23W-07
unc.edu.0c1e7ecc-d20d-4047-8419-6347537cb8a3.1821611.rsem.isoforms.results	TCGA-CF-A47Y-01A-11R-A23W-07
unc.edu.0c1e7ecc-d20d-4047-8419-6347537cb8a3.1821629.rsem.genes.normalized_results	TCGA-CF-A47Y-01A-11R-A23W-07
unc.edu.0c1e7ecc-d20d-4047-8419-6347537cb8a3.1821630.rsem.isoforms.normalized_results	TCGA-CF-A47Y-01A-11R-A23W-07
unc.edu.0c1e7ecc-d20d-4047-8419-6347537cb8a3.1823566.bt.exon_quantification.txt	TCGA-CF-A47Y-01A-11R-A23W-07
