filename	barcode(s)
TCGA-3C-AAAU-01A-11R-A41G-13.isoform.quantification.txt	TCGA-3C-AAAU-01A-11R-A41G-13
TCGA-3C-AAAU-01A-11R-A41G-13.mirna.quantification.txt	TCGA-3C-AAAU-01A-11R-A41G-13
TCGA-3C-AALI-01A-11R-A41G-13.isoform.quantification.txt	TCGA-3C-AALI-01A-11R-A41G-13
TCGA-3C-AALI-01A-11R-A41G-13.mirna.quantification.txt	TCGA-3C-AALI-01A-11R-A41G-13
TCGA-3C-AALJ-01A-31R-A41G-13.isoform.quantification.txt	TCGA-3C-AALJ-01A-31R-A41G-13
TCGA-3C-AALJ-01A-31R-A41G-13.mirna.quantification.txt	TCGA-3C-AALJ-01A-31R-A41G-13
TCGA-3C-AALK-01A-11R-A41G-13.isoform.quantification.txt	TCGA-3C-AALK-01A-11R-A41G-13
TCGA-3C-AALK-01A-11R-A41G-13.mirna.quantification.txt	TCGA-3C-AALK-01A-11R-A41G-13
TCGA-4H-AAAK-01A-12R-A41G-13.isoform.quantification.txt	TCGA-4H-AAAK-01A-12R-A41G-13
TCGA-4H-AAAK-01A-12R-A41G-13.mirna.quantification.txt	TCGA-4H-AAAK-01A-12R-A41G-13
TCGA-5L-AAT0-01A-12R-A41G-13.isoform.quantification.txt	TCGA-5L-AAT0-01A-12R-A41G-13
TCGA-5L-AAT0-01A-12R-A41G-13.mirna.quantification.txt	TCGA-5L-AAT0-01A-12R-A41G-13
TCGA-5L-AAT1-01A-12R-A41G-13.isoform.quantification.txt	TCGA-5L-AAT1-01A-12R-A41G-13
TCGA-5L-AAT1-01A-12R-A41G-13.mirna.quantification.txt	TCGA-5L-AAT1-01A-12R-A41G-13
TCGA-5T-A9QA-01A-11R-A41G-13.isoform.quantification.txt	TCGA-5T-A9QA-01A-11R-A41G-13
TCGA-5T-A9QA-01A-11R-A41G-13.mirna.quantification.txt	TCGA-5T-A9QA-01A-11R-A41G-13
TCGA-A1-A0SB-01A-11R-A143-13.isoform.quantification.txt	TCGA-A1-A0SB-01A-11R-A143-13
TCGA-A1-A0SB-01A-11R-A143-13.mirna.quantification.txt	TCGA-A1-A0SB-01A-11R-A143-13
TCGA-A1-A0SD-01A-11R-A114-13.isoform.quantification.txt	TCGA-A1-A0SD-01A-11R-A114-13
TCGA-A1-A0SD-01A-11R-A114-13.mirna.quantification.txt	TCGA-A1-A0SD-01A-11R-A114-13
TCGA-A1-A0SF-01A-11R-A143-13.isoform.quantification.txt	TCGA-A1-A0SF-01A-11R-A143-13
