filename	barcode(s)
unc.edu.000d877f-8d03-44bc-8607-27b5ba84b5fe.1165098.junction_quantification.txt	TCGA-E9-A1RD-11A-33R-A157-07
unc.edu.000d877f-8d03-44bc-8607-27b5ba84b5fe.1167702.rsem.genes.results	TCGA-E9-A1RD-11A-33R-A157-07
unc.edu.000d877f-8d03-44bc-8607-27b5ba84b5fe.1167703.rsem.isoforms.results	TCGA-E9-A1RD-11A-33R-A157-07
unc.edu.000d877f-8d03-44bc-8607-27b5ba84b5fe.1167749.rsem.genes.normalized_results	TCGA-E9-A1RD-11A-33R-A157-07
unc.edu.000d877f-8d03-44bc-8607-27b5ba84b5fe.1167750.rsem.isoforms.normalized_results	TCGA-E9-A1RD-11A-33R-A157-07
unc.edu.000d877f-8d03-44bc-8607-27b5ba84b5fe.1764469.bt.exon_quantification.txt	TCGA-E9-A1RD-11A-33R-A157-07
unc.edu.00168e86-d23a-48ae-8c60-36d970051907.1165378.junction_quantification.txt	TCGA-E9-A1RC-01A-11R-A157-07
unc.edu.00168e86-d23a-48ae-8c60-36d970051907.1168728.rsem.genes.results	TCGA-E9-A1RC-01A-11R-A157-07
unc.edu.00168e86-d23a-48ae-8c60-36d970051907.1168729.rsem.isoforms.results	TCGA-E9-A1RC-01A-11R-A157-07
unc.edu.00168e86-d23a-48ae-8c60-36d970051907.1168774.rsem.genes.normalized_results	TCGA-E9-A1RC-01A-11R-A157-07
unc.edu.00168e86-d23a-48ae-8c60-36d970051907.1168775.rsem.isoforms.normalized_results	TCGA-E9-A1RC-01A-11R-A157-07
unc.edu.00168e86-d23a-48ae-8c60-36d970051907.1764487.bt.exon_quantification.txt	TCGA-E9-A1RC-01A-11R-A157-07
unc.edu.001773a6-9cf3-48a1-8ea1-1f0da4991bc5.2512598.junction_quantification.txt	TCGA-AC-A8OP-01A-11R-A36F-07
unc.edu.001773a6-9cf3-48a1-8ea1-1f0da4991bc5.2513024.rsem.genes.results	TCGA-AC-A8OP-01A-11R-A36F-07
unc.edu.001773a6-9cf3-48a1-8ea1-1f0da4991bc5.2513025.rsem.isoforms.results	TCGA-AC-A8OP-01A-11R-A36F-07
unc.edu.001773a6-9cf3-48a1-8ea1-1f0da4991bc5.2513047.rsem.genes.normalized_results	TCGA-AC-A8OP-01A-11R-A36F-07
unc.edu.001773a6-9cf3-48a1-8ea1-1f0da4991bc5.2513048.rsem.isoforms.normalized_results	TCGA-AC-A8OP-01A-11R-A36F-07
unc.edu.001773a6-9cf3-48a1-8ea1-1f0da4991bc5.2513146.bt.exon_quantification.txt	TCGA-AC-A8OP-01A-11R-A36F-07
unc.edu.0042b857-502f-4d8e-baac-845c1a9bb64b.1153607.junction_quantification.txt	TCGA-BH-A0B1-01A-12R-A056-07
unc.edu.0042b857-502f-4d8e-baac-845c1a9bb64b.1155344.rsem.genes.results	TCGA-BH-A0B1-01A-12R-A056-07
unc.edu.0042b857-502f-4d8e-baac-845c1a9bb64b.1155345.rsem.isoforms.results	TCGA-BH-A0B1-01A-12R-A056-07
unc.edu.0042b857-502f-4d8e-baac-845c1a9bb64b.1155370.rsem.genes.normalized_results	TCGA-BH-A0B1-01A-12R-A056-07
unc.edu.0042b857-502f-4d8e-baac-845c1a9bb64b.1155373.rsem.isoforms.normalized_results	TCGA-BH-A0B1-01A-12R-A056-07
unc.edu.0042b857-502f-4d8e-baac-845c1a9bb64b.1770272.bt.exon_quantification.txt	TCGA-BH-A0B1-01A-12R-A056-07
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1148384.junction_quantification.txt	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1150454.rsem.genes.results	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1150455.rsem.isoforms.results	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1150667.rsem.genes.normalized_results	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1150672.rsem.isoforms.normalized_results	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1770249.bt.exon_quantification.txt	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.00a3c8f4-bd75-4aa8-abb7-21005b1a5ad8.1117986.junction_quantification.txt	TCGA-D8-A1JH-01A-11R-A13Q-07
unc.edu.00a3c8f4-bd75-4aa8-abb7-21005b1a5ad8.1121453.rsem.genes.results	TCGA-D8-A1JH-01A-11R-A13Q-07
unc.edu.00a3c8f4-bd75-4aa8-abb7-21005b1a5ad8.1121455.rsem.isoforms.results	TCGA-D8-A1JH-01A-11R-A13Q-07
unc.edu.00a3c8f4-bd75-4aa8-abb7-21005b1a5ad8.1121475.rsem.genes.normalized_results	TCGA-D8-A1JH-01A-11R-A13Q-07
unc.edu.00a3c8f4-bd75-4aa8-abb7-21005b1a5ad8.1121476.rsem.isoforms.normalized_results	TCGA-D8-A1JH-01A-11R-A13Q-07
unc.edu.00a3c8f4-bd75-4aa8-abb7-21005b1a5ad8.1765315.bt.exon_quantification.txt	TCGA-D8-A1JH-01A-11R-A13Q-07
unc.edu.00e597fa-72b4-4e92-9428-7ec686e4cc0b.1821729.junction_quantification.txt	TCGA-A2-A0CR-01A-11R-A22K-07
unc.edu.00e597fa-72b4-4e92-9428-7ec686e4cc0b.1821934.rsem.genes.results	TCGA-A2-A0CR-01A-11R-A22K-07
unc.edu.00e597fa-72b4-4e92-9428-7ec686e4cc0b.1821935.rsem.isoforms.results	TCGA-A2-A0CR-01A-11R-A22K-07
