filename	barcode(s)
TCGA-2W-A8YY-01A-11R-A37P-13.isoform.quantification.txt	TCGA-2W-A8YY-01A-11R-A37P-13
TCGA-2W-A8YY-01A-11R-A37P-13.mirna.quantification.txt	TCGA-2W-A8YY-01A-11R-A37P-13
TCGA-4J-AA1J-01A-21R-A38M-13.isoform.quantification.txt	TCGA-4J-AA1J-01A-21R-A38M-13
TCGA-4J-AA1J-01A-21R-A38M-13.mirna.quantification.txt	TCGA-4J-AA1J-01A-21R-A38M-13
TCGA-BI-A0VR-01A-11R-A10V-13.isoform.quantification.txt	TCGA-BI-A0VR-01A-11R-A10V-13
TCGA-BI-A0VR-01A-11R-A10V-13.mirna.quantification.txt	TCGA-BI-A0VR-01A-11R-A10V-13
TCGA-BI-A0VS-01A-11R-A10V-13.isoform.quantification.txt	TCGA-BI-A0VS-01A-11R-A10V-13
TCGA-BI-A0VS-01A-11R-A10V-13.mirna.quantification.txt	TCGA-BI-A0VS-01A-11R-A10V-13
TCGA-BI-A20A-01A-11R-A14X-13.isoform.quantification.txt	TCGA-BI-A20A-01A-11R-A14X-13
TCGA-BI-A20A-01A-11R-A14X-13.mirna.quantification.txt	TCGA-BI-A20A-01A-11R-A14X-13
TCGA-C5-A0TN-01A-21R-A14X-13.isoform.quantification.txt	TCGA-C5-A0TN-01A-21R-A14X-13
TCGA-C5-A0TN-01A-21R-A14X-13.mirna.quantification.txt	TCGA-C5-A0TN-01A-21R-A14X-13
TCGA-C5-A1BE-01B-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1BE-01B-11R-A13X-13
TCGA-C5-A1BE-01B-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1BE-01B-11R-A13X-13
TCGA-C5-A1BF-01B-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1BF-01B-11R-A13X-13
TCGA-C5-A1BF-01B-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1BF-01B-11R-A13X-13
TCGA-C5-A1BI-01B-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1BI-01B-11R-A13X-13
TCGA-C5-A1BI-01B-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1BI-01B-11R-A13X-13
TCGA-C5-A1BJ-01A-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1BJ-01A-11R-A13X-13
TCGA-C5-A1BJ-01A-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1BJ-01A-11R-A13X-13
TCGA-C5-A1BK-01B-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1BK-01B-11R-A13X-13
TCGA-C5-A1BK-01B-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1BK-01B-11R-A13X-13
TCGA-C5-A1BL-01A-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1BL-01A-11R-A13X-13
TCGA-C5-A1BL-01A-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1BL-01A-11R-A13X-13
TCGA-C5-A1BM-01A-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1BM-01A-11R-A13X-13
TCGA-C5-A1BM-01A-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1BM-01A-11R-A13X-13
TCGA-C5-A1BN-01B-11R-A14X-13.isoform.quantification.txt	TCGA-C5-A1BN-01B-11R-A14X-13
TCGA-C5-A1BN-01B-11R-A14X-13.mirna.quantification.txt	TCGA-C5-A1BN-01B-11R-A14X-13
TCGA-C5-A1BQ-01C-11R-A214-13.isoform.quantification.txt	TCGA-C5-A1BQ-01C-11R-A214-13
TCGA-C5-A1BQ-01C-11R-A214-13.mirna.quantification.txt	TCGA-C5-A1BQ-01C-11R-A214-13
TCGA-C5-A1M5-01A-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1M5-01A-11R-A13X-13
TCGA-C5-A1M5-01A-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1M5-01A-11R-A13X-13
TCGA-C5-A1M6-01A-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1M6-01A-11R-A13X-13
TCGA-C5-A1M6-01A-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1M6-01A-11R-A13X-13
TCGA-C5-A1M7-01A-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1M7-01A-11R-A13X-13
TCGA-C5-A1M7-01A-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1M7-01A-11R-A13X-13
TCGA-C5-A1M8-01A-21R-A13X-13.isoform.quantification.txt	TCGA-C5-A1M8-01A-21R-A13X-13
TCGA-C5-A1M8-01A-21R-A13X-13.mirna.quantification.txt	TCGA-C5-A1M8-01A-21R-A13X-13
TCGA-C5-A1M9-01A-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1M9-01A-11R-A13X-13
TCGA-C5-A1M9-01A-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1M9-01A-11R-A13X-13
TCGA-C5-A1ME-01A-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1ME-01A-11R-A13X-13
TCGA-C5-A1ME-01A-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1ME-01A-11R-A13X-13
TCGA-C5-A1MF-01A-11R-A13X-13.isoform.quantification.txt	TCGA-C5-A1MF-01A-11R-A13X-13
TCGA-C5-A1MF-01A-11R-A13X-13.mirna.quantification.txt	TCGA-C5-A1MF-01A-11R-A13X-13
TCGA-C5-A1MH-01A-11R-A14X-13.isoform.quantification.txt	TCGA-C5-A1MH-01A-11R-A14X-13
TCGA-C5-A1MH-01A-11R-A14X-13.mirna.quantification.txt	TCGA-C5-A1MH-01A-11R-A14X-13
TCGA-C5-A1MI-01A-11R-A14X-13.isoform.quantification.txt	TCGA-C5-A1MI-01A-11R-A14X-13
TCGA-C5-A1MI-01A-11R-A14X-13.mirna.quantification.txt	TCGA-C5-A1MI-01A-11R-A14X-13
TCGA-C5-A1MJ-01A-11R-A14X-13.isoform.quantification.txt	TCGA-C5-A1MJ-01A-11R-A14X-13
