filename	barcode(s)
unc.edu.0046fef7-052b-4d4e-b264-b3bf2e2699b1.1648908.junction_quantification.txt	TCGA-C5-A2LY-01A-31R-A18M-07
unc.edu.0046fef7-052b-4d4e-b264-b3bf2e2699b1.1650077.rsem.genes.results	TCGA-C5-A2LY-01A-31R-A18M-07
unc.edu.0046fef7-052b-4d4e-b264-b3bf2e2699b1.1650078.rsem.isoforms.results	TCGA-C5-A2LY-01A-31R-A18M-07
unc.edu.0046fef7-052b-4d4e-b264-b3bf2e2699b1.1650103.rsem.isoforms.normalized_results	TCGA-C5-A2LY-01A-31R-A18M-07
unc.edu.0046fef7-052b-4d4e-b264-b3bf2e2699b1.1650104.rsem.genes.normalized_results	TCGA-C5-A2LY-01A-31R-A18M-07
unc.edu.0046fef7-052b-4d4e-b264-b3bf2e2699b1.1746344.bt.exon_quantification.txt	TCGA-C5-A2LY-01A-31R-A18M-07
unc.edu.00471faf-5a40-430a-8555-564fa885f618.1664766.junction_quantification.txt	TCGA-C5-A2M2-01A-21R-A18M-07
unc.edu.00471faf-5a40-430a-8555-564fa885f618.1665870.rsem.genes.results	TCGA-C5-A2M2-01A-21R-A18M-07
unc.edu.00471faf-5a40-430a-8555-564fa885f618.1665871.rsem.isoforms.results	TCGA-C5-A2M2-01A-21R-A18M-07
unc.edu.00471faf-5a40-430a-8555-564fa885f618.1665905.rsem.isoforms.normalized_results	TCGA-C5-A2M2-01A-21R-A18M-07
unc.edu.00471faf-5a40-430a-8555-564fa885f618.1665908.rsem.genes.normalized_results	TCGA-C5-A2M2-01A-21R-A18M-07
unc.edu.00471faf-5a40-430a-8555-564fa885f618.1746366.bt.exon_quantification.txt	TCGA-C5-A2M2-01A-21R-A18M-07
unc.edu.01a6c838-ea9c-488c-8dcb-8bac73253a33.2501600.junction_quantification.txt	TCGA-VS-A952-01A-11R-A38B-07
unc.edu.01a6c838-ea9c-488c-8dcb-8bac73253a33.2502204.rsem.genes.results	TCGA-VS-A952-01A-11R-A38B-07
unc.edu.01a6c838-ea9c-488c-8dcb-8bac73253a33.2502205.rsem.isoforms.results	TCGA-VS-A952-01A-11R-A38B-07
unc.edu.01a6c838-ea9c-488c-8dcb-8bac73253a33.2502244.rsem.genes.normalized_results	TCGA-VS-A952-01A-11R-A38B-07
unc.edu.01a6c838-ea9c-488c-8dcb-8bac73253a33.2502245.rsem.isoforms.normalized_results	TCGA-VS-A952-01A-11R-A38B-07
unc.edu.01a6c838-ea9c-488c-8dcb-8bac73253a33.2502480.bt.exon_quantification.txt	TCGA-VS-A952-01A-11R-A38B-07
unc.edu.01ab5f23-487f-4a57-97b3-6a110a789124.2469156.junction_quantification.txt	TCGA-VS-A954-01A-11R-A38B-07
unc.edu.01ab5f23-487f-4a57-97b3-6a110a789124.2469966.rsem.genes.results	TCGA-VS-A954-01A-11R-A38B-07
unc.edu.01ab5f23-487f-4a57-97b3-6a110a789124.2469967.rsem.isoforms.results	TCGA-VS-A954-01A-11R-A38B-07
unc.edu.01ab5f23-487f-4a57-97b3-6a110a789124.2470013.rsem.genes.normalized_results	TCGA-VS-A954-01A-11R-A38B-07
unc.edu.01ab5f23-487f-4a57-97b3-6a110a789124.2470014.rsem.isoforms.normalized_results	TCGA-VS-A954-01A-11R-A38B-07
unc.edu.01ab5f23-487f-4a57-97b3-6a110a789124.2470186.bt.exon_quantification.txt	TCGA-VS-A954-01A-11R-A38B-07
unc.edu.01d666b4-9605-422a-bfba-231b0d6ef20f.2439454.junction_quantification.txt	TCGA-C5-A7UI-01A-11R-A36F-07
unc.edu.01d666b4-9605-422a-bfba-231b0d6ef20f.2439965.rsem.genes.results	TCGA-C5-A7UI-01A-11R-A36F-07
unc.edu.01d666b4-9605-422a-bfba-231b0d6ef20f.2439966.rsem.isoforms.results	TCGA-C5-A7UI-01A-11R-A36F-07
unc.edu.01d666b4-9605-422a-bfba-231b0d6ef20f.2439979.rsem.isoforms.normalized_results	TCGA-C5-A7UI-01A-11R-A36F-07
unc.edu.01d666b4-9605-422a-bfba-231b0d6ef20f.2439982.rsem.genes.normalized_results	TCGA-C5-A7UI-01A-11R-A36F-07
unc.edu.01d666b4-9605-422a-bfba-231b0d6ef20f.2440091.bt.exon_quantification.txt	TCGA-C5-A7UI-01A-11R-A36F-07
unc.edu.028824a6-0890-43c9-a46f-48a23483d205.2255838.junction_quantification.txt	TCGA-EX-A449-01A-11R-A32Y-07
unc.edu.028824a6-0890-43c9-a46f-48a23483d205.2256487.rsem.genes.results	TCGA-EX-A449-01A-11R-A32Y-07
unc.edu.028824a6-0890-43c9-a46f-48a23483d205.2256488.rsem.isoforms.results	TCGA-EX-A449-01A-11R-A32Y-07
unc.edu.028824a6-0890-43c9-a46f-48a23483d205.2256506.rsem.genes.normalized_results	TCGA-EX-A449-01A-11R-A32Y-07
unc.edu.028824a6-0890-43c9-a46f-48a23483d205.2256509.rsem.isoforms.normalized_results	TCGA-EX-A449-01A-11R-A32Y-07
unc.edu.028824a6-0890-43c9-a46f-48a23483d205.2256676.bt.exon_quantification.txt	TCGA-EX-A449-01A-11R-A32Y-07
unc.edu.029c4ec1-b4a1-4aea-a126-aceadb8ab52a.1657907.junction_quantification.txt	TCGA-C5-A1MN-01A-11R-A14Y-07
unc.edu.029c4ec1-b4a1-4aea-a126-aceadb8ab52a.1658769.rsem.genes.results	TCGA-C5-A1MN-01A-11R-A14Y-07
unc.edu.029c4ec1-b4a1-4aea-a126-aceadb8ab52a.1658770.rsem.isoforms.results	TCGA-C5-A1MN-01A-11R-A14Y-07
