filename	barcode(s)
TCGA-3L-AA1B-01A-11H-A37P-13.hg19.isoform.quantification.txt	TCGA-3L-AA1B-01A-11H-A37P-13
TCGA-3L-AA1B-01A-11H-A37P-13.hg19.mirna.quantification.txt	TCGA-3L-AA1B-01A-11H-A37P-13
TCGA-4N-A93T-01A-11H-A37P-13.hg19.isoform.quantification.txt	TCGA-4N-A93T-01A-11H-A37P-13
TCGA-4N-A93T-01A-11H-A37P-13.hg19.mirna.quantification.txt	TCGA-4N-A93T-01A-11H-A37P-13
TCGA-4T-AA8H-01A-11H-A41D-13.hg19.isoform.quantification.txt	TCGA-4T-AA8H-01A-11H-A41D-13
TCGA-4T-AA8H-01A-11H-A41D-13.hg19.mirna.quantification.txt	TCGA-4T-AA8H-01A-11H-A41D-13
TCGA-5M-AAT4-01A-11H-A41D-13.hg19.isoform.quantification.txt	TCGA-5M-AAT4-01A-11H-A41D-13
TCGA-5M-AAT4-01A-11H-A41D-13.hg19.mirna.quantification.txt	TCGA-5M-AAT4-01A-11H-A41D-13
TCGA-5M-AAT5-01A-21H-A41D-13.hg19.isoform.quantification.txt	TCGA-5M-AAT5-01A-21H-A41D-13
TCGA-5M-AAT5-01A-21H-A41D-13.hg19.mirna.quantification.txt	TCGA-5M-AAT5-01A-21H-A41D-13
TCGA-5M-AAT6-01A-11H-A41D-13.hg19.isoform.quantification.txt	TCGA-5M-AAT6-01A-11H-A41D-13
TCGA-5M-AAT6-01A-11H-A41D-13.hg19.mirna.quantification.txt	TCGA-5M-AAT6-01A-11H-A41D-13
TCGA-5M-AATA-01A-31H-A41D-13.hg19.isoform.quantification.txt	TCGA-5M-AATA-01A-31H-A41D-13
TCGA-5M-AATA-01A-31H-A41D-13.hg19.mirna.quantification.txt	TCGA-5M-AATA-01A-31H-A41D-13
TCGA-5M-AATE-01A-11H-A41D-13.hg19.isoform.quantification.txt	TCGA-5M-AATE-01A-11H-A41D-13
TCGA-5M-AATE-01A-11H-A41D-13.hg19.mirna.quantification.txt	TCGA-5M-AATE-01A-11H-A41D-13
TCGA-A6-2671-11A-01R-1757-13.hg19.isoform.quantification.txt	TCGA-A6-2671-11A-01R-1757-13
TCGA-A6-2671-11A-01R-1757-13.hg19.mirna.quantification.txt	TCGA-A6-2671-11A-01R-1757-13
TCGA-A6-2671-11A-01R-1757-13.isoform.quantification.txt	TCGA-A6-2671-11A-01R-1757-13
TCGA-A6-2671-11A-01R-1757-13.mirna.quantification.txt	TCGA-A6-2671-11A-01R-1757-13
TCGA-A6-2675-01A-02T-1722-13.hg19.isoform.quantification.txt	TCGA-A6-2675-01A-02T-1722-13
TCGA-A6-2675-01A-02T-1722-13.hg19.mirna.quantification.txt	TCGA-A6-2675-01A-02T-1722-13
TCGA-A6-2675-01A-02T-1722-13.isoform.quantification.txt	TCGA-A6-2675-01A-02T-1722-13
TCGA-A6-2675-01A-02T-1722-13.mirna.quantification.txt	TCGA-A6-2675-01A-02T-1722-13
TCGA-A6-2680-11A-01R-1757-13.hg19.isoform.quantification.txt	TCGA-A6-2680-11A-01R-1757-13
TCGA-A6-2680-11A-01R-1757-13.hg19.mirna.quantification.txt	TCGA-A6-2680-11A-01R-1757-13
TCGA-A6-2680-11A-01R-1757-13.isoform.quantification.txt	TCGA-A6-2680-11A-01R-1757-13
TCGA-A6-2680-11A-01R-1757-13.mirna.quantification.txt	TCGA-A6-2680-11A-01R-1757-13
TCGA-A6-2683-11A-01R-1757-13.hg19.isoform.quantification.txt	TCGA-A6-2683-11A-01R-1757-13
TCGA-A6-2683-11A-01R-1757-13.hg19.mirna.quantification.txt	TCGA-A6-2683-11A-01R-1757-13
TCGA-A6-2683-11A-01R-1757-13.isoform.quantification.txt	TCGA-A6-2683-11A-01R-1757-13
TCGA-A6-2683-11A-01R-1757-13.mirna.quantification.txt	TCGA-A6-2683-11A-01R-1757-13
TCGA-A6-2684-11A-01R-1757-13.hg19.isoform.quantification.txt	TCGA-A6-2684-11A-01R-1757-13
TCGA-A6-2684-11A-01R-1757-13.hg19.mirna.quantification.txt	TCGA-A6-2684-11A-01R-1757-13
TCGA-A6-2684-11A-01R-1757-13.isoform.quantification.txt	TCGA-A6-2684-11A-01R-1757-13
TCGA-A6-2684-11A-01R-1757-13.mirna.quantification.txt	TCGA-A6-2684-11A-01R-1757-13
TCGA-A6-2685-11A-01R-1757-13.hg19.isoform.quantification.txt	TCGA-A6-2685-11A-01R-1757-13
TCGA-A6-2685-11A-01R-1757-13.hg19.mirna.quantification.txt	TCGA-A6-2685-11A-01R-1757-13
TCGA-A6-2685-11A-01R-1757-13.isoform.quantification.txt	TCGA-A6-2685-11A-01R-1757-13
