filename	barcode(s)
unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1784211.junction_quantification.txt	TCGA-AA-3662-11A-01R-1723-07
unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1784726.rsem.genes.results	TCGA-AA-3662-11A-01R-1723-07
unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1784727.rsem.isoforms.results	TCGA-AA-3662-11A-01R-1723-07
unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1784748.rsem.genes.normalized_results	TCGA-AA-3662-11A-01R-1723-07
unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1784749.rsem.isoforms.normalized_results	TCGA-AA-3662-11A-01R-1723-07
unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1785248.bt.exon_quantification.txt	TCGA-AA-3662-11A-01R-1723-07
unc.edu.013e625d-9dec-4e92-8130-1e99fe7a86e0.2441533.junction_quantification.txt	TCGA-AY-A71X-01A-12R-A37K-07
unc.edu.013e625d-9dec-4e92-8130-1e99fe7a86e0.2442338.rsem.genes.results	TCGA-AY-A71X-01A-12R-A37K-07
unc.edu.013e625d-9dec-4e92-8130-1e99fe7a86e0.2442339.rsem.isoforms.results	TCGA-AY-A71X-01A-12R-A37K-07
unc.edu.013e625d-9dec-4e92-8130-1e99fe7a86e0.2442359.rsem.genes.normalized_results	TCGA-AY-A71X-01A-12R-A37K-07
unc.edu.013e625d-9dec-4e92-8130-1e99fe7a86e0.2442360.rsem.isoforms.normalized_results	TCGA-AY-A71X-01A-12R-A37K-07
unc.edu.013e625d-9dec-4e92-8130-1e99fe7a86e0.2442457.bt.exon_quantification.txt	TCGA-AY-A71X-01A-12R-A37K-07
unc.edu.02425503-99c9-4a4e-841f-5b8b4de64148.1794519.junction_quantification.txt	TCGA-A6-4105-01A-02R-1774-07
unc.edu.02425503-99c9-4a4e-841f-5b8b4de64148.1794685.rsem.genes.results	TCGA-A6-4105-01A-02R-1774-07
unc.edu.02425503-99c9-4a4e-841f-5b8b4de64148.1794686.rsem.isoforms.results	TCGA-A6-4105-01A-02R-1774-07
unc.edu.02425503-99c9-4a4e-841f-5b8b4de64148.1794698.rsem.genes.normalized_results	TCGA-A6-4105-01A-02R-1774-07
unc.edu.02425503-99c9-4a4e-841f-5b8b4de64148.1794699.rsem.isoforms.normalized_results	TCGA-A6-4105-01A-02R-1774-07
unc.edu.02425503-99c9-4a4e-841f-5b8b4de64148.1795343.bt.exon_quantification.txt	TCGA-A6-4105-01A-02R-1774-07
unc.edu.036cbd41-560c-452d-94c4-f9ffeb1a3c46.2303009.junction_quantification.txt	TCGA-AA-3526-01A-02R-A32Z-07
unc.edu.036cbd41-560c-452d-94c4-f9ffeb1a3c46.2303562.rsem.genes.results	TCGA-AA-3526-01A-02R-A32Z-07
unc.edu.036cbd41-560c-452d-94c4-f9ffeb1a3c46.2303563.rsem.isoforms.results	TCGA-AA-3526-01A-02R-A32Z-07
unc.edu.036cbd41-560c-452d-94c4-f9ffeb1a3c46.2303594.rsem.genes.normalized_results	TCGA-AA-3526-01A-02R-A32Z-07
unc.edu.036cbd41-560c-452d-94c4-f9ffeb1a3c46.2303603.rsem.isoforms.normalized_results	TCGA-AA-3526-01A-02R-A32Z-07
unc.edu.036cbd41-560c-452d-94c4-f9ffeb1a3c46.2305163.bt.exon_quantification.txt	TCGA-AA-3526-01A-02R-A32Z-07
unc.edu.04c767c7-f458-4610-880f-1fc5424170fa.1782950.junction_quantification.txt	TCGA-F4-6463-01A-11R-1723-07
unc.edu.04c767c7-f458-4610-880f-1fc5424170fa.1784084.rsem.genes.results	TCGA-F4-6463-01A-11R-1723-07
unc.edu.04c767c7-f458-4610-880f-1fc5424170fa.1784085.rsem.isoforms.results	TCGA-F4-6463-01A-11R-1723-07
unc.edu.04c767c7-f458-4610-880f-1fc5424170fa.1784101.rsem.isoforms.normalized_results	TCGA-F4-6463-01A-11R-1723-07
unc.edu.04c767c7-f458-4610-880f-1fc5424170fa.1784104.rsem.genes.normalized_results	TCGA-F4-6463-01A-11R-1723-07
unc.edu.04c767c7-f458-4610-880f-1fc5424170fa.1785243.bt.exon_quantification.txt	TCGA-F4-6463-01A-11R-1723-07
unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802185.junction_quantification.txt	TCGA-A6-5665-01A-01R-1653-07
unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802807.rsem.genes.results	TCGA-A6-5665-01A-01R-1653-07
unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802808.rsem.isoforms.results	TCGA-A6-5665-01A-01R-1653-07
unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802824.rsem.genes.normalized_results	TCGA-A6-5665-01A-01R-1653-07
unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802825.rsem.isoforms.normalized_results	TCGA-A6-5665-01A-01R-1653-07
unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802868.bt.exon_quantification.txt	TCGA-A6-5665-01A-01R-1653-07
unc.edu.063ab4f7-2fb9-4e6e-9d47-c1199ba8d9a3.1861371.junction_quantification.txt	TCGA-F4-6806-01A-11R-1839-07
unc.edu.063ab4f7-2fb9-4e6e-9d47-c1199ba8d9a3.1861668.rsem.genes.results	TCGA-F4-6806-01A-11R-1839-07
unc.edu.063ab4f7-2fb9-4e6e-9d47-c1199ba8d9a3.1861669.rsem.isoforms.results	TCGA-F4-6806-01A-11R-1839-07
unc.edu.063ab4f7-2fb9-4e6e-9d47-c1199ba8d9a3.1861686.rsem.genes.normalized_results	TCGA-F4-6806-01A-11R-1839-07
unc.edu.063ab4f7-2fb9-4e6e-9d47-c1199ba8d9a3.1861689.rsem.isoforms.normalized_results	TCGA-F4-6806-01A-11R-1839-07
unc.edu.063ab4f7-2fb9-4e6e-9d47-c1199ba8d9a3.1861745.bt.exon_quantification.txt	TCGA-F4-6806-01A-11R-1839-07
unc.edu.06825f9e-18a0-40ae-877c-7e01d4552283.2659474.junction_quantification.txt	TCGA-AA-3675-01A-02R-0905-07
unc.edu.06825f9e-18a0-40ae-877c-7e01d4552283.2660426.rsem.genes.results	TCGA-AA-3675-01A-02R-0905-07
unc.edu.06825f9e-18a0-40ae-877c-7e01d4552283.2660427.rsem.isoforms.results	TCGA-AA-3675-01A-02R-0905-07
unc.edu.06825f9e-18a0-40ae-877c-7e01d4552283.2660443.rsem.genes.normalized_results	TCGA-AA-3675-01A-02R-0905-07
unc.edu.06825f9e-18a0-40ae-877c-7e01d4552283.2660444.rsem.isoforms.normalized_results	TCGA-AA-3675-01A-02R-0905-07
unc.edu.06825f9e-18a0-40ae-877c-7e01d4552283.2660503.bt.exon_quantification.txt	TCGA-AA-3675-01A-02R-0905-07
unc.edu.06c5b3d6-24c7-4d53-8871-7a9b19377c20.1721374.junction_quantification.txt	TCGA-DM-A1D7-01A-11R-A155-07
unc.edu.06c5b3d6-24c7-4d53-8871-7a9b19377c20.1725108.rsem.genes.results	TCGA-DM-A1D7-01A-11R-A155-07
unc.edu.06c5b3d6-24c7-4d53-8871-7a9b19377c20.1725109.rsem.isoforms.results	TCGA-DM-A1D7-01A-11R-A155-07
