filename	barcode(s)
TCGA-2H-A9GF-01A-11R-A37J-13.isoform.quantification.txt	TCGA-2H-A9GF-01A-11R-A37J-13
TCGA-2H-A9GF-01A-11R-A37J-13.mirna.quantification.txt	TCGA-2H-A9GF-01A-11R-A37J-13
TCGA-2H-A9GG-01A-11R-A37J-13.isoform.quantification.txt	TCGA-2H-A9GG-01A-11R-A37J-13
TCGA-2H-A9GG-01A-11R-A37J-13.mirna.quantification.txt	TCGA-2H-A9GG-01A-11R-A37J-13
TCGA-2H-A9GH-01A-11R-A37J-13.isoform.quantification.txt	TCGA-2H-A9GH-01A-11R-A37J-13
TCGA-2H-A9GH-01A-11R-A37J-13.mirna.quantification.txt	TCGA-2H-A9GH-01A-11R-A37J-13
TCGA-2H-A9GI-01A-11R-A37J-13.isoform.quantification.txt	TCGA-2H-A9GI-01A-11R-A37J-13
TCGA-2H-A9GI-01A-11R-A37J-13.mirna.quantification.txt	TCGA-2H-A9GI-01A-11R-A37J-13
TCGA-2H-A9GJ-01A-11R-A37J-13.isoform.quantification.txt	TCGA-2H-A9GJ-01A-11R-A37J-13
TCGA-2H-A9GJ-01A-11R-A37J-13.mirna.quantification.txt	TCGA-2H-A9GJ-01A-11R-A37J-13
TCGA-2H-A9GK-01A-11R-A37J-13.isoform.quantification.txt	TCGA-2H-A9GK-01A-11R-A37J-13
TCGA-2H-A9GK-01A-11R-A37J-13.mirna.quantification.txt	TCGA-2H-A9GK-01A-11R-A37J-13
TCGA-2H-A9GL-01A-12R-A37J-13.isoform.quantification.txt	TCGA-2H-A9GL-01A-12R-A37J-13
TCGA-2H-A9GL-01A-12R-A37J-13.mirna.quantification.txt	TCGA-2H-A9GL-01A-12R-A37J-13
TCGA-2H-A9GM-01A-11R-A37J-13.isoform.quantification.txt	TCGA-2H-A9GM-01A-11R-A37J-13
TCGA-2H-A9GM-01A-11R-A37J-13.mirna.quantification.txt	TCGA-2H-A9GM-01A-11R-A37J-13
TCGA-2H-A9GN-01A-11R-A37J-13.isoform.quantification.txt	TCGA-2H-A9GN-01A-11R-A37J-13
TCGA-2H-A9GN-01A-11R-A37J-13.mirna.quantification.txt	TCGA-2H-A9GN-01A-11R-A37J-13
TCGA-2H-A9GO-01A-11R-A37J-13.isoform.quantification.txt	TCGA-2H-A9GO-01A-11R-A37J-13
TCGA-2H-A9GO-01A-11R-A37J-13.mirna.quantification.txt	TCGA-2H-A9GO-01A-11R-A37J-13
