filename	barcode(s)
unc.edu.01f8953f-3a49-4ed6-b4ec-99a732245eb8.2701405.rsem.genes.normalized_results	TCGA-JY-A93E-01A-11R-A37I-31
unc.edu.027af223-8a23-46c0-a4b7-687cdfacd606.2701380.rsem.genes.normalized_results	TCGA-LN-A9FO-01A-11R-A38D-31
unc.edu.03615f64-600c-4c08-bb17-e5fd9b45a7df.2701516.rsem.genes.normalized_results	TCGA-IG-A3I8-11A-11R-A24K-31
unc.edu.03cad6ec-004b-4b3c-a165-a7e8860fb82e.2701468.rsem.genes.normalized_results	TCGA-IG-A3YC-01A-11R-A24K-31
unc.edu.094ff108-ef44-4a75-9aa6-f4dabed7817a.2701278.rsem.genes.normalized_results	TCGA-LN-A9FR-01A-11R-A38D-31
unc.edu.0baa4161-2e58-4942-8a32-6135060d8f03.2701297.rsem.genes.normalized_results	TCGA-M9-A5M8-01A-11R-A28J-31
unc.edu.0c3fd9e2-4ed6-4e73-ae61-b6279eaab6e3.2701179.rsem.genes.normalized_results	TCGA-L5-A8NR-01A-11R-A37I-31
unc.edu.0c615c32-fc4c-44f0-ac26-494a8c444532.2701423.rsem.genes.normalized_results	TCGA-JY-A6FG-01A-11R-A336-31
unc.edu.0c798ab9-d08b-4eaf-b53a-54c8b369c61e.2701540.rsem.genes.normalized_results	TCGA-L5-A4OO-01A-11R-A260-31
unc.edu.0e360f52-b968-4423-869d-008cf4bbcb3c.2700805.rsem.genes.normalized_results	TCGA-VR-A8EY-01A-11R-A36D-31
unc.edu.0e4428f4-ba90-407d-a7b2-0fff6ca86c2e.2700769.rsem.genes.normalized_results	TCGA-L5-A8NM-01A-11R-A37I-31
unc.edu.0e74c420-35e1-446d-b1e6-1d9fb18bd787.2700704.rsem.genes.normalized_results	TCGA-VR-A8ER-01A-11R-A36D-31
unc.edu.0fad8844-8fe9-4dc2-91d0-a7f7a210dcb9.2701163.rsem.genes.normalized_results	TCGA-LN-A5U5-01A-21R-A28J-31
unc.edu.1237b3e0-eb4e-4d93-9bf2-b083d8332e00.2700737.rsem.genes.normalized_results	TCGA-JY-A93F-01A-21R-A37I-31
unc.edu.145a7c8f-fece-480a-b139-9ca7ff209b78.2701151.rsem.genes.normalized_results	TCGA-KH-A6WC-01A-11R-A336-31
unc.edu.15bbd01a-a400-4d76-b155-08eaa92f0df6.2701492.rsem.genes.normalized_results	TCGA-LN-A4A6-01A-11R-A260-31
unc.edu.16014dc9-b654-4670-8fbd-9d0dbb6d66d5.2700821.rsem.genes.normalized_results	TCGA-R6-A6XG-01B-11R-A336-31
unc.edu.1ad116a8-cb06-42c8-b328-8daaed381176.2701119.rsem.genes.normalized_results	TCGA-LN-A49W-01A-11R-A260-31
unc.edu.1b056d52-7a6a-45c5-a65f-ed33bacec801.2700907.rsem.genes.normalized_results	TCGA-V5-AASW-01A-11R-A406-31
unc.edu.1b21ca73-6e9f-4115-93a7-84f0df1f7b09.2701341.rsem.genes.normalized_results	TCGA-LN-A49K-01A-11R-A24K-31
unc.edu.1cdec593-eabd-4dcf-9488-9cb1c15678a7.2700426.rsem.genes.normalized_results	TCGA-LN-A7HV-01A-21R-A354-31
unc.edu.1db4ac11-18c1-45ef-90de-fcb9d799d9ec.2700958.rsem.genes.normalized_results	TCGA-LN-A4A8-01A-32R-A260-31
unc.edu.20de8b59-fe73-4e57-97c1-b951896b0c29.2700994.rsem.genes.normalized_results	TCGA-LN-A8I0-01A-11R-A36D-31
unc.edu.2235d68c-75ea-47f2-a3c5-9e9cff416d22.2700503.rsem.genes.normalized_results	TCGA-IG-A51D-01A-11R-A36D-31
unc.edu.22cf7575-0a8b-4faa-9d12-c40c54e5ed0f.2700536.rsem.genes.normalized_results	TCGA-L5-A8NT-01A-11R-A37I-31
unc.edu.23cf227e-18cb-45af-8273-b04f8f2c0b7b.2701075.rsem.genes.normalized_results	TCGA-L5-A88W-01A-11R-A354-31
unc.edu.264bd4f0-7c96-4c7a-91cd-604c2919e646.2700264.rsem.genes.normalized_results	TCGA-VR-A8EO-01A-11R-A36D-31
unc.edu.2666431c-515b-4088-a448-baf7c52106d8.2700243.rsem.genes.normalized_results	TCGA-2H-A9GF-01A-11R-A37I-31
unc.edu.27645d9b-50ee-429f-8cd1-d6ba02dae646.2719057.rsem.genes.normalized_results	TCGA-L5-A4OR-11A-11R-A260-31
unc.edu.27e10efe-b0fb-44fd-854e-1108699903a8.2700462.rsem.genes.normalized_results	TCGA-LN-A4A9-01A-11R-A28J-31
unc.edu.28616399-0b80-4f76-8b7f-8ec85982e3fa.2700602.rsem.genes.normalized_results	TCGA-L5-A43E-01A-11R-A24K-31
unc.edu.292eea4b-1268-4b05-817d-ead63d73a038.2700861.rsem.genes.normalized_results	TCGA-L5-A4OW-01A-11R-A28J-31
unc.edu.2e53b266-1064-4cd0-99fa-79983cf8187c.2700175.rsem.genes.normalized_results	TCGA-R6-A6L4-01A-11R-A31P-31
unc.edu.304c0cbd-13cd-4822-b4ed-2c873c79cf91.2699747.rsem.genes.normalized_results	TCGA-R6-A8WG-01A-11R-A37I-31
unc.edu.31a6e0c8-ac13-44b1-b644-4c87b0a996cd.2705925.rsem.genes.normalized_results	TCGA-L5-A88T-01A-11R-A354-31
unc.edu.31d64da5-3a37-460d-86c9-83087e5ce986.2699884.rsem.genes.normalized_results	TCGA-LN-A5U6-01A-11R-A28J-31
unc.edu.31e00169-1384-418d-a5ef-1ee3a5478fad.2699608.rsem.genes.normalized_results	TCGA-L7-A6VZ-01A-12R-A336-31
unc.edu.32f8e48f-298b-44de-b33d-6c69997c29e7.2699079.rsem.genes.normalized_results	TCGA-LN-A7HZ-01A-31R-A354-31
unc.edu.349ac9de-cfd8-4b45-bc9f-3951ea356488.2715625.rsem.genes.normalized_results	TCGA-V5-A7RE-01A-11R-A354-31
unc.edu.35db6527-ec8a-4b0c-b296-81ee1340f3d4.2715944.rsem.genes.normalized_results	TCGA-IG-A3QL-01A-11R-A24K-31
unc.edu.36bd8402-c606-4aab-a9cc-1de97f3e9d41.2715238.rsem.genes.normalized_results	TCGA-R6-A6KZ-01A-11R-A31P-31
unc.edu.3808b443-cfdf-4655-b39c-2c036ba1b11f.2715639.rsem.genes.normalized_results	TCGA-JY-A6FA-01A-11R-A336-31
unc.edu.396af380-aee4-4c94-ab0d-9e3da649c449.2715668.rsem.genes.normalized_results	TCGA-VR-AA7D-01A-11R-A406-31
unc.edu.39d7da4b-54da-4633-a3c0-0839a14cda0a.2715423.rsem.genes.normalized_results	TCGA-LN-A7HX-01A-11R-A336-31
unc.edu.3b510f65-5290-4e7f-8067-a9f20c045308.2716347.rsem.genes.normalized_results	TCGA-L5-A4ON-01A-11R-A260-31
unc.edu.3b88034b-950d-4fd1-ae98-2cd37342bbf4.2697715.rsem.genes.normalized_results	TCGA-2H-A9GN-01A-11R-A37I-31
unc.edu.3c1eadbc-7a4c-4009-95b4-5125847528b4.2714912.rsem.genes.normalized_results	TCGA-IG-A7DP-01A-31R-A336-31
unc.edu.3ca9da69-02ef-4660-8f06-f6df23cb6e4e.2716661.rsem.genes.normalized_results	TCGA-IG-A3Y9-01A-12R-A24K-31
unc.edu.3e623ddd-6fce-43e6-9d28-edf725d0d10e.2715463.rsem.genes.normalized_results	TCGA-IG-A625-01A-11R-A31P-31
unc.edu.3e9a405f-cb27-4773-b501-57a2eaf833d4.2715429.rsem.genes.normalized_results	TCGA-2H-A9GI-01A-11R-A37I-31
unc.edu.4091639e-e22e-4731-8d2f-634f46472ae6.2696515.rsem.genes.normalized_results	TCGA-R6-A6DN-01B-11R-A31P-31
unc.edu.40ace004-0894-4bff-be42-a86a7da9e543.2695261.rsem.genes.normalized_results	TCGA-L5-A8NS-01A-12R-A37I-31
unc.edu.416efc20-e5b3-497f-9bd5-c8504c2d1886.2696224.rsem.genes.normalized_results	TCGA-L5-A4OF-11A-12R-A260-31
unc.edu.44e66c79-a769-4003-855b-2efddb00b9fe.2715439.rsem.genes.normalized_results	TCGA-JY-A6FH-01A-11R-A336-31
unc.edu.47670c44-e944-4cbf-b9e6-e1e189666c44.2716549.rsem.genes.normalized_results	TCGA-IG-A4QT-01A-21R-A260-31
unc.edu.47884f1b-a77d-46ac-8ce8-f6feb7290357.2715389.rsem.genes.normalized_results	TCGA-IG-A8O2-01A-11R-A36D-31
unc.edu.47961958-4d67-4b23-b359-acbc4e480758.2716038.rsem.genes.normalized_results	TCGA-R6-A6DQ-01B-11R-A31P-31
unc.edu.488fedbe-5cd7-4415-a2f2-54a3989aa6af.2715595.rsem.genes.normalized_results	TCGA-VR-A8Q7-01A-11R-A37I-31
unc.edu.4c2b9466-cc62-4577-8576-3d52a9729747.2715486.rsem.genes.normalized_results	TCGA-LN-A5U7-01A-11R-A31P-31
unc.edu.501c9cf2-ff7f-4f35-bace-52cc4392237d.2693702.rsem.genes.normalized_results	TCGA-R6-A6XQ-01B-11R-A336-31
unc.edu.5274a9c2-5c4c-4ec0-8028-1c6e2d0e1079.2715309.rsem.genes.normalized_results	TCGA-LN-A4A3-01A-11R-A260-31
unc.edu.52a91d30-59cf-4bfe-841e-0ea6cba88ff7.2715336.rsem.genes.normalized_results	TCGA-VR-A8EU-01A-11R-A36D-31
unc.edu.52e9e41e-4cc2-4949-aede-b68a2d0822aa.2717656.rsem.genes.normalized_results	TCGA-L5-A4OG-11A-12R-A260-31
unc.edu.533fc4a0-820e-4d46-9e51-c5ddfb63e590.2715276.rsem.genes.normalized_results	TCGA-L5-A88Y-01A-11R-A354-31
unc.edu.53913eb9-aecc-4b4a-936b-ce4286281a32.2719078.rsem.genes.normalized_results	TCGA-ZR-A9CJ-01B-11R-A38D-31
unc.edu.54d09e0c-b5f0-4b0d-98eb-200b29a6458e.2715645.rsem.genes.normalized_results	TCGA-IG-A50L-01A-11R-A260-31
unc.edu.55252c81-c522-4769-baa4-fec53df653ee.2715982.rsem.genes.normalized_results	TCGA-L5-A43M-01A-11R-A24K-31
unc.edu.554c6fc5-20ee-4826-8d62-16e57ab45652.2719042.rsem.genes.normalized_results	TCGA-JY-A939-01A-12R-A37I-31
unc.edu.55a1b1e4-d4d3-4aaa-8058-605703ca3da9.2691808.rsem.genes.normalized_results	TCGA-IG-A97H-01A-11R-A38D-31
unc.edu.576da4f6-4fda-4ee6-a0ff-8ab5e55ed5cb.2691780.rsem.genes.normalized_results	TCGA-XP-A8T8-01A-11R-A36D-31
unc.edu.5892256a-f428-46fe-aff1-2215fd8090be.2692573.rsem.genes.normalized_results	TCGA-L5-A43I-01A-11R-A24K-31
unc.edu.5c7efcdd-2676-486e-90e1-ba7bb588f461.2692132.rsem.genes.normalized_results	TCGA-L5-A8NK-01A-21R-A37I-31
