filename	barcode(s)
unc.edu.01b7a29e-0d3a-4a18-8cb6-f8a329f9d6e6.1544790.junction_quantification.txt	TCGA-06-0171-02A-11R-2005-01
unc.edu.01b7a29e-0d3a-4a18-8cb6-f8a329f9d6e6.1545278.rsem.genes.results	TCGA-06-0171-02A-11R-2005-01
unc.edu.01b7a29e-0d3a-4a18-8cb6-f8a329f9d6e6.1545279.rsem.isoforms.results	TCGA-06-0171-02A-11R-2005-01
unc.edu.01b7a29e-0d3a-4a18-8cb6-f8a329f9d6e6.1545293.rsem.genes.normalized_results	TCGA-06-0171-02A-11R-2005-01
unc.edu.01b7a29e-0d3a-4a18-8cb6-f8a329f9d6e6.1545294.rsem.isoforms.normalized_results	TCGA-06-0171-02A-11R-2005-01
unc.edu.01b7a29e-0d3a-4a18-8cb6-f8a329f9d6e6.1748005.bt.exon_quantification.txt	TCGA-06-0171-02A-11R-2005-01
unc.edu.03422479-a670-44ed-a9f7-33f4554ef6f6.1545032.junction_quantification.txt	TCGA-76-4925-01A-01R-1850-01
unc.edu.03422479-a670-44ed-a9f7-33f4554ef6f6.1545376.rsem.genes.results	TCGA-76-4925-01A-01R-1850-01
unc.edu.03422479-a670-44ed-a9f7-33f4554ef6f6.1545377.rsem.isoforms.results	TCGA-76-4925-01A-01R-1850-01
unc.edu.03422479-a670-44ed-a9f7-33f4554ef6f6.1545389.rsem.isoforms.normalized_results	TCGA-76-4925-01A-01R-1850-01
unc.edu.03422479-a670-44ed-a9f7-33f4554ef6f6.1545390.rsem.genes.normalized_results	TCGA-76-4925-01A-01R-1850-01
unc.edu.03422479-a670-44ed-a9f7-33f4554ef6f6.1748008.bt.exon_quantification.txt	TCGA-76-4925-01A-01R-1850-01
unc.edu.049eb561-95ee-4584-b9eb-0715c80e0a95.1544994.junction_quantification.txt	TCGA-26-1442-01A-01R-1850-01
unc.edu.049eb561-95ee-4584-b9eb-0715c80e0a95.1545355.rsem.genes.results	TCGA-26-1442-01A-01R-1850-01
unc.edu.049eb561-95ee-4584-b9eb-0715c80e0a95.1545356.rsem.isoforms.results	TCGA-26-1442-01A-01R-1850-01
unc.edu.049eb561-95ee-4584-b9eb-0715c80e0a95.1545368.rsem.genes.normalized_results	TCGA-26-1442-01A-01R-1850-01
unc.edu.049eb561-95ee-4584-b9eb-0715c80e0a95.1545369.rsem.isoforms.normalized_results	TCGA-26-1442-01A-01R-1850-01
unc.edu.049eb561-95ee-4584-b9eb-0715c80e0a95.1748003.bt.exon_quantification.txt	TCGA-26-1442-01A-01R-1850-01
unc.edu.04e97d81-96bb-40e7-9e8c-1efb19179a62.1544764.junction_quantification.txt	TCGA-06-0747-01A-01R-1849-01
unc.edu.04e97d81-96bb-40e7-9e8c-1efb19179a62.1545263.rsem.genes.results	TCGA-06-0747-01A-01R-1849-01
unc.edu.04e97d81-96bb-40e7-9e8c-1efb19179a62.1545264.rsem.isoforms.results	TCGA-06-0747-01A-01R-1849-01
unc.edu.04e97d81-96bb-40e7-9e8c-1efb19179a62.1545276.rsem.isoforms.normalized_results	TCGA-06-0747-01A-01R-1849-01
unc.edu.04e97d81-96bb-40e7-9e8c-1efb19179a62.1545277.rsem.genes.normalized_results	TCGA-06-0747-01A-01R-1849-01
unc.edu.04e97d81-96bb-40e7-9e8c-1efb19179a62.1748004.bt.exon_quantification.txt	TCGA-06-0747-01A-01R-1849-01
unc.edu.051cda00-0007-4e35-9044-fd0c03c8ed4b.1544884.junction_quantification.txt	TCGA-06-5414-01A-01R-1849-01
unc.edu.051cda00-0007-4e35-9044-fd0c03c8ed4b.1545338.rsem.genes.results	TCGA-06-5414-01A-01R-1849-01
unc.edu.051cda00-0007-4e35-9044-fd0c03c8ed4b.1545339.rsem.isoforms.results	TCGA-06-5414-01A-01R-1849-01
unc.edu.051cda00-0007-4e35-9044-fd0c03c8ed4b.1545351.rsem.isoforms.normalized_results	TCGA-06-5414-01A-01R-1849-01
unc.edu.051cda00-0007-4e35-9044-fd0c03c8ed4b.1545352.rsem.genes.normalized_results	TCGA-06-5414-01A-01R-1849-01
unc.edu.051cda00-0007-4e35-9044-fd0c03c8ed4b.1748010.bt.exon_quantification.txt	TCGA-06-5414-01A-01R-1849-01
unc.edu.05a2eea8-f366-4ae7-80f3-03324fb6e66e.1544916.junction_quantification.txt	TCGA-28-5215-01A-01R-1850-01
unc.edu.05a2eea8-f366-4ae7-80f3-03324fb6e66e.1545304.rsem.genes.results	TCGA-28-5215-01A-01R-1850-01
unc.edu.05a2eea8-f366-4ae7-80f3-03324fb6e66e.1545305.rsem.isoforms.results	TCGA-28-5215-01A-01R-1850-01
unc.edu.05a2eea8-f366-4ae7-80f3-03324fb6e66e.1545317.rsem.isoforms.normalized_results	TCGA-28-5215-01A-01R-1850-01
unc.edu.05a2eea8-f366-4ae7-80f3-03324fb6e66e.1545318.rsem.genes.normalized_results	TCGA-28-5215-01A-01R-1850-01
unc.edu.05a2eea8-f366-4ae7-80f3-03324fb6e66e.1747995.bt.exon_quantification.txt	TCGA-28-5215-01A-01R-1850-01
unc.edu.065048d0-ecbf-4de2-b12a-55e52f8d1279.1544693.junction_quantification.txt	TCGA-02-0055-01A-01R-1849-01
unc.edu.065048d0-ecbf-4de2-b12a-55e52f8d1279.1545222.rsem.genes.results	TCGA-02-0055-01A-01R-1849-01
unc.edu.065048d0-ecbf-4de2-b12a-55e52f8d1279.1545223.rsem.isoforms.results	TCGA-02-0055-01A-01R-1849-01
unc.edu.065048d0-ecbf-4de2-b12a-55e52f8d1279.1545237.rsem.genes.normalized_results	TCGA-02-0055-01A-01R-1849-01
unc.edu.065048d0-ecbf-4de2-b12a-55e52f8d1279.1545238.rsem.isoforms.normalized_results	TCGA-02-0055-01A-01R-1849-01
unc.edu.065048d0-ecbf-4de2-b12a-55e52f8d1279.1747993.bt.exon_quantification.txt	TCGA-02-0055-01A-01R-1849-01
unc.edu.06fcbf45-4b5a-4c5a-976e-9b7bf57479dd.1544470.junction_quantification.txt	TCGA-28-1747-01C-01R-1850-01
unc.edu.06fcbf45-4b5a-4c5a-976e-9b7bf57479dd.1545147.rsem.genes.results	TCGA-28-1747-01C-01R-1850-01
unc.edu.06fcbf45-4b5a-4c5a-976e-9b7bf57479dd.1545148.rsem.isoforms.results	TCGA-28-1747-01C-01R-1850-01
unc.edu.06fcbf45-4b5a-4c5a-976e-9b7bf57479dd.1545160.rsem.genes.normalized_results	TCGA-28-1747-01C-01R-1850-01
unc.edu.06fcbf45-4b5a-4c5a-976e-9b7bf57479dd.1545161.rsem.isoforms.normalized_results	TCGA-28-1747-01C-01R-1850-01
unc.edu.06fcbf45-4b5a-4c5a-976e-9b7bf57479dd.1747979.bt.exon_quantification.txt	TCGA-28-1747-01C-01R-1850-01
