filename	barcode(s)
unc.edu.002e6d9c-3085-41da-ae05-e8bac069c9ce.1483886.junction_quantification.txt	TCGA-CQ-7065-01A-11R-2081-07
unc.edu.002e6d9c-3085-41da-ae05-e8bac069c9ce.1484952.rsem.genes.results	TCGA-CQ-7065-01A-11R-2081-07
unc.edu.002e6d9c-3085-41da-ae05-e8bac069c9ce.1484953.rsem.isoforms.results	TCGA-CQ-7065-01A-11R-2081-07
unc.edu.002e6d9c-3085-41da-ae05-e8bac069c9ce.1484979.rsem.genes.normalized_results	TCGA-CQ-7065-01A-11R-2081-07
unc.edu.002e6d9c-3085-41da-ae05-e8bac069c9ce.1484980.rsem.isoforms.normalized_results	TCGA-CQ-7065-01A-11R-2081-07
unc.edu.002e6d9c-3085-41da-ae05-e8bac069c9ce.1749603.bt.exon_quantification.txt	TCGA-CQ-7065-01A-11R-2081-07
unc.edu.010d78d6-f2fa-4112-8ebc-c41082e6ddcc.1503730.junction_quantification.txt	TCGA-CN-5374-01A-01R-1436-07
unc.edu.010d78d6-f2fa-4112-8ebc-c41082e6ddcc.1506384.rsem.genes.results	TCGA-CN-5374-01A-01R-1436-07
unc.edu.010d78d6-f2fa-4112-8ebc-c41082e6ddcc.1506385.rsem.isoforms.results	TCGA-CN-5374-01A-01R-1436-07
unc.edu.010d78d6-f2fa-4112-8ebc-c41082e6ddcc.1506397.rsem.genes.normalized_results	TCGA-CN-5374-01A-01R-1436-07
unc.edu.010d78d6-f2fa-4112-8ebc-c41082e6ddcc.1506398.rsem.isoforms.normalized_results	TCGA-CN-5374-01A-01R-1436-07
unc.edu.010d78d6-f2fa-4112-8ebc-c41082e6ddcc.1751614.bt.exon_quantification.txt	TCGA-CN-5374-01A-01R-1436-07
unc.edu.01a172a5-59e7-4823-a832-5aa6afdd6acd.1494336.junction_quantification.txt	TCGA-CV-6937-01A-11R-2016-07
unc.edu.01a172a5-59e7-4823-a832-5aa6afdd6acd.1495849.rsem.genes.results	TCGA-CV-6937-01A-11R-2016-07
unc.edu.01a172a5-59e7-4823-a832-5aa6afdd6acd.1495850.rsem.isoforms.results	TCGA-CV-6937-01A-11R-2016-07
unc.edu.01a172a5-59e7-4823-a832-5aa6afdd6acd.1495885.rsem.isoforms.normalized_results	TCGA-CV-6937-01A-11R-2016-07
unc.edu.01a172a5-59e7-4823-a832-5aa6afdd6acd.1495894.rsem.genes.normalized_results	TCGA-CV-6937-01A-11R-2016-07
