filename	barcode(s)
TCGA-3Z-A93Z-01A-11R-A37P-13.isoform.quantification.txt	TCGA-3Z-A93Z-01A-11R-A37P-13
TCGA-3Z-A93Z-01A-11R-A37P-13.mirna.quantification.txt	TCGA-3Z-A93Z-01A-11R-A37P-13
TCGA-6D-AA2E-01A-11R-A37P-13.isoform.quantification.txt	TCGA-6D-AA2E-01A-11R-A37P-13
TCGA-6D-AA2E-01A-11R-A37P-13.mirna.quantification.txt	TCGA-6D-AA2E-01A-11R-A37P-13
TCGA-A3-3317-01A-02R-1324-13.isoform.quantification.txt	TCGA-A3-3317-01A-02R-1324-13
TCGA-A3-3317-01A-02R-1324-13.mirna.quantification.txt	TCGA-A3-3317-01A-02R-1324-13
TCGA-A3-3358-01A-01R-1540-13.isoform.quantification.txt	TCGA-A3-3358-01A-01R-1540-13
TCGA-A3-3358-01A-01R-1540-13.mirna.quantification.txt	TCGA-A3-3358-01A-01R-1540-13
TCGA-A3-3358-11A-01R-1540-13.isoform.quantification.txt	TCGA-A3-3358-11A-01R-1540-13
TCGA-A3-3358-11A-01R-1540-13.mirna.quantification.txt	TCGA-A3-3358-11A-01R-1540-13
TCGA-A3-3387-01A-01R-1540-13.isoform.quantification.txt	TCGA-A3-3387-01A-01R-1540-13
TCGA-A3-3387-01A-01R-1540-13.mirna.quantification.txt	TCGA-A3-3387-01A-01R-1540-13
TCGA-A3-3387-11A-01R-1540-13.isoform.quantification.txt	TCGA-A3-3387-11A-01R-1540-13
TCGA-A3-3387-11A-01R-1540-13.mirna.quantification.txt	TCGA-A3-3387-11A-01R-1540-13
TCGA-A3-A6NI-01A-11R-A33A-13.isoform.quantification.txt	TCGA-A3-A6NI-01A-11R-A33A-13
TCGA-A3-A6NI-01A-11R-A33A-13.mirna.quantification.txt	TCGA-A3-A6NI-01A-11R-A33A-13
TCGA-A3-A6NJ-01A-12R-A33A-13.isoform.quantification.txt	TCGA-A3-A6NJ-01A-12R-A33A-13
TCGA-A3-A6NJ-01A-12R-A33A-13.mirna.quantification.txt	TCGA-A3-A6NJ-01A-12R-A33A-13
TCGA-A3-A6NL-01A-11R-A33A-13.isoform.quantification.txt	TCGA-A3-A6NL-01A-11R-A33A-13
TCGA-A3-A6NL-01A-11R-A33A-13.mirna.quantification.txt	TCGA-A3-A6NL-01A-11R-A33A-13
TCGA-A3-A6NN-01A-12R-A33A-13.isoform.quantification.txt	TCGA-A3-A6NN-01A-12R-A33A-13
TCGA-A3-A6NN-01A-12R-A33A-13.mirna.quantification.txt	TCGA-A3-A6NN-01A-12R-A33A-13
TCGA-A3-A8CQ-01A-11R-A37P-13.isoform.quantification.txt	TCGA-A3-A8CQ-01A-11R-A37P-13
TCGA-A3-A8CQ-01A-11R-A37P-13.mirna.quantification.txt	TCGA-A3-A8CQ-01A-11R-A37P-13
TCGA-A3-A8OU-01A-11R-A37P-13.isoform.quantification.txt	TCGA-A3-A8OU-01A-11R-A37P-13
TCGA-A3-A8OU-01A-11R-A37P-13.mirna.quantification.txt	TCGA-A3-A8OU-01A-11R-A37P-13
TCGA-A3-A8OV-01A-11R-A37P-13.isoform.quantification.txt	TCGA-A3-A8OV-01A-11R-A37P-13
TCGA-A3-A8OV-01A-11R-A37P-13.mirna.quantification.txt	TCGA-A3-A8OV-01A-11R-A37P-13
TCGA-A3-A8OW-01A-11R-A37P-13.isoform.quantification.txt	TCGA-A3-A8OW-01A-11R-A37P-13
TCGA-A3-A8OW-01A-11R-A37P-13.mirna.quantification.txt	TCGA-A3-A8OW-01A-11R-A37P-13
TCGA-A3-A8OX-01A-11R-A37P-13.isoform.quantification.txt	TCGA-A3-A8OX-01A-11R-A37P-13
TCGA-A3-A8OX-01A-11R-A37P-13.mirna.quantification.txt	TCGA-A3-A8OX-01A-11R-A37P-13
TCGA-AK-3440-01A-01T-0860-13.isoform.quantification.txt	TCGA-AK-3440-01A-01T-0860-13
TCGA-AK-3440-01A-01T-0860-13.mirna.quantification.txt	TCGA-AK-3440-01A-01T-0860-13
TCGA-AK-3458-01A-01R-1502-13.isoform.quantification.txt	TCGA-AK-3458-01A-01R-1502-13
TCGA-AK-3458-01A-01R-1502-13.mirna.quantification.txt	TCGA-AK-3458-01A-01R-1502-13
TCGA-AK-3465-01A-01T-0860-13.isoform.quantification.txt	TCGA-AK-3465-01A-01T-0860-13
TCGA-AK-3465-01A-01T-0860-13.mirna.quantification.txt	TCGA-AK-3465-01A-01T-0860-13
TCGA-B0-4698-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-4698-01A-01R-1502-13
TCGA-B0-4698-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-4698-01A-01R-1502-13
TCGA-B0-4700-01A-02R-1540-13.isoform.quantification.txt	TCGA-B0-4700-01A-02R-1540-13
TCGA-B0-4700-01A-02R-1540-13.mirna.quantification.txt	TCGA-B0-4700-01A-02R-1540-13
TCGA-B0-4700-11A-01R-1540-13.isoform.quantification.txt	TCGA-B0-4700-11A-01R-1540-13
TCGA-B0-4700-11A-01R-1540-13.mirna.quantification.txt	TCGA-B0-4700-11A-01R-1540-13
TCGA-B0-4706-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-4706-01A-01R-1502-13
TCGA-B0-4706-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-4706-01A-01R-1502-13
TCGA-B0-4710-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-4710-01A-01R-1502-13
TCGA-B0-4710-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-4710-01A-01R-1502-13
TCGA-B0-4712-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-4712-01A-01R-1502-13
TCGA-B0-4712-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-4712-01A-01R-1502-13
TCGA-B0-4712-11A-02R-1502-13.isoform.quantification.txt	TCGA-B0-4712-11A-02R-1502-13
TCGA-B0-4712-11A-02R-1502-13.mirna.quantification.txt	TCGA-B0-4712-11A-02R-1502-13
TCGA-B0-4810-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-4810-01A-01R-1502-13
TCGA-B0-4810-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-4810-01A-01R-1502-13
TCGA-B0-4811-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-4811-01A-01R-1502-13
TCGA-B0-4811-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-4811-01A-01R-1502-13
TCGA-B0-4815-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-4815-01A-01R-1502-13
TCGA-B0-4815-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-4815-01A-01R-1502-13
TCGA-B0-4816-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-4816-01A-01R-1502-13
TCGA-B0-4816-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-4816-01A-01R-1502-13
TCGA-B0-4818-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-4818-01A-01R-1502-13
TCGA-B0-4818-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-4818-01A-01R-1502-13
TCGA-B0-4821-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-4821-01A-01R-1502-13
TCGA-B0-4821-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-4821-01A-01R-1502-13
TCGA-B0-4833-01A-01R-1304-13.isoform.quantification.txt	TCGA-B0-4833-01A-01R-1304-13
TCGA-B0-4833-01A-01R-1304-13.mirna.quantification.txt	TCGA-B0-4833-01A-01R-1304-13
TCGA-B0-4834-01A-01R-1762-13.isoform.quantification.txt	TCGA-B0-4834-01A-01R-1762-13
TCGA-B0-4834-01A-01R-1762-13.mirna.quantification.txt	TCGA-B0-4834-01A-01R-1762-13
TCGA-B0-4836-01A-01R-1762-13.isoform.quantification.txt	TCGA-B0-4836-01A-01R-1762-13
TCGA-B0-4836-01A-01R-1762-13.mirna.quantification.txt	TCGA-B0-4836-01A-01R-1762-13
TCGA-B0-4837-01A-01R-1304-13.isoform.quantification.txt	TCGA-B0-4837-01A-01R-1304-13
TCGA-B0-4837-01A-01R-1304-13.mirna.quantification.txt	TCGA-B0-4837-01A-01R-1304-13
TCGA-B0-4852-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-4852-01A-01R-1502-13
TCGA-B0-4852-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-4852-01A-01R-1502-13
TCGA-B0-5075-01A-01R-1762-13.isoform.quantification.txt	TCGA-B0-5075-01A-01R-1762-13
TCGA-B0-5075-01A-01R-1762-13.mirna.quantification.txt	TCGA-B0-5075-01A-01R-1762-13
TCGA-B0-5080-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-5080-01A-01R-1502-13
TCGA-B0-5080-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-5080-01A-01R-1502-13
TCGA-B0-5084-01A-01R-1762-13.isoform.quantification.txt	TCGA-B0-5084-01A-01R-1762-13
TCGA-B0-5084-01A-01R-1762-13.mirna.quantification.txt	TCGA-B0-5084-01A-01R-1762-13
TCGA-B0-5085-01A-01R-1762-13.isoform.quantification.txt	TCGA-B0-5085-01A-01R-1762-13
TCGA-B0-5085-01A-01R-1762-13.mirna.quantification.txt	TCGA-B0-5085-01A-01R-1762-13
TCGA-B0-5088-01A-01R-1333-13.isoform.quantification.txt	TCGA-B0-5088-01A-01R-1333-13
TCGA-B0-5088-01A-01R-1333-13.mirna.quantification.txt	TCGA-B0-5088-01A-01R-1333-13
TCGA-B0-5399-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-5399-01A-01R-1502-13
TCGA-B0-5399-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-5399-01A-01R-1502-13
TCGA-B0-5400-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-5400-01A-01R-1502-13
TCGA-B0-5400-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-5400-01A-01R-1502-13
TCGA-B0-5402-01A-01R-1502-13.isoform.quantification.txt	TCGA-B0-5402-01A-01R-1502-13
TCGA-B0-5402-01A-01R-1502-13.mirna.quantification.txt	TCGA-B0-5402-01A-01R-1502-13
TCGA-B0-5402-11A-01R-1502-13.isoform.quantification.txt	TCGA-B0-5402-11A-01R-1502-13
