filename	barcode(s)
unc.edu.005a0c90-a762-4df7-8b44-b4facd06e9b1.1229620.junction_quantification.txt	TCGA-BP-4342-01A-01R-1289-07
unc.edu.005a0c90-a762-4df7-8b44-b4facd06e9b1.1230034.rsem.genes.results	TCGA-BP-4342-01A-01R-1289-07
unc.edu.005a0c90-a762-4df7-8b44-b4facd06e9b1.1230035.rsem.isoforms.results	TCGA-BP-4342-01A-01R-1289-07
unc.edu.005a0c90-a762-4df7-8b44-b4facd06e9b1.1230067.rsem.genes.normalized_results	TCGA-BP-4342-01A-01R-1289-07
unc.edu.005a0c90-a762-4df7-8b44-b4facd06e9b1.1230070.rsem.isoforms.normalized_results	TCGA-BP-4342-01A-01R-1289-07
unc.edu.005a0c90-a762-4df7-8b44-b4facd06e9b1.1768104.bt.exon_quantification.txt	TCGA-BP-4342-01A-01R-1289-07
unc.edu.00bf750b-2ce6-4d91-8b8a-3db59e4f6c24.1157970.junction_quantification.txt	TCGA-CZ-4862-01A-01R-1305-07
unc.edu.00bf750b-2ce6-4d91-8b8a-3db59e4f6c24.1160688.rsem.genes.results	TCGA-CZ-4862-01A-01R-1305-07
unc.edu.00bf750b-2ce6-4d91-8b8a-3db59e4f6c24.1160689.rsem.isoforms.results	TCGA-CZ-4862-01A-01R-1305-07
unc.edu.00bf750b-2ce6-4d91-8b8a-3db59e4f6c24.1160847.rsem.isoforms.normalized_results	TCGA-CZ-4862-01A-01R-1305-07
unc.edu.00bf750b-2ce6-4d91-8b8a-3db59e4f6c24.1160854.rsem.genes.normalized_results	TCGA-CZ-4862-01A-01R-1305-07
unc.edu.00bf750b-2ce6-4d91-8b8a-3db59e4f6c24.1767642.bt.exon_quantification.txt	TCGA-CZ-4862-01A-01R-1305-07
unc.edu.011f1e57-18d7-4cb0-8cb4-af7b151496b9.1195298.junction_quantification.txt	TCGA-B0-4821-01A-01R-1503-07
unc.edu.011f1e57-18d7-4cb0-8cb4-af7b151496b9.1198012.rsem.genes.results	TCGA-B0-4821-01A-01R-1503-07
