filename	barcode(s)
TCGA-2K-A9WE-01A-11R-A38N-13.isoform.quantification.txt	TCGA-2K-A9WE-01A-11R-A38N-13
TCGA-2K-A9WE-01A-11R-A38N-13.mirna.quantification.txt	TCGA-2K-A9WE-01A-11R-A38N-13
TCGA-2Z-A9J1-01A-11R-A38N-13.isoform.quantification.txt	TCGA-2Z-A9J1-01A-11R-A38N-13
TCGA-2Z-A9J1-01A-11R-A38N-13.mirna.quantification.txt	TCGA-2Z-A9J1-01A-11R-A38N-13
TCGA-2Z-A9J2-01A-11R-A38N-13.isoform.quantification.txt	TCGA-2Z-A9J2-01A-11R-A38N-13
TCGA-2Z-A9J2-01A-11R-A38N-13.mirna.quantification.txt	TCGA-2Z-A9J2-01A-11R-A38N-13
TCGA-2Z-A9J3-01A-12R-A38N-13.isoform.quantification.txt	TCGA-2Z-A9J3-01A-12R-A38N-13
TCGA-2Z-A9J3-01A-12R-A38N-13.mirna.quantification.txt	TCGA-2Z-A9J3-01A-12R-A38N-13
TCGA-2Z-A9J5-01A-21R-A38N-13.isoform.quantification.txt	TCGA-2Z-A9J5-01A-21R-A38N-13
TCGA-2Z-A9J5-01A-21R-A38N-13.mirna.quantification.txt	TCGA-2Z-A9J5-01A-21R-A38N-13
TCGA-2Z-A9J6-01A-11R-A38N-13.isoform.quantification.txt	TCGA-2Z-A9J6-01A-11R-A38N-13
TCGA-2Z-A9J6-01A-11R-A38N-13.mirna.quantification.txt	TCGA-2Z-A9J6-01A-11R-A38N-13
TCGA-2Z-A9J7-01A-11R-A38N-13.isoform.quantification.txt	TCGA-2Z-A9J7-01A-11R-A38N-13
TCGA-2Z-A9J7-01A-11R-A38N-13.mirna.quantification.txt	TCGA-2Z-A9J7-01A-11R-A38N-13
TCGA-2Z-A9J8-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9J8-01A-11R-A42U-13
TCGA-2Z-A9J8-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9J8-01A-11R-A42U-13
TCGA-2Z-A9J9-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9J9-01A-11R-A42U-13
TCGA-2Z-A9J9-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9J9-01A-11R-A42U-13
TCGA-2Z-A9JD-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JD-01A-11R-A42U-13
TCGA-2Z-A9JD-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JD-01A-11R-A42U-13
TCGA-2Z-A9JE-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JE-01A-11R-A42U-13
TCGA-2Z-A9JE-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JE-01A-11R-A42U-13
TCGA-2Z-A9JG-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JG-01A-11R-A42U-13
TCGA-2Z-A9JG-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JG-01A-11R-A42U-13
TCGA-2Z-A9JI-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JI-01A-11R-A42U-13
TCGA-2Z-A9JI-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JI-01A-11R-A42U-13
TCGA-2Z-A9JJ-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JJ-01A-11R-A42U-13
TCGA-2Z-A9JJ-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JJ-01A-11R-A42U-13
TCGA-2Z-A9JK-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JK-01A-11R-A42U-13
TCGA-2Z-A9JK-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JK-01A-11R-A42U-13
TCGA-2Z-A9JL-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JL-01A-11R-A42U-13
TCGA-2Z-A9JL-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JL-01A-11R-A42U-13
TCGA-2Z-A9JM-01A-12R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JM-01A-12R-A42U-13
TCGA-2Z-A9JM-01A-12R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JM-01A-12R-A42U-13
TCGA-2Z-A9JN-01A-21R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JN-01A-21R-A42U-13
TCGA-2Z-A9JN-01A-21R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JN-01A-21R-A42U-13
TCGA-2Z-A9JO-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JO-01A-11R-A42U-13
TCGA-2Z-A9JO-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JO-01A-11R-A42U-13
TCGA-2Z-A9JP-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JP-01A-11R-A42U-13
TCGA-2Z-A9JP-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JP-01A-11R-A42U-13
TCGA-2Z-A9JQ-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JQ-01A-11R-A42U-13
TCGA-2Z-A9JQ-01A-11R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JQ-01A-11R-A42U-13
TCGA-2Z-A9JR-01A-12R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JR-01A-12R-A42U-13
TCGA-2Z-A9JR-01A-12R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JR-01A-12R-A42U-13
TCGA-2Z-A9JS-01A-21R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JS-01A-21R-A42U-13
TCGA-2Z-A9JS-01A-21R-A42U-13.mirna.quantification.txt	TCGA-2Z-A9JS-01A-21R-A42U-13
TCGA-2Z-A9JT-01A-11R-A42U-13.isoform.quantification.txt	TCGA-2Z-A9JT-01A-11R-A42U-13
