filename	barcode(s)
unc.edu.0053d506-ce66-4635-b648-be234c7c0708.2600544.junction_quantification.txt	TCGA-2Z-A9JR-01A-12R-A42S-07
unc.edu.0053d506-ce66-4635-b648-be234c7c0708.2601027.rsem.genes.results	TCGA-2Z-A9JR-01A-12R-A42S-07
unc.edu.0053d506-ce66-4635-b648-be234c7c0708.2601028.rsem.isoforms.results	TCGA-2Z-A9JR-01A-12R-A42S-07
unc.edu.0053d506-ce66-4635-b648-be234c7c0708.2601066.rsem.genes.normalized_results	TCGA-2Z-A9JR-01A-12R-A42S-07
unc.edu.0053d506-ce66-4635-b648-be234c7c0708.2601067.rsem.isoforms.normalized_results	TCGA-2Z-A9JR-01A-12R-A42S-07
unc.edu.0053d506-ce66-4635-b648-be234c7c0708.2601205.bt.exon_quantification.txt	TCGA-2Z-A9JR-01A-12R-A42S-07
unc.edu.0057e13d-5489-4c48-9772-9fd45db4d84f.1040661.junction_quantification.txt	TCGA-BQ-7045-01A-31R-1965-07
unc.edu.0057e13d-5489-4c48-9772-9fd45db4d84f.1041374.rsem.genes.results	TCGA-BQ-7045-01A-31R-1965-07
unc.edu.0057e13d-5489-4c48-9772-9fd45db4d84f.1041375.rsem.isoforms.results	TCGA-BQ-7045-01A-31R-1965-07
unc.edu.0057e13d-5489-4c48-9772-9fd45db4d84f.1041387.rsem.genes.normalized_results	TCGA-BQ-7045-01A-31R-1965-07
unc.edu.0057e13d-5489-4c48-9772-9fd45db4d84f.1041392.rsem.isoforms.normalized_results	TCGA-BQ-7045-01A-31R-1965-07
unc.edu.0057e13d-5489-4c48-9772-9fd45db4d84f.1758690.bt.exon_quantification.txt	TCGA-BQ-7045-01A-31R-1965-07
unc.edu.006a20a9-db99-45f1-a6d6-77ad2c2c1198.2584290.junction_quantification.txt	TCGA-UZ-A9PS-01A-11R-A42S-07
unc.edu.006a20a9-db99-45f1-a6d6-77ad2c2c1198.2585181.rsem.genes.results	TCGA-UZ-A9PS-01A-11R-A42S-07
unc.edu.006a20a9-db99-45f1-a6d6-77ad2c2c1198.2585182.rsem.isoforms.results	TCGA-UZ-A9PS-01A-11R-A42S-07
unc.edu.006a20a9-db99-45f1-a6d6-77ad2c2c1198.2585194.rsem.genes.normalized_results	TCGA-UZ-A9PS-01A-11R-A42S-07
unc.edu.006a20a9-db99-45f1-a6d6-77ad2c2c1198.2585195.rsem.isoforms.normalized_results	TCGA-UZ-A9PS-01A-11R-A42S-07
unc.edu.006a20a9-db99-45f1-a6d6-77ad2c2c1198.2585278.bt.exon_quantification.txt	TCGA-UZ-A9PS-01A-11R-A42S-07
unc.edu.00b33fcb-61eb-4dba-991c-e9b2a9a70a51.1383011.junction_quantification.txt	TCGA-BQ-7045-11A-01R-1965-07
unc.edu.00b33fcb-61eb-4dba-991c-e9b2a9a70a51.1386687.rsem.genes.results	TCGA-BQ-7045-11A-01R-1965-07
unc.edu.00b33fcb-61eb-4dba-991c-e9b2a9a70a51.1386688.rsem.isoforms.results	TCGA-BQ-7045-11A-01R-1965-07
unc.edu.00b33fcb-61eb-4dba-991c-e9b2a9a70a51.1386708.rsem.isoforms.normalized_results	TCGA-BQ-7045-11A-01R-1965-07
unc.edu.00b33fcb-61eb-4dba-991c-e9b2a9a70a51.1386711.rsem.genes.normalized_results	TCGA-BQ-7045-11A-01R-1965-07
unc.edu.00b33fcb-61eb-4dba-991c-e9b2a9a70a51.1758709.bt.exon_quantification.txt	TCGA-BQ-7045-11A-01R-1965-07
unc.edu.01fb6e45-0552-4af8-8723-3631dada7a90.1456090.junction_quantification.txt	TCGA-B1-5398-01A-02R-1592-07
unc.edu.01fb6e45-0552-4af8-8723-3631dada7a90.1457310.rsem.genes.results	TCGA-B1-5398-01A-02R-1592-07
unc.edu.01fb6e45-0552-4af8-8723-3631dada7a90.1457311.rsem.isoforms.results	TCGA-B1-5398-01A-02R-1592-07
unc.edu.01fb6e45-0552-4af8-8723-3631dada7a90.1457321.rsem.genes.normalized_results	TCGA-B1-5398-01A-02R-1592-07
unc.edu.01fb6e45-0552-4af8-8723-3631dada7a90.1457322.rsem.isoforms.normalized_results	TCGA-B1-5398-01A-02R-1592-07
unc.edu.01fb6e45-0552-4af8-8723-3631dada7a90.1752423.bt.exon_quantification.txt	TCGA-B1-5398-01A-02R-1592-07
unc.edu.02a8e571-141a-401d-95e3-06dc27a6bb0b.1957888.junction_quantification.txt	TCGA-A4-A57E-11A-11R-A26U-07
unc.edu.02a8e571-141a-401d-95e3-06dc27a6bb0b.1958020.rsem.genes.results	TCGA-A4-A57E-11A-11R-A26U-07
unc.edu.02a8e571-141a-401d-95e3-06dc27a6bb0b.1958021.rsem.isoforms.results	TCGA-A4-A57E-11A-11R-A26U-07
unc.edu.02a8e571-141a-401d-95e3-06dc27a6bb0b.1958042.rsem.genes.normalized_results	TCGA-A4-A57E-11A-11R-A26U-07
unc.edu.02a8e571-141a-401d-95e3-06dc27a6bb0b.1958043.rsem.isoforms.normalized_results	TCGA-A4-A57E-11A-11R-A26U-07
unc.edu.02a8e571-141a-401d-95e3-06dc27a6bb0b.1958098.bt.exon_quantification.txt	TCGA-A4-A57E-11A-11R-A26U-07
unc.edu.03773f94-5d7a-49d5-a1ed-1e1acad5e298.2330336.junction_quantification.txt	TCGA-SX-A71U-01A-12R-A33Z-07
unc.edu.03773f94-5d7a-49d5-a1ed-1e1acad5e298.2331110.rsem.genes.results	TCGA-SX-A71U-01A-12R-A33Z-07
unc.edu.03773f94-5d7a-49d5-a1ed-1e1acad5e298.2331111.rsem.isoforms.results	TCGA-SX-A71U-01A-12R-A33Z-07
