filename	barcode(s)
unc.edu.00b6a02c-1b13-4b9a-b63f-400230f83973.1837284.junction_quantification.txt	TCGA-AB-3007-03A-01T-0736-13
unc.edu.00b6a02c-1b13-4b9a-b63f-400230f83973.1837540.rsem.genes.results	TCGA-AB-3007-03A-01T-0736-13
unc.edu.00b6a02c-1b13-4b9a-b63f-400230f83973.1837541.rsem.isoforms.results	TCGA-AB-3007-03A-01T-0736-13
unc.edu.00b6a02c-1b13-4b9a-b63f-400230f83973.1837553.rsem.isoforms.normalized_results	TCGA-AB-3007-03A-01T-0736-13
unc.edu.00b6a02c-1b13-4b9a-b63f-400230f83973.1837554.rsem.genes.normalized_results	TCGA-AB-3007-03A-01T-0736-13
unc.edu.00b6a02c-1b13-4b9a-b63f-400230f83973.1838422.bt.exon_quantification.txt	TCGA-AB-3007-03A-01T-0736-13
unc.edu.00ff6255-9a10-44f8-9c70-caad5dffa1ad.1837515.junction_quantification.txt	TCGA-AB-2914-03A-01T-0734-13
unc.edu.00ff6255-9a10-44f8-9c70-caad5dffa1ad.1837642.rsem.genes.results	TCGA-AB-2914-03A-01T-0734-13
unc.edu.00ff6255-9a10-44f8-9c70-caad5dffa1ad.1837643.rsem.isoforms.results	TCGA-AB-2914-03A-01T-0734-13
unc.edu.00ff6255-9a10-44f8-9c70-caad5dffa1ad.1837664.rsem.genes.normalized_results	TCGA-AB-2914-03A-01T-0734-13
unc.edu.00ff6255-9a10-44f8-9c70-caad5dffa1ad.1837665.rsem.isoforms.normalized_results	TCGA-AB-2914-03A-01T-0734-13
unc.edu.00ff6255-9a10-44f8-9c70-caad5dffa1ad.1838413.bt.exon_quantification.txt	TCGA-AB-2914-03A-01T-0734-13
unc.edu.01d412c3-5fcd-4ab6-96db-a2ecfb6e298f.1837509.junction_quantification.txt	TCGA-AB-2991-03A-01T-0735-13
unc.edu.01d412c3-5fcd-4ab6-96db-a2ecfb6e298f.1837647.rsem.genes.results	TCGA-AB-2991-03A-01T-0735-13
unc.edu.01d412c3-5fcd-4ab6-96db-a2ecfb6e298f.1837648.rsem.isoforms.results	TCGA-AB-2991-03A-01T-0735-13
unc.edu.01d412c3-5fcd-4ab6-96db-a2ecfb6e298f.1837670.rsem.genes.normalized_results	TCGA-AB-2991-03A-01T-0735-13
unc.edu.01d412c3-5fcd-4ab6-96db-a2ecfb6e298f.1837671.rsem.isoforms.normalized_results	TCGA-AB-2991-03A-01T-0735-13
unc.edu.01d412c3-5fcd-4ab6-96db-a2ecfb6e298f.1838411.bt.exon_quantification.txt	TCGA-AB-2991-03A-01T-0735-13
unc.edu.01fd7fab-7b3c-47ca-8ae1-d37c5a7c0556.1837566.junction_quantification.txt	TCGA-AB-2903-03A-01T-0734-13
unc.edu.01fd7fab-7b3c-47ca-8ae1-d37c5a7c0556.1837693.rsem.genes.results	TCGA-AB-2903-03A-01T-0734-13
unc.edu.01fd7fab-7b3c-47ca-8ae1-d37c5a7c0556.1837694.rsem.isoforms.results	TCGA-AB-2903-03A-01T-0734-13
unc.edu.01fd7fab-7b3c-47ca-8ae1-d37c5a7c0556.1837719.rsem.genes.normalized_results	TCGA-AB-2903-03A-01T-0734-13
unc.edu.01fd7fab-7b3c-47ca-8ae1-d37c5a7c0556.1837721.rsem.isoforms.normalized_results	TCGA-AB-2903-03A-01T-0734-13
unc.edu.01fd7fab-7b3c-47ca-8ae1-d37c5a7c0556.1838415.bt.exon_quantification.txt	TCGA-AB-2903-03A-01T-0734-13
unc.edu.021dda83-1736-4f58-80f5-0dba9c01a57a.1837079.junction_quantification.txt	TCGA-AB-2843-03A-01T-0736-13
unc.edu.021dda83-1736-4f58-80f5-0dba9c01a57a.1837140.rsem.genes.results	TCGA-AB-2843-03A-01T-0736-13
unc.edu.021dda83-1736-4f58-80f5-0dba9c01a57a.1837141.rsem.isoforms.results	TCGA-AB-2843-03A-01T-0736-13
unc.edu.021dda83-1736-4f58-80f5-0dba9c01a57a.1837161.rsem.genes.normalized_results	TCGA-AB-2843-03A-01T-0736-13
unc.edu.021dda83-1736-4f58-80f5-0dba9c01a57a.1837164.rsem.isoforms.normalized_results	TCGA-AB-2843-03A-01T-0736-13
unc.edu.021dda83-1736-4f58-80f5-0dba9c01a57a.1838398.bt.exon_quantification.txt	TCGA-AB-2843-03A-01T-0736-13
unc.edu.03c1cadb-e43e-44d1-8917-bb1fabd45cd8.1837246.junction_quantification.txt	TCGA-AB-2895-03A-01T-0735-13
unc.edu.03c1cadb-e43e-44d1-8917-bb1fabd45cd8.1837387.rsem.genes.results	TCGA-AB-2895-03A-01T-0735-13
unc.edu.03c1cadb-e43e-44d1-8917-bb1fabd45cd8.1837388.rsem.isoforms.results	TCGA-AB-2895-03A-01T-0735-13
unc.edu.03c1cadb-e43e-44d1-8917-bb1fabd45cd8.1837411.rsem.genes.normalized_results	TCGA-AB-2895-03A-01T-0735-13
unc.edu.03c1cadb-e43e-44d1-8917-bb1fabd45cd8.1837412.rsem.isoforms.normalized_results	TCGA-AB-2895-03A-01T-0735-13
unc.edu.03c1cadb-e43e-44d1-8917-bb1fabd45cd8.1838399.bt.exon_quantification.txt	TCGA-AB-2895-03A-01T-0735-13
unc.edu.05fa98c4-addc-498f-aaa4-47a7433086bd.1837228.junction_quantification.txt	TCGA-AB-2940-03A-01T-0736-13
unc.edu.05fa98c4-addc-498f-aaa4-47a7433086bd.1837436.rsem.genes.results	TCGA-AB-2940-03A-01T-0736-13
unc.edu.05fa98c4-addc-498f-aaa4-47a7433086bd.1837437.rsem.isoforms.results	TCGA-AB-2940-03A-01T-0736-13
unc.edu.05fa98c4-addc-498f-aaa4-47a7433086bd.1837459.rsem.isoforms.normalized_results	TCGA-AB-2940-03A-01T-0736-13
unc.edu.05fa98c4-addc-498f-aaa4-47a7433086bd.1837460.rsem.genes.normalized_results	TCGA-AB-2940-03A-01T-0736-13
unc.edu.05fa98c4-addc-498f-aaa4-47a7433086bd.1838414.bt.exon_quantification.txt	TCGA-AB-2940-03A-01T-0736-13
unc.edu.06abdf97-fd96-4e04-9957-a37daf8818d1.1837366.junction_quantification.txt	TCGA-AB-2977-03B-01T-0760-13
unc.edu.06abdf97-fd96-4e04-9957-a37daf8818d1.1837615.rsem.genes.results	TCGA-AB-2977-03B-01T-0760-13
unc.edu.06abdf97-fd96-4e04-9957-a37daf8818d1.1837616.rsem.isoforms.results	TCGA-AB-2977-03B-01T-0760-13
unc.edu.06abdf97-fd96-4e04-9957-a37daf8818d1.1837630.rsem.genes.normalized_results	TCGA-AB-2977-03B-01T-0760-13
unc.edu.06abdf97-fd96-4e04-9957-a37daf8818d1.1837631.rsem.isoforms.normalized_results	TCGA-AB-2977-03B-01T-0760-13
unc.edu.06abdf97-fd96-4e04-9957-a37daf8818d1.1838405.bt.exon_quantification.txt	TCGA-AB-2977-03B-01T-0760-13
unc.edu.096a811a-73e3-4875-84dc-9d3e518d8264.1837182.junction_quantification.txt	TCGA-AB-2956-03A-01T-0740-13
unc.edu.096a811a-73e3-4875-84dc-9d3e518d8264.1837402.rsem.genes.results	TCGA-AB-2956-03A-01T-0740-13
