filename	barcode(s)
TCGA-CS-4938-01B-11R-1895-13.isoform.quantification.txt	TCGA-CS-4938-01B-11R-1895-13
TCGA-CS-4938-01B-11R-1895-13.mirna.quantification.txt	TCGA-CS-4938-01B-11R-1895-13
TCGA-CS-4941-01A-01R-1469-13.isoform.quantification.txt	TCGA-CS-4941-01A-01R-1469-13
TCGA-CS-4941-01A-01R-1469-13.mirna.quantification.txt	TCGA-CS-4941-01A-01R-1469-13
TCGA-CS-4942-01A-01R-1469-13.isoform.quantification.txt	TCGA-CS-4942-01A-01R-1469-13
TCGA-CS-4942-01A-01R-1469-13.mirna.quantification.txt	TCGA-CS-4942-01A-01R-1469-13
TCGA-CS-4943-01A-01R-1469-13.isoform.quantification.txt	TCGA-CS-4943-01A-01R-1469-13
TCGA-CS-4943-01A-01R-1469-13.mirna.quantification.txt	TCGA-CS-4943-01A-01R-1469-13
TCGA-CS-4944-01A-01R-1469-13.isoform.quantification.txt	TCGA-CS-4944-01A-01R-1469-13
TCGA-CS-4944-01A-01R-1469-13.mirna.quantification.txt	TCGA-CS-4944-01A-01R-1469-13
TCGA-CS-5390-01A-02R-1469-13.isoform.quantification.txt	TCGA-CS-5390-01A-02R-1469-13
TCGA-CS-5390-01A-02R-1469-13.mirna.quantification.txt	TCGA-CS-5390-01A-02R-1469-13
TCGA-CS-5393-01A-01R-1469-13.isoform.quantification.txt	TCGA-CS-5393-01A-01R-1469-13
TCGA-CS-5393-01A-01R-1469-13.mirna.quantification.txt	TCGA-CS-5393-01A-01R-1469-13
TCGA-CS-5394-01A-01R-1469-13.isoform.quantification.txt	TCGA-CS-5394-01A-01R-1469-13
TCGA-CS-5394-01A-01R-1469-13.mirna.quantification.txt	TCGA-CS-5394-01A-01R-1469-13
TCGA-CS-5395-01A-01R-1469-13.isoform.quantification.txt	TCGA-CS-5395-01A-01R-1469-13
TCGA-CS-5395-01A-01R-1469-13.mirna.quantification.txt	TCGA-CS-5395-01A-01R-1469-13
TCGA-CS-5396-01A-02R-1469-13.isoform.quantification.txt	TCGA-CS-5396-01A-02R-1469-13
TCGA-CS-5396-01A-02R-1469-13.mirna.quantification.txt	TCGA-CS-5396-01A-02R-1469-13
TCGA-CS-5397-01A-01R-1895-13.isoform.quantification.txt	TCGA-CS-5397-01A-01R-1895-13
TCGA-CS-5397-01A-01R-1895-13.mirna.quantification.txt	TCGA-CS-5397-01A-01R-1895-13
TCGA-CS-6186-01A-12R-2026-13.isoform.quantification.txt	TCGA-CS-6186-01A-12R-2026-13
TCGA-CS-6186-01A-12R-2026-13.mirna.quantification.txt	TCGA-CS-6186-01A-12R-2026-13
TCGA-CS-6188-01A-11R-1895-13.isoform.quantification.txt	TCGA-CS-6188-01A-11R-1895-13
TCGA-CS-6188-01A-11R-1895-13.mirna.quantification.txt	TCGA-CS-6188-01A-11R-1895-13
TCGA-CS-6290-01A-11R-1707-13.isoform.quantification.txt	TCGA-CS-6290-01A-11R-1707-13
TCGA-CS-6290-01A-11R-1707-13.mirna.quantification.txt	TCGA-CS-6290-01A-11R-1707-13
TCGA-CS-6665-01A-11R-1895-13.isoform.quantification.txt	TCGA-CS-6665-01A-11R-1895-13
TCGA-CS-6665-01A-11R-1895-13.mirna.quantification.txt	TCGA-CS-6665-01A-11R-1895-13
TCGA-CS-6666-01A-11R-1895-13.isoform.quantification.txt	TCGA-CS-6666-01A-11R-1895-13
TCGA-CS-6666-01A-11R-1895-13.mirna.quantification.txt	TCGA-CS-6666-01A-11R-1895-13
TCGA-CS-6667-01A-12R-2026-13.isoform.quantification.txt	TCGA-CS-6667-01A-12R-2026-13
