filename	barcode(s)
unc.edu.013bac31-4670-460a-9108-7b4ae57a2e21.2054871.junction_quantification.txt	TCGA-FG-5965-02A-11R-A29R-07,TCGA-FG-5965-02B-11R-A29R-07
unc.edu.013bac31-4670-460a-9108-7b4ae57a2e21.2055515.rsem.genes.results	TCGA-FG-5965-02A-11R-A29R-07,TCGA-FG-5965-02B-11R-A29R-07
unc.edu.013bac31-4670-460a-9108-7b4ae57a2e21.2055516.rsem.isoforms.results	TCGA-FG-5965-02A-11R-A29R-07,TCGA-FG-5965-02B-11R-A29R-07
unc.edu.013bac31-4670-460a-9108-7b4ae57a2e21.2055557.rsem.isoforms.normalized_results	TCGA-FG-5965-02A-11R-A29R-07,TCGA-FG-5965-02B-11R-A29R-07
unc.edu.013bac31-4670-460a-9108-7b4ae57a2e21.2055560.rsem.genes.normalized_results	TCGA-FG-5965-02A-11R-A29R-07,TCGA-FG-5965-02B-11R-A29R-07
unc.edu.013bac31-4670-460a-9108-7b4ae57a2e21.2055795.bt.exon_quantification.txt	TCGA-FG-5965-02A-11R-A29R-07,TCGA-FG-5965-02B-11R-A29R-07
unc.edu.015b3ae9-dee4-495a-9c4d-78ee51082715.1509605.junction_quantification.txt	TCGA-DU-6410-01A-11R-1896-07
unc.edu.015b3ae9-dee4-495a-9c4d-78ee51082715.1510229.rsem.genes.results	TCGA-DU-6410-01A-11R-1896-07
unc.edu.015b3ae9-dee4-495a-9c4d-78ee51082715.1510230.rsem.isoforms.results	TCGA-DU-6410-01A-11R-1896-07
unc.edu.015b3ae9-dee4-495a-9c4d-78ee51082715.1510242.rsem.genes.normalized_results	TCGA-DU-6410-01A-11R-1896-07
unc.edu.015b3ae9-dee4-495a-9c4d-78ee51082715.1510243.rsem.isoforms.normalized_results	TCGA-DU-6410-01A-11R-1896-07
unc.edu.015b3ae9-dee4-495a-9c4d-78ee51082715.1749970.bt.exon_quantification.txt	TCGA-DU-6410-01A-11R-1896-07
unc.edu.02221ced-8f59-4a00-ae01-6096648b34fc.2330909.junction_quantification.txt	TCGA-TQ-A7RQ-01A-11R-A33Z-07
unc.edu.02221ced-8f59-4a00-ae01-6096648b34fc.2331603.rsem.genes.results	TCGA-TQ-A7RQ-01A-11R-A33Z-07
unc.edu.02221ced-8f59-4a00-ae01-6096648b34fc.2331604.rsem.isoforms.results	TCGA-TQ-A7RQ-01A-11R-A33Z-07
unc.edu.02221ced-8f59-4a00-ae01-6096648b34fc.2331624.rsem.isoforms.normalized_results	TCGA-TQ-A7RQ-01A-11R-A33Z-07
unc.edu.02221ced-8f59-4a00-ae01-6096648b34fc.2331625.rsem.genes.normalized_results	TCGA-TQ-A7RQ-01A-11R-A33Z-07
unc.edu.02221ced-8f59-4a00-ae01-6096648b34fc.2331758.bt.exon_quantification.txt	TCGA-TQ-A7RQ-01A-11R-A33Z-07
unc.edu.0270b7ae-ef7f-4dd7-b019-3e10afa191ff.1658715.junction_quantification.txt	TCGA-CS-4938-01B-11R-1896-07
unc.edu.0270b7ae-ef7f-4dd7-b019-3e10afa191ff.1659924.rsem.genes.results	TCGA-CS-4938-01B-11R-1896-07
unc.edu.0270b7ae-ef7f-4dd7-b019-3e10afa191ff.1659925.rsem.isoforms.results	TCGA-CS-4938-01B-11R-1896-07
unc.edu.0270b7ae-ef7f-4dd7-b019-3e10afa191ff.1659940.rsem.genes.normalized_results	TCGA-CS-4938-01B-11R-1896-07
unc.edu.0270b7ae-ef7f-4dd7-b019-3e10afa191ff.1659941.rsem.isoforms.normalized_results	TCGA-CS-4938-01B-11R-1896-07
unc.edu.0270b7ae-ef7f-4dd7-b019-3e10afa191ff.1750728.bt.exon_quantification.txt	TCGA-CS-4938-01B-11R-1896-07
unc.edu.03eb7467-7dd5-4228-86b9-7b3b31ba1496.2332062.junction_quantification.txt	TCGA-DU-A7TD-01A-12R-A34F-07
unc.edu.03eb7467-7dd5-4228-86b9-7b3b31ba1496.2332356.rsem.genes.results	TCGA-DU-A7TD-01A-12R-A34F-07
