filename	barcode(s)
TCGA-2V-A95S-01A-11R-A37G-13.isoform.quantification.txt	TCGA-2V-A95S-01A-11R-A37G-13
TCGA-2V-A95S-01A-11R-A37G-13.mirna.quantification.txt	TCGA-2V-A95S-01A-11R-A37G-13
TCGA-2Y-A9GS-01A-12R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9GS-01A-12R-A38M-13
TCGA-2Y-A9GS-01A-12R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9GS-01A-12R-A38M-13
TCGA-2Y-A9GT-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9GT-01A-11R-A38M-13
TCGA-2Y-A9GT-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9GT-01A-11R-A38M-13
TCGA-2Y-A9GU-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9GU-01A-11R-A38M-13
TCGA-2Y-A9GU-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9GU-01A-11R-A38M-13
TCGA-2Y-A9GV-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9GV-01A-11R-A38M-13
TCGA-2Y-A9GV-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9GV-01A-11R-A38M-13
TCGA-2Y-A9GW-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9GW-01A-11R-A38M-13
TCGA-2Y-A9GW-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9GW-01A-11R-A38M-13
TCGA-2Y-A9GX-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9GX-01A-11R-A38M-13
TCGA-2Y-A9GX-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9GX-01A-11R-A38M-13
TCGA-2Y-A9GY-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9GY-01A-11R-A38M-13
TCGA-2Y-A9GY-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9GY-01A-11R-A38M-13
TCGA-2Y-A9GZ-01A-11R-A39J-13.isoform.quantification.txt	TCGA-2Y-A9GZ-01A-11R-A39J-13
TCGA-2Y-A9GZ-01A-11R-A39J-13.mirna.quantification.txt	TCGA-2Y-A9GZ-01A-11R-A39J-13
TCGA-2Y-A9H0-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9H0-01A-11R-A38M-13
TCGA-2Y-A9H0-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9H0-01A-11R-A38M-13
TCGA-2Y-A9H1-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9H1-01A-11R-A38M-13
TCGA-2Y-A9H1-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9H1-01A-11R-A38M-13
TCGA-2Y-A9H2-01A-12R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9H2-01A-12R-A38M-13
TCGA-2Y-A9H2-01A-12R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9H2-01A-12R-A38M-13
TCGA-2Y-A9H3-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9H3-01A-11R-A38M-13
TCGA-2Y-A9H3-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9H3-01A-11R-A38M-13
TCGA-2Y-A9H4-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9H4-01A-11R-A38M-13
TCGA-2Y-A9H4-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9H4-01A-11R-A38M-13
TCGA-2Y-A9H5-01A-11R-A38M-13.isoform.quantification.txt	TCGA-2Y-A9H5-01A-11R-A38M-13
TCGA-2Y-A9H5-01A-11R-A38M-13.mirna.quantification.txt	TCGA-2Y-A9H5-01A-11R-A38M-13
TCGA-2Y-A9H6-01A-11R-A39J-13.isoform.quantification.txt	TCGA-2Y-A9H6-01A-11R-A39J-13
TCGA-2Y-A9H6-01A-11R-A39J-13.mirna.quantification.txt	TCGA-2Y-A9H6-01A-11R-A39J-13
TCGA-2Y-A9H7-01A-11R-A39J-13.isoform.quantification.txt	TCGA-2Y-A9H7-01A-11R-A39J-13
TCGA-2Y-A9H7-01A-11R-A39J-13.mirna.quantification.txt	TCGA-2Y-A9H7-01A-11R-A39J-13
TCGA-2Y-A9H8-01A-11R-A39J-13.isoform.quantification.txt	TCGA-2Y-A9H8-01A-11R-A39J-13
TCGA-2Y-A9H8-01A-11R-A39J-13.mirna.quantification.txt	TCGA-2Y-A9H8-01A-11R-A39J-13
TCGA-2Y-A9H9-01A-21R-A39J-13.isoform.quantification.txt	TCGA-2Y-A9H9-01A-21R-A39J-13
TCGA-2Y-A9H9-01A-21R-A39J-13.mirna.quantification.txt	TCGA-2Y-A9H9-01A-21R-A39J-13
TCGA-2Y-A9HA-01A-11R-A39J-13.isoform.quantification.txt	TCGA-2Y-A9HA-01A-11R-A39J-13
TCGA-2Y-A9HA-01A-11R-A39J-13.mirna.quantification.txt	TCGA-2Y-A9HA-01A-11R-A39J-13
TCGA-2Y-A9HB-01A-11R-A39J-13.isoform.quantification.txt	TCGA-2Y-A9HB-01A-11R-A39J-13
TCGA-2Y-A9HB-01A-11R-A39J-13.mirna.quantification.txt	TCGA-2Y-A9HB-01A-11R-A39J-13
TCGA-3K-AAZ8-01A-12R-A39J-13.isoform.quantification.txt	TCGA-3K-AAZ8-01A-12R-A39J-13
TCGA-3K-AAZ8-01A-12R-A39J-13.mirna.quantification.txt	TCGA-3K-AAZ8-01A-12R-A39J-13
TCGA-4R-AA8I-01A-11R-A38M-13.isoform.quantification.txt	TCGA-4R-AA8I-01A-11R-A38M-13
TCGA-4R-AA8I-01A-11R-A38M-13.mirna.quantification.txt	TCGA-4R-AA8I-01A-11R-A38M-13
TCGA-5C-A9VG-01A-11R-A37G-13.isoform.quantification.txt	TCGA-5C-A9VG-01A-11R-A37G-13
TCGA-5C-A9VG-01A-11R-A37G-13.mirna.quantification.txt	TCGA-5C-A9VG-01A-11R-A37G-13
TCGA-5C-A9VH-01A-11R-A37G-13.isoform.quantification.txt	TCGA-5C-A9VH-01A-11R-A37G-13
TCGA-5C-A9VH-01A-11R-A37G-13.mirna.quantification.txt	TCGA-5C-A9VH-01A-11R-A37G-13
TCGA-5C-AAPD-01A-21R-A39J-13.isoform.quantification.txt	TCGA-5C-AAPD-01A-21R-A39J-13
TCGA-5C-AAPD-01A-21R-A39J-13.mirna.quantification.txt	TCGA-5C-AAPD-01A-21R-A39J-13
TCGA-5R-AA1C-01A-11R-A41H-13.isoform.quantification.txt	TCGA-5R-AA1C-01A-11R-A41H-13
TCGA-5R-AA1C-01A-11R-A41H-13.mirna.quantification.txt	TCGA-5R-AA1C-01A-11R-A41H-13
TCGA-5R-AA1D-01A-11R-A38M-13.isoform.quantification.txt	TCGA-5R-AA1D-01A-11R-A38M-13
TCGA-5R-AA1D-01A-11R-A38M-13.mirna.quantification.txt	TCGA-5R-AA1D-01A-11R-A38M-13
TCGA-5R-AAAM-01A-12R-A41H-13.isoform.quantification.txt	TCGA-5R-AAAM-01A-12R-A41H-13
TCGA-5R-AAAM-01A-12R-A41H-13.mirna.quantification.txt	TCGA-5R-AAAM-01A-12R-A41H-13
TCGA-BC-4072-01B-11R-A154-13.isoform.quantification.txt	TCGA-BC-4072-01B-11R-A154-13
TCGA-BC-4072-01B-11R-A154-13.mirna.quantification.txt	TCGA-BC-4072-01B-11R-A154-13
TCGA-BC-4073-01B-02R-A130-13.isoform.quantification.txt	TCGA-BC-4073-01B-02R-A130-13
TCGA-BC-4073-01B-02R-A130-13.mirna.quantification.txt	TCGA-BC-4073-01B-02R-A130-13
TCGA-BC-A10Q-01A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10Q-01A-11R-A130-13
TCGA-BC-A10Q-01A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10Q-01A-11R-A130-13
TCGA-BC-A10Q-11A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10Q-11A-11R-A130-13
TCGA-BC-A10Q-11A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10Q-11A-11R-A130-13
TCGA-BC-A10R-01A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10R-01A-11R-A130-13
TCGA-BC-A10R-01A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10R-01A-11R-A130-13
TCGA-BC-A10R-11A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10R-11A-11R-A130-13
TCGA-BC-A10R-11A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10R-11A-11R-A130-13
TCGA-BC-A10S-01A-22R-A130-13.isoform.quantification.txt	TCGA-BC-A10S-01A-22R-A130-13
TCGA-BC-A10S-01A-22R-A130-13.mirna.quantification.txt	TCGA-BC-A10S-01A-22R-A130-13
TCGA-BC-A10T-01A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10T-01A-11R-A130-13
TCGA-BC-A10T-01A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10T-01A-11R-A130-13
TCGA-BC-A10T-11A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10T-11A-11R-A130-13
TCGA-BC-A10T-11A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10T-11A-11R-A130-13
TCGA-BC-A10U-01A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10U-01A-11R-A130-13
TCGA-BC-A10U-01A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10U-01A-11R-A130-13
TCGA-BC-A10U-11A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10U-11A-11R-A130-13
TCGA-BC-A10U-11A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10U-11A-11R-A130-13
TCGA-BC-A10W-01A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10W-01A-11R-A130-13
TCGA-BC-A10W-01A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10W-01A-11R-A130-13
TCGA-BC-A10W-11A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10W-11A-11R-A130-13
TCGA-BC-A10W-11A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10W-11A-11R-A130-13
TCGA-BC-A10X-01A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10X-01A-11R-A130-13
TCGA-BC-A10X-01A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10X-01A-11R-A130-13
TCGA-BC-A10X-11A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10X-11A-11R-A130-13
TCGA-BC-A10X-11A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10X-11A-11R-A130-13
TCGA-BC-A10Y-01A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10Y-01A-11R-A130-13
TCGA-BC-A10Y-01A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10Y-01A-11R-A130-13
TCGA-BC-A10Y-11A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10Y-11A-11R-A130-13
TCGA-BC-A10Y-11A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10Y-11A-11R-A130-13
TCGA-BC-A10Z-01A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10Z-01A-11R-A130-13
TCGA-BC-A10Z-01A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10Z-01A-11R-A130-13
TCGA-BC-A10Z-11A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A10Z-11A-11R-A130-13
TCGA-BC-A10Z-11A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A10Z-11A-11R-A130-13
TCGA-BC-A110-01A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A110-01A-11R-A130-13
TCGA-BC-A110-01A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A110-01A-11R-A130-13
TCGA-BC-A110-11A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A110-11A-11R-A130-13
TCGA-BC-A110-11A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A110-11A-11R-A130-13
TCGA-BC-A112-01A-11R-A130-13.isoform.quantification.txt	TCGA-BC-A112-01A-11R-A130-13
TCGA-BC-A112-01A-11R-A130-13.mirna.quantification.txt	TCGA-BC-A112-01A-11R-A130-13
TCGA-BC-A216-01A-11R-A154-13.isoform.quantification.txt	TCGA-BC-A216-01A-11R-A154-13
TCGA-BC-A216-01A-11R-A154-13.mirna.quantification.txt	TCGA-BC-A216-01A-11R-A154-13
TCGA-BC-A216-11A-11R-A154-13.isoform.quantification.txt	TCGA-BC-A216-11A-11R-A154-13
TCGA-BC-A216-11A-11R-A154-13.mirna.quantification.txt	TCGA-BC-A216-11A-11R-A154-13
TCGA-BC-A217-01A-11R-A154-13.isoform.quantification.txt	TCGA-BC-A217-01A-11R-A154-13
TCGA-BC-A217-01A-11R-A154-13.mirna.quantification.txt	TCGA-BC-A217-01A-11R-A154-13
TCGA-BC-A3KF-01A-11R-A214-13.isoform.quantification.txt	TCGA-BC-A3KF-01A-11R-A214-13
TCGA-BC-A3KF-01A-11R-A214-13.mirna.quantification.txt	TCGA-BC-A3KF-01A-11R-A214-13
TCGA-BC-A3KG-01A-11R-A214-13.isoform.quantification.txt	TCGA-BC-A3KG-01A-11R-A214-13
TCGA-BC-A3KG-01A-11R-A214-13.mirna.quantification.txt	TCGA-BC-A3KG-01A-11R-A214-13
TCGA-BC-A5W4-01A-11R-A28Z-13.isoform.quantification.txt	TCGA-BC-A5W4-01A-11R-A28Z-13
TCGA-BC-A5W4-01A-11R-A28Z-13.mirna.quantification.txt	TCGA-BC-A5W4-01A-11R-A28Z-13
TCGA-BC-A69H-01A-11R-A310-13.isoform.quantification.txt	TCGA-BC-A69H-01A-11R-A310-13
TCGA-BC-A69H-01A-11R-A310-13.mirna.quantification.txt	TCGA-BC-A69H-01A-11R-A310-13
TCGA-BC-A69I-01A-11R-A310-13.isoform.quantification.txt	TCGA-BC-A69I-01A-11R-A310-13
TCGA-BC-A69I-01A-11R-A310-13.mirna.quantification.txt	TCGA-BC-A69I-01A-11R-A310-13
TCGA-BC-A8YO-01A-11R-A37G-13.isoform.quantification.txt	TCGA-BC-A8YO-01A-11R-A37G-13
