filename	barcode(s)
unc.edu.032ec32d-66ca-4792-9132-2e61d918c3c2.2633412.junction_quantification.txt	TCGA-DD-AACO-01A-11R-A41C-07
unc.edu.032ec32d-66ca-4792-9132-2e61d918c3c2.2633853.rsem.genes.results	TCGA-DD-AACO-01A-11R-A41C-07
unc.edu.032ec32d-66ca-4792-9132-2e61d918c3c2.2633854.rsem.isoforms.results	TCGA-DD-AACO-01A-11R-A41C-07
unc.edu.032ec32d-66ca-4792-9132-2e61d918c3c2.2633866.rsem.genes.normalized_results	TCGA-DD-AACO-01A-11R-A41C-07
unc.edu.032ec32d-66ca-4792-9132-2e61d918c3c2.2633867.rsem.isoforms.normalized_results	TCGA-DD-AACO-01A-11R-A41C-07
unc.edu.032ec32d-66ca-4792-9132-2e61d918c3c2.2633966.bt.exon_quantification.txt	TCGA-DD-AACO-01A-11R-A41C-07
unc.edu.038e0d7b-8f46-40fb-bfec-74dab7a6fe59.1188315.junction_quantification.txt	TCGA-CC-5263-01A-01R-A131-07
unc.edu.038e0d7b-8f46-40fb-bfec-74dab7a6fe59.1192356.rsem.genes.results	TCGA-CC-5263-01A-01R-A131-07
unc.edu.038e0d7b-8f46-40fb-bfec-74dab7a6fe59.1192357.rsem.isoforms.results	TCGA-CC-5263-01A-01R-A131-07
unc.edu.038e0d7b-8f46-40fb-bfec-74dab7a6fe59.1192378.rsem.genes.normalized_results	TCGA-CC-5263-01A-01R-A131-07
unc.edu.038e0d7b-8f46-40fb-bfec-74dab7a6fe59.1192407.rsem.isoforms.normalized_results	TCGA-CC-5263-01A-01R-A131-07
unc.edu.038e0d7b-8f46-40fb-bfec-74dab7a6fe59.1768008.bt.exon_quantification.txt	TCGA-CC-5263-01A-01R-A131-07
unc.edu.04beffef-0cd3-4935-8f2e-9e11c5638973.2096419.junction_quantification.txt	TCGA-CC-5261-01A-01R-A131-07
unc.edu.04beffef-0cd3-4935-8f2e-9e11c5638973.2096879.rsem.genes.results	TCGA-CC-5261-01A-01R-A131-07
unc.edu.04beffef-0cd3-4935-8f2e-9e11c5638973.2096880.rsem.isoforms.results	TCGA-CC-5261-01A-01R-A131-07
unc.edu.04beffef-0cd3-4935-8f2e-9e11c5638973.2096898.rsem.isoforms.normalized_results	TCGA-CC-5261-01A-01R-A131-07
unc.edu.04beffef-0cd3-4935-8f2e-9e11c5638973.2096899.rsem.genes.normalized_results	TCGA-CC-5261-01A-01R-A131-07
unc.edu.04beffef-0cd3-4935-8f2e-9e11c5638973.2096985.bt.exon_quantification.txt	TCGA-CC-5261-01A-01R-A131-07
unc.edu.04ecdbec-f452-4bff-986c-23b414d92252.2154883.junction_quantification.txt	TCGA-CC-A5UC-01A-11R-A28V-07
unc.edu.04ecdbec-f452-4bff-986c-23b414d92252.2155269.rsem.genes.results	TCGA-CC-A5UC-01A-11R-A28V-07
unc.edu.04ecdbec-f452-4bff-986c-23b414d92252.2155270.rsem.isoforms.results	TCGA-CC-A5UC-01A-11R-A28V-07
unc.edu.04ecdbec-f452-4bff-986c-23b414d92252.2155301.rsem.isoforms.normalized_results	TCGA-CC-A5UC-01A-11R-A28V-07
unc.edu.04ecdbec-f452-4bff-986c-23b414d92252.2155304.rsem.genes.normalized_results	TCGA-CC-A5UC-01A-11R-A28V-07
unc.edu.04ecdbec-f452-4bff-986c-23b414d92252.2155374.bt.exon_quantification.txt	TCGA-CC-A5UC-01A-11R-A28V-07
unc.edu.050080ae-44db-4056-8df1-eae4d9014ac9.2085034.junction_quantification.txt	TCGA-DD-A4NE-01A-11R-A27V-07
unc.edu.050080ae-44db-4056-8df1-eae4d9014ac9.2085419.rsem.genes.results	TCGA-DD-A4NE-01A-11R-A27V-07
unc.edu.050080ae-44db-4056-8df1-eae4d9014ac9.2085420.rsem.isoforms.results	TCGA-DD-A4NE-01A-11R-A27V-07
unc.edu.050080ae-44db-4056-8df1-eae4d9014ac9.2085432.rsem.isoforms.normalized_results	TCGA-DD-A4NE-01A-11R-A27V-07
unc.edu.050080ae-44db-4056-8df1-eae4d9014ac9.2085433.rsem.genes.normalized_results	TCGA-DD-A4NE-01A-11R-A27V-07
unc.edu.050080ae-44db-4056-8df1-eae4d9014ac9.2085535.bt.exon_quantification.txt	TCGA-DD-A4NE-01A-11R-A27V-07
unc.edu.05246bfa-faf4-4d63-9890-88bb6f7a6546.2310414.junction_quantification.txt	TCGA-RC-A6M5-01A-11R-A32O-07
unc.edu.05246bfa-faf4-4d63-9890-88bb6f7a6546.2311164.rsem.genes.results	TCGA-RC-A6M5-01A-11R-A32O-07
unc.edu.05246bfa-faf4-4d63-9890-88bb6f7a6546.2311165.rsem.isoforms.results	TCGA-RC-A6M5-01A-11R-A32O-07
unc.edu.05246bfa-faf4-4d63-9890-88bb6f7a6546.2311175.rsem.genes.normalized_results	TCGA-RC-A6M5-01A-11R-A32O-07
unc.edu.05246bfa-faf4-4d63-9890-88bb6f7a6546.2311178.rsem.isoforms.normalized_results	TCGA-RC-A6M5-01A-11R-A32O-07
unc.edu.05246bfa-faf4-4d63-9890-88bb6f7a6546.2311308.bt.exon_quantification.txt	TCGA-RC-A6M5-01A-11R-A32O-07
unc.edu.0559ff1c-6aee-491f-9b58-747732a10755.1169645.junction_quantification.txt	TCGA-DD-A1EH-01A-11R-A131-07
unc.edu.0559ff1c-6aee-491f-9b58-747732a10755.1173931.rsem.genes.results	TCGA-DD-A1EH-01A-11R-A131-07
unc.edu.0559ff1c-6aee-491f-9b58-747732a10755.1173932.rsem.isoforms.results	TCGA-DD-A1EH-01A-11R-A131-07
unc.edu.0559ff1c-6aee-491f-9b58-747732a10755.1174139.rsem.isoforms.normalized_results	TCGA-DD-A1EH-01A-11R-A131-07
unc.edu.0559ff1c-6aee-491f-9b58-747732a10755.1174142.rsem.genes.normalized_results	TCGA-DD-A1EH-01A-11R-A131-07
unc.edu.0559ff1c-6aee-491f-9b58-747732a10755.1764501.bt.exon_quantification.txt	TCGA-DD-A1EH-01A-11R-A131-07
