filename	barcode(s)
unc.edu.00481f66-1aad-4885-9162-bf802b1ed7f5.2063859.junction_quantification.txt	TCGA-L4-A4E5-01A-11R-A24X-07
unc.edu.00481f66-1aad-4885-9162-bf802b1ed7f5.2064352.rsem.genes.results	TCGA-L4-A4E5-01A-11R-A24X-07
unc.edu.00481f66-1aad-4885-9162-bf802b1ed7f5.2064353.rsem.isoforms.results	TCGA-L4-A4E5-01A-11R-A24X-07
unc.edu.00481f66-1aad-4885-9162-bf802b1ed7f5.2064371.rsem.isoforms.normalized_results	TCGA-L4-A4E5-01A-11R-A24X-07
unc.edu.00481f66-1aad-4885-9162-bf802b1ed7f5.2064374.rsem.genes.normalized_results	TCGA-L4-A4E5-01A-11R-A24X-07
unc.edu.00481f66-1aad-4885-9162-bf802b1ed7f5.2064512.bt.exon_quantification.txt	TCGA-L4-A4E5-01A-11R-A24X-07
unc.edu.006eb1bc-b058-49b9-8c2d-3c50f2427d95.1208250.junction_quantification.txt	TCGA-78-7633-01A-11R-2066-07
unc.edu.006eb1bc-b058-49b9-8c2d-3c50f2427d95.1214207.rsem.genes.results	TCGA-78-7633-01A-11R-2066-07
unc.edu.006eb1bc-b058-49b9-8c2d-3c50f2427d95.1214208.rsem.isoforms.results	TCGA-78-7633-01A-11R-2066-07
unc.edu.006eb1bc-b058-49b9-8c2d-3c50f2427d95.1214242.rsem.genes.normalized_results	TCGA-78-7633-01A-11R-2066-07
unc.edu.006eb1bc-b058-49b9-8c2d-3c50f2427d95.1214247.rsem.isoforms.normalized_results	TCGA-78-7633-01A-11R-2066-07
unc.edu.006eb1bc-b058-49b9-8c2d-3c50f2427d95.1758323.bt.exon_quantification.txt	TCGA-78-7633-01A-11R-2066-07
unc.edu.00c7a308-6add-457c-9003-784d4e65c318.1898335.junction_quantification.txt	TCGA-86-8671-01A-11R-2403-07
unc.edu.00c7a308-6add-457c-9003-784d4e65c318.1899391.rsem.genes.results	TCGA-86-8671-01A-11R-2403-07
unc.edu.00c7a308-6add-457c-9003-784d4e65c318.1899392.rsem.isoforms.results	TCGA-86-8671-01A-11R-2403-07
unc.edu.00c7a308-6add-457c-9003-784d4e65c318.1899414.rsem.isoforms.normalized_results	TCGA-86-8671-01A-11R-2403-07
unc.edu.00c7a308-6add-457c-9003-784d4e65c318.1899422.rsem.genes.normalized_results	TCGA-86-8671-01A-11R-2403-07
unc.edu.00c7a308-6add-457c-9003-784d4e65c318.1899564.bt.exon_quantification.txt	TCGA-86-8671-01A-11R-2403-07
unc.edu.013f7a4f-eec9-4ba8-8473-6515cdc9be68.1207422.junction_quantification.txt	TCGA-05-4433-01A-22R-1858-07
unc.edu.013f7a4f-eec9-4ba8-8473-6515cdc9be68.1210125.rsem.genes.results	TCGA-05-4433-01A-22R-1858-07
unc.edu.013f7a4f-eec9-4ba8-8473-6515cdc9be68.1210126.rsem.isoforms.results	TCGA-05-4433-01A-22R-1858-07
unc.edu.013f7a4f-eec9-4ba8-8473-6515cdc9be68.1210297.rsem.isoforms.normalized_results	TCGA-05-4433-01A-22R-1858-07
unc.edu.013f7a4f-eec9-4ba8-8473-6515cdc9be68.1210300.rsem.genes.normalized_results	TCGA-05-4433-01A-22R-1858-07
unc.edu.013f7a4f-eec9-4ba8-8473-6515cdc9be68.1760494.bt.exon_quantification.txt	TCGA-05-4433-01A-22R-1858-07
unc.edu.0168f22b-6d11-4492-9aea-5ffa451bff3e.1077381.junction_quantification.txt	TCGA-55-7907-01A-11R-2170-07
unc.edu.0168f22b-6d11-4492-9aea-5ffa451bff3e.1078856.rsem.genes.results	TCGA-55-7907-01A-11R-2170-07
unc.edu.0168f22b-6d11-4492-9aea-5ffa451bff3e.1078857.rsem.isoforms.results	TCGA-55-7907-01A-11R-2170-07
unc.edu.0168f22b-6d11-4492-9aea-5ffa451bff3e.1078916.rsem.isoforms.normalized_results	TCGA-55-7907-01A-11R-2170-07
unc.edu.0168f22b-6d11-4492-9aea-5ffa451bff3e.1078920.rsem.genes.normalized_results	TCGA-55-7907-01A-11R-2170-07
unc.edu.0168f22b-6d11-4492-9aea-5ffa451bff3e.1757497.bt.exon_quantification.txt	TCGA-55-7907-01A-11R-2170-07
unc.edu.01a75809-bb4e-42f3-a3ca-25e4d1ca37a3.1431218.junction_quantification.txt	TCGA-78-7162-01A-21R-2066-07
unc.edu.01a75809-bb4e-42f3-a3ca-25e4d1ca37a3.1436720.rsem.genes.results	TCGA-78-7162-01A-21R-2066-07
unc.edu.01a75809-bb4e-42f3-a3ca-25e4d1ca37a3.1436721.rsem.isoforms.results	TCGA-78-7162-01A-21R-2066-07
unc.edu.01a75809-bb4e-42f3-a3ca-25e4d1ca37a3.1436797.rsem.genes.normalized_results	TCGA-78-7162-01A-21R-2066-07
unc.edu.01a75809-bb4e-42f3-a3ca-25e4d1ca37a3.1436802.rsem.isoforms.normalized_results	TCGA-78-7162-01A-21R-2066-07
unc.edu.01a75809-bb4e-42f3-a3ca-25e4d1ca37a3.1758303.bt.exon_quantification.txt	TCGA-78-7162-01A-21R-2066-07
unc.edu.0216208c-fbbd-4370-93dd-19fbb7703568.1435517.junction_quantification.txt	TCGA-44-7662-01A-11R-2066-07
unc.edu.0216208c-fbbd-4370-93dd-19fbb7703568.1441567.rsem.genes.results	TCGA-44-7662-01A-11R-2066-07
unc.edu.0216208c-fbbd-4370-93dd-19fbb7703568.1441568.rsem.isoforms.results	TCGA-44-7662-01A-11R-2066-07
unc.edu.0216208c-fbbd-4370-93dd-19fbb7703568.1441733.rsem.genes.normalized_results	TCGA-44-7662-01A-11R-2066-07
unc.edu.0216208c-fbbd-4370-93dd-19fbb7703568.1441736.rsem.isoforms.normalized_results	TCGA-44-7662-01A-11R-2066-07
