filename	barcode(s)
TCGA-18-3406-01A-01T-0981-13.isoform.quantification.txt	TCGA-18-3406-01A-01T-0981-13
TCGA-18-3406-01A-01T-0981-13.mirna.quantification.txt	TCGA-18-3406-01A-01T-0981-13
TCGA-18-3407-01A-01T-0981-13.isoform.quantification.txt	TCGA-18-3407-01A-01T-0981-13
TCGA-18-3407-01A-01T-0981-13.mirna.quantification.txt	TCGA-18-3407-01A-01T-0981-13
TCGA-18-3408-01A-01T-0981-13.isoform.quantification.txt	TCGA-18-3408-01A-01T-0981-13
TCGA-18-3408-01A-01T-0981-13.mirna.quantification.txt	TCGA-18-3408-01A-01T-0981-13
TCGA-18-3410-01A-01T-0981-13.isoform.quantification.txt	TCGA-18-3410-01A-01T-0981-13
TCGA-18-3410-01A-01T-0981-13.mirna.quantification.txt	TCGA-18-3410-01A-01T-0981-13
TCGA-18-3411-01A-01T-0981-13.isoform.quantification.txt	TCGA-18-3411-01A-01T-0981-13
TCGA-18-3411-01A-01T-0981-13.mirna.quantification.txt	TCGA-18-3411-01A-01T-0981-13
TCGA-18-3412-01A-01T-0981-13.isoform.quantification.txt	TCGA-18-3412-01A-01T-0981-13
TCGA-18-3412-01A-01T-0981-13.mirna.quantification.txt	TCGA-18-3412-01A-01T-0981-13
TCGA-18-3414-01A-01T-0981-13.isoform.quantification.txt	TCGA-18-3414-01A-01T-0981-13
TCGA-18-3414-01A-01T-0981-13.mirna.quantification.txt	TCGA-18-3414-01A-01T-0981-13
TCGA-18-3415-01A-01T-0981-13.isoform.quantification.txt	TCGA-18-3415-01A-01T-0981-13
TCGA-18-3415-01A-01T-0981-13.mirna.quantification.txt	TCGA-18-3415-01A-01T-0981-13
TCGA-18-3416-01A-01T-0981-13.isoform.quantification.txt	TCGA-18-3416-01A-01T-0981-13
TCGA-18-3416-01A-01T-0981-13.mirna.quantification.txt	TCGA-18-3416-01A-01T-0981-13
TCGA-18-3417-01A-01T-1442-13.isoform.quantification.txt	TCGA-18-3417-01A-01T-1442-13
TCGA-18-3417-01A-01T-1442-13.mirna.quantification.txt	TCGA-18-3417-01A-01T-1442-13
TCGA-18-3419-01A-01T-0981-13.isoform.quantification.txt	TCGA-18-3419-01A-01T-0981-13
TCGA-18-3419-01A-01T-0981-13.mirna.quantification.txt	TCGA-18-3419-01A-01T-0981-13
TCGA-18-3421-01A-01T-0981-13.isoform.quantification.txt	TCGA-18-3421-01A-01T-0981-13
TCGA-18-3421-01A-01T-0981-13.mirna.quantification.txt	TCGA-18-3421-01A-01T-0981-13
TCGA-18-4086-01A-01T-1557-13.isoform.quantification.txt	TCGA-18-4086-01A-01T-1557-13
TCGA-18-4086-01A-01T-1557-13.mirna.quantification.txt	TCGA-18-4086-01A-01T-1557-13
TCGA-18-4721-01A-01T-1442-13.isoform.quantification.txt	TCGA-18-4721-01A-01T-1442-13
TCGA-18-4721-01A-01T-1442-13.mirna.quantification.txt	TCGA-18-4721-01A-01T-1442-13
TCGA-21-1072-01A-01T-1557-13.isoform.quantification.txt	TCGA-21-1072-01A-01T-1557-13
TCGA-21-1072-01A-01T-1557-13.mirna.quantification.txt	TCGA-21-1072-01A-01T-1557-13
TCGA-21-1075-01A-01T-1557-13.isoform.quantification.txt	TCGA-21-1075-01A-01T-1557-13
TCGA-21-1075-01A-01T-1557-13.mirna.quantification.txt	TCGA-21-1075-01A-01T-1557-13
TCGA-21-1076-01A-01T-1557-13.isoform.quantification.txt	TCGA-21-1076-01A-01T-1557-13
TCGA-21-1076-01A-01T-1557-13.mirna.quantification.txt	TCGA-21-1076-01A-01T-1557-13
TCGA-21-1077-01A-01T-1557-13.isoform.quantification.txt	TCGA-21-1077-01A-01T-1557-13
TCGA-21-1077-01A-01T-1557-13.mirna.quantification.txt	TCGA-21-1077-01A-01T-1557-13
TCGA-21-1078-01A-01T-1557-13.isoform.quantification.txt	TCGA-21-1078-01A-01T-1557-13
TCGA-21-1078-01A-01T-1557-13.mirna.quantification.txt	TCGA-21-1078-01A-01T-1557-13
TCGA-21-1079-01A-01T-1557-13.isoform.quantification.txt	TCGA-21-1079-01A-01T-1557-13
TCGA-21-1079-01A-01T-1557-13.mirna.quantification.txt	TCGA-21-1079-01A-01T-1557-13
TCGA-21-1080-01A-01T-1557-13.isoform.quantification.txt	TCGA-21-1080-01A-01T-1557-13
TCGA-21-1080-01A-01T-1557-13.mirna.quantification.txt	TCGA-21-1080-01A-01T-1557-13
TCGA-21-1083-01A-01T-1557-13.isoform.quantification.txt	TCGA-21-1083-01A-01T-1557-13
TCGA-21-1083-01A-01T-1557-13.mirna.quantification.txt	TCGA-21-1083-01A-01T-1557-13
TCGA-22-0940-01A-01T-1557-13.isoform.quantification.txt	TCGA-22-0940-01A-01T-1557-13
TCGA-22-0940-01A-01T-1557-13.mirna.quantification.txt	TCGA-22-0940-01A-01T-1557-13
TCGA-22-0944-01A-01T-1557-13.isoform.quantification.txt	TCGA-22-0944-01A-01T-1557-13
