filename	barcode(s)
unc.edu.002e2fae-9e30-4800-b23e-8f23bd16ad56.1069372.junction_quantification.txt	TCGA-66-2742-01A-01R-0980-07
unc.edu.002e2fae-9e30-4800-b23e-8f23bd16ad56.1071717.rsem.genes.results	TCGA-66-2742-01A-01R-0980-07
unc.edu.002e2fae-9e30-4800-b23e-8f23bd16ad56.1071718.rsem.isoforms.results	TCGA-66-2742-01A-01R-0980-07
unc.edu.002e2fae-9e30-4800-b23e-8f23bd16ad56.1071774.rsem.isoforms.normalized_results	TCGA-66-2742-01A-01R-0980-07
unc.edu.002e2fae-9e30-4800-b23e-8f23bd16ad56.1071784.rsem.genes.normalized_results	TCGA-66-2742-01A-01R-0980-07
unc.edu.002e2fae-9e30-4800-b23e-8f23bd16ad56.1771414.bt.exon_quantification.txt	TCGA-66-2742-01A-01R-0980-07
unc.edu.0116ccaf-9eaa-4f14-8255-586f587c29f8.1378221.junction_quantification.txt	TCGA-77-8008-01A-21R-2187-07
unc.edu.0116ccaf-9eaa-4f14-8255-586f587c29f8.1383631.rsem.genes.results	TCGA-77-8008-01A-21R-2187-07
unc.edu.0116ccaf-9eaa-4f14-8255-586f587c29f8.1383632.rsem.isoforms.results	TCGA-77-8008-01A-21R-2187-07
unc.edu.0116ccaf-9eaa-4f14-8255-586f587c29f8.1383659.rsem.genes.normalized_results	TCGA-77-8008-01A-21R-2187-07
unc.edu.0116ccaf-9eaa-4f14-8255-586f587c29f8.1383660.rsem.isoforms.normalized_results	TCGA-77-8008-01A-21R-2187-07
unc.edu.0116ccaf-9eaa-4f14-8255-586f587c29f8.1756921.bt.exon_quantification.txt	TCGA-77-8008-01A-21R-2187-07
unc.edu.017e0cba-13b0-457a-80bb-8d6090506cc9.1068301.junction_quantification.txt	TCGA-22-4604-01A-01R-1201-07
unc.edu.017e0cba-13b0-457a-80bb-8d6090506cc9.1072198.rsem.genes.results	TCGA-22-4604-01A-01R-1201-07
unc.edu.017e0cba-13b0-457a-80bb-8d6090506cc9.1072199.rsem.isoforms.results	TCGA-22-4604-01A-01R-1201-07
unc.edu.017e0cba-13b0-457a-80bb-8d6090506cc9.1072231.rsem.genes.normalized_results	TCGA-22-4604-01A-01R-1201-07
unc.edu.017e0cba-13b0-457a-80bb-8d6090506cc9.1072241.rsem.isoforms.normalized_results	TCGA-22-4604-01A-01R-1201-07
unc.edu.017e0cba-13b0-457a-80bb-8d6090506cc9.1764887.bt.exon_quantification.txt	TCGA-22-4604-01A-01R-1201-07
unc.edu.02107e86-44c9-42bd-9a46-2a98e54bd54c.1066007.junction_quantification.txt	TCGA-22-5481-11A-01R-1949-07
unc.edu.02107e86-44c9-42bd-9a46-2a98e54bd54c.1069391.rsem.genes.results	TCGA-22-5481-11A-01R-1949-07
unc.edu.02107e86-44c9-42bd-9a46-2a98e54bd54c.1069392.rsem.isoforms.results	TCGA-22-5481-11A-01R-1949-07
unc.edu.02107e86-44c9-42bd-9a46-2a98e54bd54c.1069452.rsem.isoforms.normalized_results	TCGA-22-5481-11A-01R-1949-07
unc.edu.02107e86-44c9-42bd-9a46-2a98e54bd54c.1069453.rsem.genes.normalized_results	TCGA-22-5481-11A-01R-1949-07
unc.edu.02107e86-44c9-42bd-9a46-2a98e54bd54c.1763732.bt.exon_quantification.txt	TCGA-22-5481-11A-01R-1949-07
unc.edu.02225067-9673-48cb-aa8e-6e28f9fbeffd.2074929.junction_quantification.txt	TCGA-NC-A5HM-01A-12R-A26W-07
unc.edu.02225067-9673-48cb-aa8e-6e28f9fbeffd.2075687.rsem.genes.results	TCGA-NC-A5HM-01A-12R-A26W-07
unc.edu.02225067-9673-48cb-aa8e-6e28f9fbeffd.2075688.rsem.isoforms.results	TCGA-NC-A5HM-01A-12R-A26W-07
unc.edu.02225067-9673-48cb-aa8e-6e28f9fbeffd.2075702.rsem.isoforms.normalized_results	TCGA-NC-A5HM-01A-12R-A26W-07
unc.edu.02225067-9673-48cb-aa8e-6e28f9fbeffd.2075703.rsem.genes.normalized_results	TCGA-NC-A5HM-01A-12R-A26W-07
unc.edu.02225067-9673-48cb-aa8e-6e28f9fbeffd.2075882.bt.exon_quantification.txt	TCGA-NC-A5HM-01A-12R-A26W-07
unc.edu.02311dd2-115e-452f-a5de-b3230a51d7f2.1077620.junction_quantification.txt	TCGA-60-2712-01A-01R-0851-07
unc.edu.02311dd2-115e-452f-a5de-b3230a51d7f2.1080584.rsem.genes.results	TCGA-60-2712-01A-01R-0851-07
unc.edu.02311dd2-115e-452f-a5de-b3230a51d7f2.1080585.rsem.isoforms.results	TCGA-60-2712-01A-01R-0851-07
unc.edu.02311dd2-115e-452f-a5de-b3230a51d7f2.1080631.rsem.genes.normalized_results	TCGA-60-2712-01A-01R-0851-07
unc.edu.02311dd2-115e-452f-a5de-b3230a51d7f2.1080632.rsem.isoforms.normalized_results	TCGA-60-2712-01A-01R-0851-07
unc.edu.02311dd2-115e-452f-a5de-b3230a51d7f2.1768730.bt.exon_quantification.txt	TCGA-60-2712-01A-01R-0851-07
unc.edu.0241c7d8-a820-421e-821e-291d4575a121.1033489.junction_quantification.txt	TCGA-56-7222-11A-01R-2045-07
unc.edu.0241c7d8-a820-421e-821e-291d4575a121.1035954.rsem.genes.results	TCGA-56-7222-11A-01R-2045-07
unc.edu.0241c7d8-a820-421e-821e-291d4575a121.1035955.rsem.isoforms.results	TCGA-56-7222-11A-01R-2045-07
unc.edu.0241c7d8-a820-421e-821e-291d4575a121.1035998.rsem.isoforms.normalized_results	TCGA-56-7222-11A-01R-2045-07
unc.edu.0241c7d8-a820-421e-821e-291d4575a121.1036008.rsem.genes.normalized_results	TCGA-56-7222-11A-01R-2045-07
unc.edu.0241c7d8-a820-421e-821e-291d4575a121.1758113.bt.exon_quantification.txt	TCGA-56-7222-11A-01R-2045-07
unc.edu.0242dfba-2ab3-457e-b905-82dc83348e11.1072981.junction_quantification.txt	TCGA-22-5474-01A-01R-1635-07
unc.edu.0242dfba-2ab3-457e-b905-82dc83348e11.1076549.rsem.genes.results	TCGA-22-5474-01A-01R-1635-07
unc.edu.0242dfba-2ab3-457e-b905-82dc83348e11.1076550.rsem.isoforms.results	TCGA-22-5474-01A-01R-1635-07
unc.edu.0242dfba-2ab3-457e-b905-82dc83348e11.1076581.rsem.genes.normalized_results	TCGA-22-5474-01A-01R-1635-07
unc.edu.0242dfba-2ab3-457e-b905-82dc83348e11.1076583.rsem.isoforms.normalized_results	TCGA-22-5474-01A-01R-1635-07
unc.edu.0242dfba-2ab3-457e-b905-82dc83348e11.1766911.bt.exon_quantification.txt	TCGA-22-5474-01A-01R-1635-07
unc.edu.02497ea4-eb86-4154-a7a2-63b4baaebc97.1065256.junction_quantification.txt	TCGA-66-2765-01A-01R-0851-07
unc.edu.02497ea4-eb86-4154-a7a2-63b4baaebc97.1069004.rsem.genes.results	TCGA-66-2765-01A-01R-0851-07
unc.edu.02497ea4-eb86-4154-a7a2-63b4baaebc97.1069005.rsem.isoforms.results	TCGA-66-2765-01A-01R-0851-07
