filename	barcode(s)
unc.edu.0069c63d-f699-41d4-9798-9a109d1c09df.2723141.rsem.genes.normalized_results	TCGA-13-1411-01A-01R-1565-13
unc.edu.010e9bf0-b7a0-4c68-b028-90299840fbaf.2705109.rsem.genes.normalized_results	TCGA-WR-A838-01A-12R-A406-31
unc.edu.03b8480f-d19e-43e4-8a09-f9230c525c1e.1552067.rsem.genes.normalized_results	TCGA-24-1564-01A-01R-1566-13
unc.edu.04112b9c-6ef4-49cd-bed8-43151b5bbe1f.1552501.rsem.genes.normalized_results	TCGA-10-0936-01A-01R-1564-13
unc.edu.044d949f-0eb4-44c9-8327-90226936fc7c.1552364.rsem.genes.normalized_results	TCGA-13-1405-01A-01R-1565-13
unc.edu.047e04aa-6a91-4535-b279-50430098e638.1552438.rsem.genes.normalized_results	TCGA-09-0367-01A-01R-1564-13
unc.edu.05689fed-96dd-4c52-b51d-5dc799422b9a.2706099.rsem.genes.normalized_results	TCGA-OY-A56P-01A-12R-A406-31
unc.edu.056cca38-92df-42ff-b064-b0c243f8a82f.1552149.rsem.genes.normalized_results	TCGA-61-1919-01A-01R-1568-13
unc.edu.05ab6bb9-0cb1-47f1-8dd2-92a48239e82e.1552874.rsem.genes.normalized_results	TCGA-25-2404-01A-01R-1569-13
unc.edu.05abb2f5-07c3-42da-92d9-0b4560fb6f09.2722704.rsem.genes.normalized_results	TCGA-31-1946-01A-01R-1568-13
unc.edu.06df1324-bc1b-4bc3-bb01-4ef55a5aeef5.2723244.rsem.genes.normalized_results	TCGA-57-1585-01A-01R-1566-13
unc.edu.0814c20e-fe77-4ff9-ab5e-a8ae2f74069d.1551746.rsem.genes.normalized_results	TCGA-61-1998-01A-01R-1568-13
unc.edu.0d75483f-eab3-41c8-b2cc-453af29b6f44.1552103.rsem.genes.normalized_results	TCGA-61-1914-01A-01R-1567-13
unc.edu.0d7561dc-7069-41df-ba49-8fcd4df52efb.1551957.rsem.genes.normalized_results	TCGA-25-1312-01A-01R-1565-13
unc.edu.0ec7ea28-7bd4-45c3-b03c-d855014fa4f4.1552652.rsem.genes.normalized_results	TCGA-24-1555-01A-01R-1566-13
unc.edu.0ed6e7a9-cdaa-48dc-962f-219f1eb39c1a.1552050.rsem.genes.normalized_results	TCGA-61-2092-01A-01R-1568-13
unc.edu.0ee0c708-77c4-4ac3-be13-0d08e6444003.1552261.rsem.genes.normalized_results	TCGA-25-2391-01A-01R-1569-13
unc.edu.0f5f479c-c83b-404b-bd17-ebb2aa5b0dc8.1551976.rsem.genes.normalized_results	TCGA-24-1551-01A-01R-1566-13
unc.edu.0fc68715-c7fc-4481-a5bf-68a281f5ec64.1563553.rsem.genes.normalized_results	TCGA-25-1627-01A-01R-1566-13
unc.edu.10271f7f-cce6-44fd-8754-7a4beabfb394.1563533.rsem.genes.normalized_results	TCGA-61-2008-01A-02R-1568-13
unc.edu.11fd4bb1-0f8d-4830-a7f0-83897a5df11d.1563767.rsem.genes.normalized_results	TCGA-24-2023-01A-01R-1567-13
unc.edu.12c78d62-6045-4f77-bd84-9ab5a38f4635.1563628.rsem.genes.normalized_results	TCGA-25-1632-01A-01R-1566-13
unc.edu.13b2c972-c6ef-4d1f-8ada-f831d2606023.1563882.rsem.genes.normalized_results	TCGA-61-1995-01A-01R-1568-13
unc.edu.1465139e-d1b2-4026-a532-08513fe0ad4d.1564255.rsem.genes.normalized_results	TCGA-04-1348-01A-01R-1565-13
unc.edu.14cd154a-6ea5-4ad9-92e4-72f53ee5d60b.2723377.rsem.genes.normalized_results	TCGA-61-2002-01A-01R-1568-13
unc.edu.1558c0c4-6bd2-482d-9c4e-2430a402dacc.1563379.rsem.genes.normalized_results	TCGA-29-2414-02A-01R-1569-13
unc.edu.15a11ef0-5e18-44d0-ba50-73cf356b8408.2723493.rsem.genes.normalized_results	TCGA-61-2095-01A-01R-1568-13
unc.edu.16c61c5a-a9b3-4022-9b79-d593e3519794.1563227.rsem.genes.normalized_results	TCGA-23-2077-01A-01R-1568-13
unc.edu.176d1ca2-eb1d-4f49-9b10-c129c822fa5a.1563786.rsem.genes.normalized_results	TCGA-13-1498-01A-01R-1565-13
unc.edu.193d3e7f-ec7f-453a-9c2a-77b240c4ba19.1563023.rsem.genes.normalized_results	TCGA-04-1519-01A-01R-1565-13
unc.edu.19765b4f-458e-4f02-bf96-01498d80ac83.1563848.rsem.genes.normalized_results	TCGA-24-2020-01A-01R-1567-13
unc.edu.197ea6b5-5716-4e5c-9c7f-92ed4521682a.1553907.rsem.genes.normalized_results	TCGA-31-1951-01A-01R-1568-13
unc.edu.1b8d5b5e-f671-419a-844a-6640fe5a896d.1563683.rsem.genes.normalized_results	TCGA-24-1558-01A-01R-1566-13
unc.edu.1b8eed7b-173e-4e38-80a4-a3a0aea469a1.1560458.rsem.genes.normalized_results	TCGA-30-1860-01A-01R-1568-13
unc.edu.1c88dde8-4fe6-49e9-8d76-40668ed783ff.2723481.rsem.genes.normalized_results	TCGA-23-1023-01A-02R-1564-13,TCGA-23-1023-01R-01R-1564-13
unc.edu.1ca9af90-a8db-4f7e-b17a-0bf32fed98c7.1562509.rsem.genes.normalized_results	TCGA-61-1738-01A-01R-1567-13
unc.edu.1d3f29ac-5f19-452d-99b6-72c0abf1ce32.1563056.rsem.genes.normalized_results	TCGA-59-2363-01A-01R-1569-13
unc.edu.1f972766-2f58-4d41-b84c-3493ef2dd0c4.1563723.rsem.genes.normalized_results	TCGA-09-0369-01A-01R-1564-13
unc.edu.202abe19-20e0-4ea9-8653-bf5145da351c.1562761.rsem.genes.normalized_results	TCGA-24-1103-01A-01R-1565-13
unc.edu.226f9774-e22b-4b8b-8259-934edb649fc3.1562037.rsem.genes.normalized_results	TCGA-61-1721-01A-01R-1569-13
unc.edu.22902cdb-69f7-4bfc-a5c3-a56229ee501d.1560673.rsem.genes.normalized_results	TCGA-24-1467-01A-01R-1566-13
unc.edu.23c4ab1a-f8ce-47be-ab03-abfc66ea70ef.1563890.rsem.genes.normalized_results	TCGA-29-1696-01A-01R-1567-13
unc.edu.24cfcfd9-ce30-4e24-9470-60265efd6721.1563606.rsem.genes.normalized_results	TCGA-31-1956-01A-01R-1568-13
unc.edu.2535da6b-39f0-41de-afd3-82cb37916b95.1564423.rsem.genes.normalized_results	TCGA-04-1365-01A-01R-1565-13
unc.edu.2592f314-cc0a-4d00-bdcf-6376afd32bb7.1563658.rsem.genes.normalized_results	TCGA-24-1924-01A-01R-1567-13
unc.edu.25b1eb9f-7b97-4da2-96a9-a4a3aaaca192.2722216.rsem.genes.normalized_results	TCGA-31-1959-01A-01R-1568-13
unc.edu.25c0888a-25b9-4cc0-a02f-6d363a341e8f.1560278.rsem.genes.normalized_results	TCGA-61-2111-01A-01R-1568-13
unc.edu.28a681dc-3e0f-4a9c-ad0c-f2bb10aab0e1.1565980.rsem.genes.normalized_results	TCGA-25-2399-01A-01R-1569-13
unc.edu.29c4cab9-c19e-4416-ad88-484cc02a980f.1563461.rsem.genes.normalized_results	TCGA-25-1631-01A-01R-1569-13
unc.edu.2b0089bc-b493-4179-bf5c-e58550e1ee5b.1563706.rsem.genes.normalized_results	TCGA-24-2297-01A-01R-1568-13
unc.edu.2b2d5fc7-b109-4d11-a632-db8016268840.1563147.rsem.genes.normalized_results	TCGA-13-0893-01B-01R-1565-13
unc.edu.2cf309ea-0c2e-4f28-a94b-342dc9a1aae8.1563014.rsem.genes.normalized_results	TCGA-57-1994-01A-01R-1568-13
unc.edu.2d0702a8-bf85-458e-879c-ebc03a2aa3d1.1562749.rsem.genes.normalized_results	TCGA-09-0364-01A-02R-1564-13
unc.edu.2d8e1b4d-85d0-4bfd-99f7-59559dabe978.1560256.rsem.genes.normalized_results	TCGA-13-0920-01A-01R-1564-13
unc.edu.2fadaf5a-402b-483d-bc26-08feb3dc162d.1563088.rsem.genes.normalized_results	TCGA-04-1364-01A-01R-1565-13
unc.edu.30b9b778-1422-4842-ae99-658b8b1d7605.1566225.rsem.genes.normalized_results	TCGA-24-1428-01A-01R-1564-13
unc.edu.31e8ae73-7c3f-45ec-b4c9-d3f2ee1ca4fd.1564820.rsem.genes.normalized_results	TCGA-24-1556-01A-01R-1566-13
unc.edu.3217dd54-d41c-4c63-8bab-ff2c4baaee10.1564581.rsem.genes.normalized_results	TCGA-13-1403-01A-01R-1565-13
unc.edu.32a58029-c8aa-4647-a932-bbf57e82fc48.2722720.rsem.genes.normalized_results	TCGA-30-1861-01A-01R-1568-13
unc.edu.32d5209e-2ef2-4ef0-b902-585542d7d16b.2723520.rsem.genes.normalized_results	TCGA-09-1659-01B-01R-1564-13
unc.edu.32de1e4d-198a-4616-8227-4d633c80124b.1555153.rsem.genes.normalized_results	TCGA-13-2060-01A-01R-1568-13
unc.edu.33367eb6-4ca9-4daf-9e47-30a47a78e144.2723352.rsem.genes.normalized_results	TCGA-59-2354-01A-01R-1569-13
unc.edu.33f1dda6-7601-48c6-b46d-f0ba759e4048.1565108.rsem.genes.normalized_results	TCGA-29-1695-01A-01R-1567-13
unc.edu.356a00a0-d19a-498c-8ed7-20ce89cd21eb.2705018.rsem.genes.normalized_results	TCGA-59-A5PD-01A-11R-A406-31
unc.edu.368f21cd-dd07-440d-89f5-5874e37fe63b.2723112.rsem.genes.normalized_results	TCGA-24-1434-01A-01R-1566-13
