filename	barcode(s)
TCGA-2J-AAB1-01A-11R-A41G-13.isoform.quantification.txt	TCGA-2J-AAB1-01A-11R-A41G-13
TCGA-2J-AAB1-01A-11R-A41G-13.mirna.quantification.txt	TCGA-2J-AAB1-01A-11R-A41G-13
TCGA-2J-AAB4-01A-12R-A41G-13.isoform.quantification.txt	TCGA-2J-AAB4-01A-12R-A41G-13
TCGA-2J-AAB4-01A-12R-A41G-13.mirna.quantification.txt	TCGA-2J-AAB4-01A-12R-A41G-13
TCGA-2J-AAB6-01A-11R-A41G-13.isoform.quantification.txt	TCGA-2J-AAB6-01A-11R-A41G-13
TCGA-2J-AAB6-01A-11R-A41G-13.mirna.quantification.txt	TCGA-2J-AAB6-01A-11R-A41G-13
TCGA-2J-AAB8-01A-12R-A41G-13.isoform.quantification.txt	TCGA-2J-AAB8-01A-12R-A41G-13
TCGA-2J-AAB8-01A-12R-A41G-13.mirna.quantification.txt	TCGA-2J-AAB8-01A-12R-A41G-13
TCGA-2J-AAB9-01A-11R-A41G-13.isoform.quantification.txt	TCGA-2J-AAB9-01A-11R-A41G-13
TCGA-2J-AAB9-01A-11R-A41G-13.mirna.quantification.txt	TCGA-2J-AAB9-01A-11R-A41G-13
TCGA-2J-AABA-01A-21R-A41G-13.isoform.quantification.txt	TCGA-2J-AABA-01A-21R-A41G-13
TCGA-2J-AABA-01A-21R-A41G-13.mirna.quantification.txt	TCGA-2J-AABA-01A-21R-A41G-13
TCGA-2J-AABE-01A-12R-A41G-13.isoform.quantification.txt	TCGA-2J-AABE-01A-12R-A41G-13
TCGA-2J-AABE-01A-12R-A41G-13.mirna.quantification.txt	TCGA-2J-AABE-01A-12R-A41G-13
TCGA-2J-AABF-01A-31R-A41G-13.isoform.quantification.txt	TCGA-2J-AABF-01A-31R-A41G-13
TCGA-2J-AABF-01A-31R-A41G-13.mirna.quantification.txt	TCGA-2J-AABF-01A-31R-A41G-13
TCGA-2J-AABH-01A-21R-A41G-13.isoform.quantification.txt	TCGA-2J-AABH-01A-21R-A41G-13
TCGA-2J-AABH-01A-21R-A41G-13.mirna.quantification.txt	TCGA-2J-AABH-01A-21R-A41G-13
TCGA-2J-AABI-01A-12R-A41G-13.isoform.quantification.txt	TCGA-2J-AABI-01A-12R-A41G-13
TCGA-2J-AABI-01A-12R-A41G-13.mirna.quantification.txt	TCGA-2J-AABI-01A-12R-A41G-13
TCGA-2J-AABK-01A-31R-A41G-13.isoform.quantification.txt	TCGA-2J-AABK-01A-31R-A41G-13
TCGA-2J-AABK-01A-31R-A41G-13.mirna.quantification.txt	TCGA-2J-AABK-01A-31R-A41G-13
TCGA-2J-AABO-01A-21R-A41G-13.isoform.quantification.txt	TCGA-2J-AABO-01A-21R-A41G-13
TCGA-2J-AABO-01A-21R-A41G-13.mirna.quantification.txt	TCGA-2J-AABO-01A-21R-A41G-13
TCGA-2J-AABP-01A-11R-A41G-13.isoform.quantification.txt	TCGA-2J-AABP-01A-11R-A41G-13
TCGA-2J-AABP-01A-11R-A41G-13.mirna.quantification.txt	TCGA-2J-AABP-01A-11R-A41G-13
TCGA-2J-AABR-01A-11R-A41G-13.isoform.quantification.txt	TCGA-2J-AABR-01A-11R-A41G-13
TCGA-2J-AABR-01A-11R-A41G-13.mirna.quantification.txt	TCGA-2J-AABR-01A-11R-A41G-13
TCGA-2J-AABT-01A-11R-A41G-13.isoform.quantification.txt	TCGA-2J-AABT-01A-11R-A41G-13
TCGA-2J-AABT-01A-11R-A41G-13.mirna.quantification.txt	TCGA-2J-AABT-01A-11R-A41G-13
TCGA-2J-AABU-01A-11R-A41G-13.isoform.quantification.txt	TCGA-2J-AABU-01A-11R-A41G-13
TCGA-2J-AABU-01A-11R-A41G-13.mirna.quantification.txt	TCGA-2J-AABU-01A-11R-A41G-13
TCGA-2J-AABV-01A-12R-A41G-13.isoform.quantification.txt	TCGA-2J-AABV-01A-12R-A41G-13
TCGA-2J-AABV-01A-12R-A41G-13.mirna.quantification.txt	TCGA-2J-AABV-01A-12R-A41G-13
TCGA-2L-AAQA-01A-21R-A38N-13.isoform.quantification.txt	TCGA-2L-AAQA-01A-21R-A38N-13
TCGA-2L-AAQA-01A-21R-A38N-13.mirna.quantification.txt	TCGA-2L-AAQA-01A-21R-A38N-13
TCGA-2L-AAQE-01A-11R-A39J-13.isoform.quantification.txt	TCGA-2L-AAQE-01A-11R-A39J-13
TCGA-2L-AAQE-01A-11R-A39J-13.mirna.quantification.txt	TCGA-2L-AAQE-01A-11R-A39J-13
TCGA-2L-AAQI-01A-12R-A39J-13.isoform.quantification.txt	TCGA-2L-AAQI-01A-12R-A39J-13
TCGA-2L-AAQI-01A-12R-A39J-13.mirna.quantification.txt	TCGA-2L-AAQI-01A-12R-A39J-13
TCGA-2L-AAQJ-01A-12R-A39J-13.isoform.quantification.txt	TCGA-2L-AAQJ-01A-12R-A39J-13
TCGA-2L-AAQJ-01A-12R-A39J-13.mirna.quantification.txt	TCGA-2L-AAQJ-01A-12R-A39J-13
TCGA-2L-AAQL-01A-11R-A38N-13.isoform.quantification.txt	TCGA-2L-AAQL-01A-11R-A38N-13
TCGA-2L-AAQL-01A-11R-A38N-13.mirna.quantification.txt	TCGA-2L-AAQL-01A-11R-A38N-13
TCGA-2L-AAQM-01A-11R-A39J-13.isoform.quantification.txt	TCGA-2L-AAQM-01A-11R-A39J-13
TCGA-2L-AAQM-01A-11R-A39J-13.mirna.quantification.txt	TCGA-2L-AAQM-01A-11R-A39J-13
TCGA-3A-A9I5-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3A-A9I5-01A-11R-A38N-13
TCGA-3A-A9I5-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3A-A9I5-01A-11R-A38N-13
TCGA-3A-A9I7-01A-21R-A38N-13.isoform.quantification.txt	TCGA-3A-A9I7-01A-21R-A38N-13
TCGA-3A-A9I7-01A-21R-A38N-13.mirna.quantification.txt	TCGA-3A-A9I7-01A-21R-A38N-13
TCGA-3A-A9I9-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3A-A9I9-01A-11R-A38N-13
TCGA-3A-A9I9-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3A-A9I9-01A-11R-A38N-13
TCGA-3A-A9IB-01A-21R-A39J-13.isoform.quantification.txt	TCGA-3A-A9IB-01A-21R-A39J-13
TCGA-3A-A9IB-01A-21R-A39J-13.mirna.quantification.txt	TCGA-3A-A9IB-01A-21R-A39J-13
TCGA-3A-A9IC-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3A-A9IC-01A-11R-A38N-13
TCGA-3A-A9IC-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3A-A9IC-01A-11R-A38N-13
TCGA-3A-A9IH-01A-12R-A39J-13.isoform.quantification.txt	TCGA-3A-A9IH-01A-12R-A39J-13
TCGA-3A-A9IH-01A-12R-A39J-13.mirna.quantification.txt	TCGA-3A-A9IH-01A-12R-A39J-13
TCGA-3A-A9IJ-01A-11R-A39J-13.isoform.quantification.txt	TCGA-3A-A9IJ-01A-11R-A39J-13
TCGA-3A-A9IJ-01A-11R-A39J-13.mirna.quantification.txt	TCGA-3A-A9IJ-01A-11R-A39J-13
TCGA-3A-A9IL-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3A-A9IL-01A-11R-A38N-13
TCGA-3A-A9IL-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3A-A9IL-01A-11R-A38N-13
TCGA-3A-A9IN-01A-11R-A39J-13.isoform.quantification.txt	TCGA-3A-A9IN-01A-11R-A39J-13
TCGA-3A-A9IN-01A-11R-A39J-13.mirna.quantification.txt	TCGA-3A-A9IN-01A-11R-A39J-13
TCGA-3A-A9IO-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3A-A9IO-01A-11R-A38N-13
TCGA-3A-A9IO-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3A-A9IO-01A-11R-A38N-13
TCGA-3A-A9IR-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3A-A9IR-01A-11R-A38N-13
TCGA-3A-A9IR-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3A-A9IR-01A-11R-A38N-13
TCGA-3A-A9IS-01A-21R-A39J-13.isoform.quantification.txt	TCGA-3A-A9IS-01A-21R-A39J-13
TCGA-3A-A9IS-01A-21R-A39J-13.mirna.quantification.txt	TCGA-3A-A9IS-01A-21R-A39J-13
TCGA-3A-A9IU-01A-11R-A39J-13.isoform.quantification.txt	TCGA-3A-A9IU-01A-11R-A39J-13
TCGA-3A-A9IU-01A-11R-A39J-13.mirna.quantification.txt	TCGA-3A-A9IU-01A-11R-A39J-13
TCGA-3A-A9IV-01A-11R-A41G-13.isoform.quantification.txt	TCGA-3A-A9IV-01A-11R-A41G-13
