filename	barcode(s)
unc.edu.04c1f866-a5a7-446d-be9b-8fae06a7e03e.2473882.rsem.genes.normalized_results	TCGA-IB-AAUU-01A-11R-A37L-07
unc.edu.097b58ac-149d-4a55-b359-08e6d3582712.2223980.rsem.genes.normalized_results	TCGA-F2-6880-01A-11R-2156-07
unc.edu.0ec4c319-53cc-41d8-8a80-210462506a28.2314827.rsem.genes.normalized_results	TCGA-HV-A7OL-01A-11R-A33R-07
unc.edu.0f074dc4-7b72-4670-ba09-55ad645b394b.2391948.rsem.genes.normalized_results	TCGA-IB-A7M4-01A-11R-A36G-07
unc.edu.106facc9-9e09-46e7-84db-1d0a541be7b8.1573434.rsem.genes.normalized_results	TCGA-IB-7886-01A-11R-2156-07
unc.edu.128a925c-6b94-44ed-aa40-97d1ce11715f.1677327.rsem.genes.normalized_results	TCGA-IB-7893-01A-11R-2204-07
unc.edu.1559de5f-fdc1-4f3e-8ae9-f39ca529c952.2250087.rsem.genes.normalized_results	TCGA-US-A774-01A-21R-A32O-07
unc.edu.1643e566-9e21-4231-85bf-a663df99119c.2223936.rsem.genes.normalized_results	TCGA-HZ-7289-01A-11R-2156-07
unc.edu.19f9a411-236a-4e86-a636-65dfa3423d99.2509886.rsem.genes.normalized_results	TCGA-2L-AAQL-01A-11R-A38C-07
unc.edu.1cdadacf-34ad-464a-9faa-d501e2caab06.1956613.rsem.genes.normalized_results	TCGA-FB-A4P5-01A-11R-A26U-07
unc.edu.20518691-782a-4e1d-8bef-3f1212884571.1772494.rsem.genes.normalized_results	TCGA-IB-8127-01A-11R-2404-07
unc.edu.20622835-4f7b-4896-b8a5-3a361f459923.1677867.rsem.genes.normalized_results	TCGA-IB-7647-01A-11R-2156-07
unc.edu.20810196-c093-459a-ad14-c488376363b5.1643091.rsem.genes.normalized_results	TCGA-IB-7651-01A-11R-2156-07
unc.edu.21ad88e7-d9c7-4e66-9454-19a539b1fc4a.1953181.rsem.genes.normalized_results	TCGA-HV-A5A3-11A-11R-A26U-07
