filename	barcode(s)
TCGA-AF-2687-01A-02T-1735-13.hg19.isoform.quantification.txt	TCGA-AF-2687-01A-02T-1735-13
TCGA-AF-2687-01A-02T-1735-13.hg19.mirna.quantification.txt	TCGA-AF-2687-01A-02T-1735-13
TCGA-AF-2687-01A-02T-1735-13.isoform.quantification.txt	TCGA-AF-2687-01A-02T-1735-13
TCGA-AF-2687-01A-02T-1735-13.mirna.quantification.txt	TCGA-AF-2687-01A-02T-1735-13
TCGA-AF-2689-11A-01R-1757-13.hg19.isoform.quantification.txt	TCGA-AF-2689-11A-01R-1757-13
TCGA-AF-2689-11A-01R-1757-13.hg19.mirna.quantification.txt	TCGA-AF-2689-11A-01R-1757-13
TCGA-AF-2689-11A-01R-1757-13.isoform.quantification.txt	TCGA-AF-2689-11A-01R-1757-13
TCGA-AF-2689-11A-01R-1757-13.mirna.quantification.txt	TCGA-AF-2689-11A-01R-1757-13
TCGA-AF-2690-01A-02T-1735-13.hg19.isoform.quantification.txt	TCGA-AF-2690-01A-02T-1735-13
TCGA-AF-2690-01A-02T-1735-13.hg19.mirna.quantification.txt	TCGA-AF-2690-01A-02T-1735-13
TCGA-AF-2690-01A-02T-1735-13.isoform.quantification.txt	TCGA-AF-2690-01A-02T-1735-13
TCGA-AF-2690-01A-02T-1735-13.mirna.quantification.txt	TCGA-AF-2690-01A-02T-1735-13
TCGA-AF-2691-11A-01R-1757-13.hg19.isoform.quantification.txt	TCGA-AF-2691-11A-01R-1757-13
TCGA-AF-2691-11A-01R-1757-13.hg19.mirna.quantification.txt	TCGA-AF-2691-11A-01R-1757-13
TCGA-AF-2691-11A-01R-1757-13.isoform.quantification.txt	TCGA-AF-2691-11A-01R-1757-13
TCGA-AF-2691-11A-01R-1757-13.mirna.quantification.txt	TCGA-AF-2691-11A-01R-1757-13
TCGA-AF-2692-11A-01R-1757-13.hg19.isoform.quantification.txt	TCGA-AF-2692-11A-01R-1757-13
TCGA-AF-2692-11A-01R-1757-13.hg19.mirna.quantification.txt	TCGA-AF-2692-11A-01R-1757-13
TCGA-AF-2692-11A-01R-1757-13.isoform.quantification.txt	TCGA-AF-2692-11A-01R-1757-13
TCGA-AF-2692-11A-01R-1757-13.mirna.quantification.txt	TCGA-AF-2692-11A-01R-1757-13
TCGA-AF-2693-01A-02T-1735-13.hg19.isoform.quantification.txt	TCGA-AF-2693-01A-02T-1735-13
TCGA-AF-2693-01A-02T-1735-13.hg19.mirna.quantification.txt	TCGA-AF-2693-01A-02T-1735-13
TCGA-AF-2693-01A-02T-1735-13.isoform.quantification.txt	TCGA-AF-2693-01A-02T-1735-13
TCGA-AF-2693-01A-02T-1735-13.mirna.quantification.txt	TCGA-AF-2693-01A-02T-1735-13
TCGA-AF-3911-01A-01T-1735-13.hg19.isoform.quantification.txt	TCGA-AF-3911-01A-01T-1735-13
TCGA-AF-3911-01A-01T-1735-13.hg19.mirna.quantification.txt	TCGA-AF-3911-01A-01T-1735-13
TCGA-AF-3911-01A-01T-1735-13.isoform.quantification.txt	TCGA-AF-3911-01A-01T-1735-13
TCGA-AF-3911-01A-01T-1735-13.mirna.quantification.txt	TCGA-AF-3911-01A-01T-1735-13
TCGA-AF-4110-01A-02T-1735-13.hg19.isoform.quantification.txt	TCGA-AF-4110-01A-02T-1735-13
TCGA-AF-4110-01A-02T-1735-13.hg19.mirna.quantification.txt	TCGA-AF-4110-01A-02T-1735-13
