filename	barcode(s)
unc.edu.02cb8dbe-ef56-471c-b52d-41c29219fd95.1794867.rsem.genes.normalized_results	TCGA-DC-6157-01A-11R-1660-07
unc.edu.02f5dcba-bdcc-4424-aed4-195a8d551325.2085661.rsem.genes.normalized_results	TCGA-G5-6233-01A-11R-1736-07
unc.edu.08a2202b-31f5-4559-90f9-c1ecd73d613b.1796324.rsem.genes.normalized_results	TCGA-DC-6160-01A-11R-1660-07
unc.edu.09940f4e-69df-4ada-96ab-a6749b70e4b8.1899835.rsem.genes.normalized_results	TCGA-AG-3731-01A-11R-1736-07
unc.edu.0a1024ae-be14-45da-a729-7e1778abad5a.1870776.rsem.genes.normalized_results	TCGA-G5-6235-01A-11R-1736-07
unc.edu.0b128313-0c1a-46e2-b923-701e71481d63.2316476.rsem.genes.normalized_results	TCGA-EI-6881-01A-11R-A32Z-07
unc.edu.0c6d6099-1020-475b-ba62-d3c306860e8e.1899939.rsem.genes.normalized_results	TCGA-CI-6621-01A-11R-1830-07
unc.edu.0d76a939-8917-41f8-b61f-d87b0a4fa568.1796507.rsem.genes.normalized_results	TCGA-AG-3742-11A-01R-1660-07
unc.edu.0f897cb5-42af-4f64-b6bc-54f9e5efec47.1870604.rsem.genes.normalized_results	TCGA-F5-6813-01A-11R-1830-07
unc.edu.21c18eb0-b627-41f0-8d2f-d3167f6feb2c.1899854.rsem.genes.normalized_results	TCGA-CI-6620-01A-11R-1830-07
unc.edu.23447051-b9ad-4eb7-845c-2c4c1a71301a.1811895.rsem.genes.normalized_results	TCGA-AH-6897-01A-11R-1928-07
unc.edu.246ed060-8266-4c60-b1fa-781af19efef1.2084576.rsem.genes.normalized_results	TCGA-G5-6572-01A-11R-1830-07
unc.edu.2555e124-49d2-42eb-bbc2-edea01134154.1869173.rsem.genes.normalized_results	TCGA-EI-6884-01A-11R-1928-07
unc.edu.27b45aff-a680-42ac-95a9-6fd698230b27.1900013.rsem.genes.normalized_results	TCGA-CL-4957-01A-01R-1736-07
unc.edu.27b8775c-5f1f-407c-8db8-674dc301307a.1901094.rsem.genes.normalized_results	TCGA-EI-6506-01A-11R-1736-07
unc.edu.284266c1-3ec6-41b6-af26-da481d7e7d20.1900158.rsem.genes.normalized_results	TCGA-AG-3731-11A-01R-1736-07
unc.edu.2e85d1dd-1b37-4504-ad35-10926c11341c.1899543.rsem.genes.normalized_results	TCGA-AH-6544-01A-11R-1830-07
unc.edu.3061e43d-0a94-474d-a715-545692c33cfb.1899689.rsem.genes.normalized_results	TCGA-EI-6511-01A-11R-1736-07
unc.edu.33af00ec-d17e-4318-87a1-865323c3db38.1869636.rsem.genes.normalized_results	TCGA-F5-6863-01A-11R-1928-07
unc.edu.375b5253-507e-4793-b535-81878ac5297e.1870948.rsem.genes.normalized_results	TCGA-AH-6644-01A-21R-1830-07
unc.edu.3bdc62fe-be13-4028-bbec-6e3465f80888.1794849.rsem.genes.normalized_results	TCGA-CL-5917-01A-11R-1660-07
unc.edu.3fdf0375-0158-4abc-a1a7-70612c77743e.1870966.rsem.genes.normalized_results	TCGA-CI-6624-01C-11R-1830-07
unc.edu.4968e96b-0e78-4739-9b40-8595afb2a30b.1869806.rsem.genes.normalized_results	TCGA-F5-6861-01A-11R-1928-07
unc.edu.49a146e2-268d-4cee-b2d6-c1d7ce6b4462.1899511.rsem.genes.normalized_results	TCGA-AG-3725-11A-01R-1736-07
unc.edu.4bfed860-1296-426c-b7a4-b6e9a4449005.1870270.rsem.genes.normalized_results	TCGA-AF-2693-01A-02R-1736-07
unc.edu.4ca40ed6-7ba2-424f-af3e-d5cad810e297.2085063.rsem.genes.normalized_results	TCGA-EI-6514-01A-11R-1736-07
unc.edu.509563ff-856a-45f0-a2e2-5ad04e652dae.2304791.rsem.genes.normalized_results	TCGA-AF-2691-11A-01R-A32Z-07
unc.edu.50d204f6-742d-4458-bf96-b39e2d692cd2.1783183.rsem.genes.normalized_results	TCGA-DY-A1DE-01A-11R-A155-07
unc.edu.51e84165-fd93-4fb5-8417-b35a2854c809.1861095.rsem.genes.normalized_results	TCGA-AG-4022-01A-01R-1736-07
unc.edu.523635dd-1fcb-4dbb-9405-2397c00b02be.1221350.rsem.genes.normalized_results	TCGA-AF-3400-11A-01R-A32Z-07
unc.edu.52a6f698-2bd3-410f-9245-b6811e31bc55.1782664.rsem.genes.normalized_results	TCGA-DY-A1DF-01A-11R-A155-07
unc.edu.537507f7-d639-44b5-8725-2390fca5f6c1.1869734.rsem.genes.normalized_results	TCGA-F5-6814-01A-31R-1928-07
unc.edu.539e8615-ff7b-455c-a13b-b26528875d8f.1899805.rsem.genes.normalized_results	TCGA-EI-6510-01A-11R-1736-07
unc.edu.56fac7d6-1dc6-4c7b-8b5c-7cb9d914d2f5.1899969.rsem.genes.normalized_results	TCGA-CI-6619-01B-11R-1830-07
unc.edu.5cc2cb55-033e-48cb-b20e-d5397820cbf8.1870566.rsem.genes.normalized_results	TCGA-AF-3911-01A-01R-1736-07
unc.edu.5cebe6df-3d34-4c61-9153-8be6fe307456.2085150.rsem.genes.normalized_results	TCGA-EI-6513-01A-21R-1736-07
unc.edu.6023f27e-7754-464c-98ec-b9f63a131f0e.1870144.rsem.genes.normalized_results	TCGA-EI-6885-01A-11R-1928-07
unc.edu.63311189-5238-4bc5-97ab-cd6128471bef.1963242.rsem.genes.normalized_results	TCGA-EI-6882-01A-11R-1928-07
unc.edu.637e7217-ec03-4a4d-892f-025908700ead.1949660.rsem.genes.normalized_results	TCGA-DY-A1DC-01A-31R-A155-07
unc.edu.674cbce1-a972-499e-b4d0-2b9aeab66a45.1900245.rsem.genes.normalized_results	TCGA-AG-4021-01A-01R-1736-07
unc.edu.6a611e83-7aae-4d07-9a09-dbb1b3e2aadf.2540084.rsem.genes.normalized_results	TCGA-AF-A56K-01A-32R-A39D-07
unc.edu.6c7dfc1d-d2a9-4e92-a3e8-884fe0413f3b.1870735.rsem.genes.normalized_results	TCGA-DC-6683-01A-11R-1830-07
unc.edu.6d3cfe9f-b39f-4ff5-a5fb-1d6cf16b7f65.1940088.rsem.genes.normalized_results	TCGA-DY-A1DD-01A-21R-A155-07
unc.edu.6edf1b77-fab6-4806-b108-dbc795d4a969.1900258.rsem.genes.normalized_results	TCGA-AG-3725-01A-11R-1736-07
unc.edu.737716a4-7b84-4049-935a-71f4496ccc97.1782714.rsem.genes.normalized_results	TCGA-DY-A0XA-01A-11R-A155-07
unc.edu.73d7f45e-37a5-494b-8a00-31fc9d310b09.1728790.rsem.genes.normalized_results	TCGA-DY-A1H8-01A-21R-A155-07
unc.edu.7737e9f0-02f1-427b-9acf-619aa5563059.2283706.rsem.genes.normalized_results	TCGA-AG-3902-01A-01R-A32Z-07
unc.edu.7beba335-8982-4dfe-8782-7ec8cbea91ed.1796451.rsem.genes.normalized_results	TCGA-DC-5337-01A-01R-1660-07
unc.edu.83020f0d-f4bc-4e38-a056-453aa00697f9.1901723.rsem.genes.normalized_results	TCGA-AG-3592-01A-02R-1736-07
unc.edu.837e257d-1e44-4241-9474-344ed7e9ce24.1870642.rsem.genes.normalized_results	TCGA-F5-6811-01A-11R-1830-07
unc.edu.84d5afcd-7c23-4fa8-8e04-2b95924cd606.2316329.rsem.genes.normalized_results	TCGA-DC-4745-01A-01R-A32Z-07
unc.edu.84dbba12-fd45-4337-9350-25d758c63141.1869528.rsem.genes.normalized_results	TCGA-F5-6864-01A-11R-1928-07
unc.edu.857a8050-0ec5-462c-ac50-e86ab82462f6.1874634.rsem.genes.normalized_results	TCGA-DT-5265-01A-21R-1830-07
unc.edu.8878d8e4-bd26-4acf-883c-b46103062bf4.1796363.rsem.genes.normalized_results	TCGA-AF-5654-11A-11R-1660-07
unc.edu.8a6ee832-1496-4016-8780-0b842b960582.1899190.rsem.genes.normalized_results	TCGA-AF-6655-01A-11R-1830-07
unc.edu.8c2e4cbf-fbe0-4812-9554-e94593eefa98.2084868.rsem.genes.normalized_results	TCGA-F5-6464-01A-11R-1736-07
unc.edu.8c338800-ae53-4bd8-a6c3-9dcdcd324db6.1870897.rsem.genes.normalized_results	TCGA-F5-6571-01A-12R-1830-07
unc.edu.8cba00ec-2a7f-4af0-bd7b-87a4d9d1cd9b.1794831.rsem.genes.normalized_results	TCGA-AG-3732-11A-01R-1660-07
unc.edu.93c82c47-e240-4684-aebc-e13ceb6ab625.1870696.rsem.genes.normalized_results	TCGA-DC-6682-01A-11R-1830-07
unc.edu.93ec9ca7-cb63-48a3-809f-6222f506fc07.1899733.rsem.genes.normalized_results	TCGA-DC-4749-01A-01R-1736-07
