filename	barcode(s)
TCGA-3B-A9HI-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3B-A9HI-01A-11R-A38N-13
TCGA-3B-A9HI-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3B-A9HI-01A-11R-A38N-13
TCGA-3B-A9HJ-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3B-A9HJ-01A-11R-A38N-13
TCGA-3B-A9HJ-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3B-A9HJ-01A-11R-A38N-13
TCGA-3B-A9HL-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3B-A9HL-01A-11R-A38N-13
TCGA-3B-A9HL-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3B-A9HL-01A-11R-A38N-13
TCGA-3B-A9HO-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3B-A9HO-01A-11R-A38N-13
TCGA-3B-A9HO-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3B-A9HO-01A-11R-A38N-13
TCGA-3B-A9HP-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3B-A9HP-01A-11R-A38N-13
TCGA-3B-A9HP-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3B-A9HP-01A-11R-A38N-13
TCGA-3B-A9HQ-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3B-A9HQ-01A-11R-A38N-13
TCGA-3B-A9HQ-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3B-A9HQ-01A-11R-A38N-13
TCGA-3B-A9HR-01A-11R-A38N-13.isoform.quantification.txt	TCGA-3B-A9HR-01A-11R-A38N-13
TCGA-3B-A9HR-01A-11R-A38N-13.mirna.quantification.txt	TCGA-3B-A9HR-01A-11R-A38N-13
TCGA-3B-A9HS-01A-11R-A39J-13.isoform.quantification.txt	TCGA-3B-A9HS-01A-11R-A39J-13
TCGA-3B-A9HS-01A-11R-A39J-13.mirna.quantification.txt	TCGA-3B-A9HS-01A-11R-A39J-13
TCGA-3B-A9HT-01A-11R-A39J-13.isoform.quantification.txt	TCGA-3B-A9HT-01A-11R-A39J-13
TCGA-3B-A9HT-01A-11R-A39J-13.mirna.quantification.txt	TCGA-3B-A9HT-01A-11R-A39J-13
