filename	barcode(s)
unc.edu.00196819-0436-454b-9a45-5c893f49cd85.2419824.junction_quantification.txt	TCGA-DX-A1L4-01A-12R-A26T-07
unc.edu.00196819-0436-454b-9a45-5c893f49cd85.2420744.rsem.genes.results	TCGA-DX-A1L4-01A-12R-A26T-07
unc.edu.00196819-0436-454b-9a45-5c893f49cd85.2420745.rsem.isoforms.results	TCGA-DX-A1L4-01A-12R-A26T-07
unc.edu.00196819-0436-454b-9a45-5c893f49cd85.2421085.rsem.genes.normalized_results	TCGA-DX-A1L4-01A-12R-A26T-07
unc.edu.00196819-0436-454b-9a45-5c893f49cd85.2421087.rsem.isoforms.normalized_results	TCGA-DX-A1L4-01A-12R-A26T-07
unc.edu.00196819-0436-454b-9a45-5c893f49cd85.2421834.bt.exon_quantification.txt	TCGA-DX-A1L4-01A-12R-A26T-07
unc.edu.02acfc6b-19d1-48fb-85be-2db09108842f.2457574.junction_quantification.txt	TCGA-DX-A8BH-01A-11R-A37L-07
unc.edu.02acfc6b-19d1-48fb-85be-2db09108842f.2462168.rsem.genes.results	TCGA-DX-A8BH-01A-11R-A37L-07
unc.edu.02acfc6b-19d1-48fb-85be-2db09108842f.2462169.rsem.isoforms.results	TCGA-DX-A8BH-01A-11R-A37L-07
unc.edu.02acfc6b-19d1-48fb-85be-2db09108842f.2462196.rsem.isoforms.normalized_results	TCGA-DX-A8BH-01A-11R-A37L-07
unc.edu.02acfc6b-19d1-48fb-85be-2db09108842f.2462197.rsem.genes.normalized_results	TCGA-DX-A8BH-01A-11R-A37L-07
unc.edu.02acfc6b-19d1-48fb-85be-2db09108842f.2462398.bt.exon_quantification.txt	TCGA-DX-A8BH-01A-11R-A37L-07
unc.edu.03ff980f-1998-40cc-b903-1bc215f4dc3f.2428763.junction_quantification.txt	TCGA-DX-A3LW-01A-21R-A21T-07
unc.edu.03ff980f-1998-40cc-b903-1bc215f4dc3f.2429163.rsem.genes.results	TCGA-DX-A3LW-01A-21R-A21T-07
unc.edu.03ff980f-1998-40cc-b903-1bc215f4dc3f.2429164.rsem.isoforms.results	TCGA-DX-A3LW-01A-21R-A21T-07
unc.edu.03ff980f-1998-40cc-b903-1bc215f4dc3f.2429182.rsem.isoforms.normalized_results	TCGA-DX-A3LW-01A-21R-A21T-07
unc.edu.03ff980f-1998-40cc-b903-1bc215f4dc3f.2429185.rsem.genes.normalized_results	TCGA-DX-A3LW-01A-21R-A21T-07
unc.edu.03ff980f-1998-40cc-b903-1bc215f4dc3f.2429211.bt.exon_quantification.txt	TCGA-DX-A3LW-01A-21R-A21T-07
unc.edu.05ad2a41-31ec-4562-8aa5-015b09ef6a8f.2424821.junction_quantification.txt	TCGA-PC-A5DM-01A-11R-A27Q-07
unc.edu.05ad2a41-31ec-4562-8aa5-015b09ef6a8f.2425295.rsem.genes.results	TCGA-PC-A5DM-01A-11R-A27Q-07
unc.edu.05ad2a41-31ec-4562-8aa5-015b09ef6a8f.2425296.rsem.isoforms.results	TCGA-PC-A5DM-01A-11R-A27Q-07
unc.edu.05ad2a41-31ec-4562-8aa5-015b09ef6a8f.2425322.rsem.genes.normalized_results	TCGA-PC-A5DM-01A-11R-A27Q-07
unc.edu.05ad2a41-31ec-4562-8aa5-015b09ef6a8f.2425323.rsem.isoforms.normalized_results	TCGA-PC-A5DM-01A-11R-A27Q-07
unc.edu.05ad2a41-31ec-4562-8aa5-015b09ef6a8f.2425465.bt.exon_quantification.txt	TCGA-PC-A5DM-01A-11R-A27Q-07
unc.edu.066228ca-f6f5-4ee2-a038-cf23d3752ff0.2429248.junction_quantification.txt	TCGA-IS-A3KA-01A-11R-A21T-07
unc.edu.066228ca-f6f5-4ee2-a038-cf23d3752ff0.2429399.rsem.genes.results	TCGA-IS-A3KA-01A-11R-A21T-07
unc.edu.066228ca-f6f5-4ee2-a038-cf23d3752ff0.2429400.rsem.isoforms.results	TCGA-IS-A3KA-01A-11R-A21T-07
unc.edu.066228ca-f6f5-4ee2-a038-cf23d3752ff0.2429413.rsem.genes.normalized_results	TCGA-IS-A3KA-01A-11R-A21T-07
unc.edu.066228ca-f6f5-4ee2-a038-cf23d3752ff0.2429414.rsem.isoforms.normalized_results	TCGA-IS-A3KA-01A-11R-A21T-07
unc.edu.066228ca-f6f5-4ee2-a038-cf23d3752ff0.2429423.bt.exon_quantification.txt	TCGA-IS-A3KA-01A-11R-A21T-07
unc.edu.06d026ba-7cf1-400d-b2e9-2858261b98be.2428153.junction_quantification.txt	TCGA-HB-A3L4-01A-11R-A21T-07
unc.edu.06d026ba-7cf1-400d-b2e9-2858261b98be.2428584.rsem.genes.results	TCGA-HB-A3L4-01A-11R-A21T-07
unc.edu.06d026ba-7cf1-400d-b2e9-2858261b98be.2428585.rsem.isoforms.results	TCGA-HB-A3L4-01A-11R-A21T-07
unc.edu.06d026ba-7cf1-400d-b2e9-2858261b98be.2428600.rsem.genes.normalized_results	TCGA-HB-A3L4-01A-11R-A21T-07
unc.edu.06d026ba-7cf1-400d-b2e9-2858261b98be.2428603.rsem.isoforms.normalized_results	TCGA-HB-A3L4-01A-11R-A21T-07
unc.edu.06d026ba-7cf1-400d-b2e9-2858261b98be.2428743.bt.exon_quantification.txt	TCGA-HB-A3L4-01A-11R-A21T-07
unc.edu.070c0595-db35-461f-b23d-b6f4ce3c46da.2532583.junction_quantification.txt	TCGA-DX-AB3B-01A-11R-A41I-07
unc.edu.070c0595-db35-461f-b23d-b6f4ce3c46da.2533394.rsem.genes.results	TCGA-DX-AB3B-01A-11R-A41I-07
unc.edu.070c0595-db35-461f-b23d-b6f4ce3c46da.2533395.rsem.isoforms.results	TCGA-DX-AB3B-01A-11R-A41I-07
unc.edu.070c0595-db35-461f-b23d-b6f4ce3c46da.2533448.rsem.genes.normalized_results	TCGA-DX-AB3B-01A-11R-A41I-07
unc.edu.070c0595-db35-461f-b23d-b6f4ce3c46da.2533449.rsem.isoforms.normalized_results	TCGA-DX-AB3B-01A-11R-A41I-07
unc.edu.070c0595-db35-461f-b23d-b6f4ce3c46da.2533631.bt.exon_quantification.txt	TCGA-DX-AB3B-01A-11R-A41I-07
unc.edu.07be67fc-a717-4e8a-8fd2-0c5d9d467fcc.2414662.junction_quantification.txt	TCGA-X6-A7WC-01A-12R-A355-07
unc.edu.07be67fc-a717-4e8a-8fd2-0c5d9d467fcc.2415590.rsem.genes.results	TCGA-X6-A7WC-01A-12R-A355-07
unc.edu.07be67fc-a717-4e8a-8fd2-0c5d9d467fcc.2415591.rsem.isoforms.results	TCGA-X6-A7WC-01A-12R-A355-07
