filename	barcode(s)
TCGA-3N-A9WC-06A-11R-A38N-13.isoform.quantification.txt	TCGA-3N-A9WC-06A-11R-A38N-13
TCGA-3N-A9WC-06A-11R-A38N-13.mirna.quantification.txt	TCGA-3N-A9WC-06A-11R-A38N-13
TCGA-3N-A9WD-06A-11R-A38N-13.isoform.quantification.txt	TCGA-3N-A9WD-06A-11R-A38N-13
TCGA-3N-A9WD-06A-11R-A38N-13.mirna.quantification.txt	TCGA-3N-A9WD-06A-11R-A38N-13
TCGA-BF-A1PU-01A-11R-A18V-13.isoform.quantification.txt	TCGA-BF-A1PU-01A-11R-A18V-13
TCGA-BF-A1PU-01A-11R-A18V-13.mirna.quantification.txt	TCGA-BF-A1PU-01A-11R-A18V-13
TCGA-BF-A1PV-01A-11R-A18X-13.isoform.quantification.txt	TCGA-BF-A1PV-01A-11R-A18X-13
TCGA-BF-A1PV-01A-11R-A18X-13.mirna.quantification.txt	TCGA-BF-A1PV-01A-11R-A18X-13
TCGA-BF-A1PX-01A-12R-A18W-13.isoform.quantification.txt	TCGA-BF-A1PX-01A-12R-A18W-13
TCGA-BF-A1PX-01A-12R-A18W-13.mirna.quantification.txt	TCGA-BF-A1PX-01A-12R-A18W-13
TCGA-BF-A1PZ-01A-11R-A18V-13.isoform.quantification.txt	TCGA-BF-A1PZ-01A-11R-A18V-13
TCGA-BF-A1PZ-01A-11R-A18V-13.mirna.quantification.txt	TCGA-BF-A1PZ-01A-11R-A18V-13
TCGA-BF-A1Q0-01A-21R-A18V-13.isoform.quantification.txt	TCGA-BF-A1Q0-01A-21R-A18V-13
TCGA-BF-A1Q0-01A-21R-A18V-13.mirna.quantification.txt	TCGA-BF-A1Q0-01A-21R-A18V-13
TCGA-BF-A3DJ-01A-11R-A20E-13.isoform.quantification.txt	TCGA-BF-A3DJ-01A-11R-A20E-13
TCGA-BF-A3DJ-01A-11R-A20E-13.mirna.quantification.txt	TCGA-BF-A3DJ-01A-11R-A20E-13
TCGA-BF-A3DL-01A-11R-A20E-13.isoform.quantification.txt	TCGA-BF-A3DL-01A-11R-A20E-13
TCGA-BF-A3DL-01A-11R-A20E-13.mirna.quantification.txt	TCGA-BF-A3DL-01A-11R-A20E-13
TCGA-BF-A3DM-01A-11R-A20E-13.isoform.quantification.txt	TCGA-BF-A3DM-01A-11R-A20E-13
TCGA-BF-A3DM-01A-11R-A20E-13.mirna.quantification.txt	TCGA-BF-A3DM-01A-11R-A20E-13
TCGA-BF-A3DN-01A-11R-A20E-13.isoform.quantification.txt	TCGA-BF-A3DN-01A-11R-A20E-13
TCGA-BF-A3DN-01A-11R-A20E-13.mirna.quantification.txt	TCGA-BF-A3DN-01A-11R-A20E-13
TCGA-BF-A5EP-01A-12R-A27U-13.isoform.quantification.txt	TCGA-BF-A5EP-01A-12R-A27U-13
TCGA-BF-A5EP-01A-12R-A27U-13.mirna.quantification.txt	TCGA-BF-A5EP-01A-12R-A27U-13
TCGA-BF-A5EQ-01A-21R-A27U-13.isoform.quantification.txt	TCGA-BF-A5EQ-01A-21R-A27U-13
TCGA-BF-A5EQ-01A-21R-A27U-13.mirna.quantification.txt	TCGA-BF-A5EQ-01A-21R-A27U-13
TCGA-BF-A5ER-01A-12R-A27U-13.isoform.quantification.txt	TCGA-BF-A5ER-01A-12R-A27U-13
TCGA-BF-A5ER-01A-12R-A27U-13.mirna.quantification.txt	TCGA-BF-A5ER-01A-12R-A27U-13
TCGA-BF-A5ES-01A-11R-A27U-13.isoform.quantification.txt	TCGA-BF-A5ES-01A-11R-A27U-13
TCGA-BF-A5ES-01A-11R-A27U-13.mirna.quantification.txt	TCGA-BF-A5ES-01A-11R-A27U-13
TCGA-BF-A9VF-01A-11R-A37G-13.isoform.quantification.txt	TCGA-BF-A9VF-01A-11R-A37G-13
TCGA-BF-A9VF-01A-11R-A37G-13.mirna.quantification.txt	TCGA-BF-A9VF-01A-11R-A37G-13
TCGA-BF-AAOU-01A-12R-A39J-13.isoform.quantification.txt	TCGA-BF-AAOU-01A-12R-A39J-13
TCGA-BF-AAOU-01A-12R-A39J-13.mirna.quantification.txt	TCGA-BF-AAOU-01A-12R-A39J-13
TCGA-BF-AAOX-01A-11R-A39J-13.isoform.quantification.txt	TCGA-BF-AAOX-01A-11R-A39J-13
TCGA-BF-AAOX-01A-11R-A39J-13.mirna.quantification.txt	TCGA-BF-AAOX-01A-11R-A39J-13
TCGA-BF-AAP0-06A-11R-A39J-13.isoform.quantification.txt	TCGA-BF-AAP0-06A-11R-A39J-13
TCGA-BF-AAP0-06A-11R-A39J-13.mirna.quantification.txt	TCGA-BF-AAP0-06A-11R-A39J-13
TCGA-BF-AAP1-01A-11R-A39J-13.isoform.quantification.txt	TCGA-BF-AAP1-01A-11R-A39J-13
TCGA-BF-AAP1-01A-11R-A39J-13.mirna.quantification.txt	TCGA-BF-AAP1-01A-11R-A39J-13
