filename	barcode(s)
unc.edu.00624286-41dd-476f-a63b-d2a5f484bb45.2248419.junction_quantification.txt	TCGA-GN-A4U7-06A-21R-A32P-07
unc.edu.00624286-41dd-476f-a63b-d2a5f484bb45.2250155.rsem.genes.results	TCGA-GN-A4U7-06A-21R-A32P-07
unc.edu.00624286-41dd-476f-a63b-d2a5f484bb45.2250156.rsem.isoforms.results	TCGA-GN-A4U7-06A-21R-A32P-07
unc.edu.00624286-41dd-476f-a63b-d2a5f484bb45.2250168.rsem.genes.normalized_results	TCGA-GN-A4U7-06A-21R-A32P-07
unc.edu.00624286-41dd-476f-a63b-d2a5f484bb45.2250169.rsem.isoforms.normalized_results	TCGA-GN-A4U7-06A-21R-A32P-07
unc.edu.00624286-41dd-476f-a63b-d2a5f484bb45.2250312.bt.exon_quantification.txt	TCGA-GN-A4U7-06A-21R-A32P-07
unc.edu.01c6644f-c721-4f5e-afbc-c220218941d8.2553409.junction_quantification.txt	TCGA-W3-AA1V-06B-11R-A40A-07
unc.edu.01c6644f-c721-4f5e-afbc-c220218941d8.2557685.rsem.genes.results	TCGA-W3-AA1V-06B-11R-A40A-07
unc.edu.01c6644f-c721-4f5e-afbc-c220218941d8.2557686.rsem.isoforms.results	TCGA-W3-AA1V-06B-11R-A40A-07
unc.edu.01c6644f-c721-4f5e-afbc-c220218941d8.2557713.rsem.isoforms.normalized_results	TCGA-W3-AA1V-06B-11R-A40A-07
unc.edu.01c6644f-c721-4f5e-afbc-c220218941d8.2557714.rsem.genes.normalized_results	TCGA-W3-AA1V-06B-11R-A40A-07
unc.edu.01c6644f-c721-4f5e-afbc-c220218941d8.2557960.bt.exon_quantification.txt	TCGA-W3-AA1V-06B-11R-A40A-07
unc.edu.020f448b-0242-4ff7-912a-4598d0b49055.1209287.junction_quantification.txt	TCGA-FS-A1Z0-06A-11R-A18T-07
unc.edu.020f448b-0242-4ff7-912a-4598d0b49055.1211973.rsem.genes.results	TCGA-FS-A1Z0-06A-11R-A18T-07
unc.edu.020f448b-0242-4ff7-912a-4598d0b49055.1211974.rsem.isoforms.results	TCGA-FS-A1Z0-06A-11R-A18T-07
unc.edu.020f448b-0242-4ff7-912a-4598d0b49055.1211993.rsem.genes.normalized_results	TCGA-FS-A1Z0-06A-11R-A18T-07
unc.edu.020f448b-0242-4ff7-912a-4598d0b49055.1211994.rsem.isoforms.normalized_results	TCGA-FS-A1Z0-06A-11R-A18T-07
unc.edu.020f448b-0242-4ff7-912a-4598d0b49055.1758890.bt.exon_quantification.txt	TCGA-FS-A1Z0-06A-11R-A18T-07
unc.edu.02486980-eb4f-4930-ba27-356e346929b6.1676665.junction_quantification.txt	TCGA-D9-A3Z1-06A-11R-A239-07
unc.edu.02486980-eb4f-4930-ba27-356e346929b6.1677015.rsem.genes.results	TCGA-D9-A3Z1-06A-11R-A239-07
unc.edu.02486980-eb4f-4930-ba27-356e346929b6.1677016.rsem.isoforms.results	TCGA-D9-A3Z1-06A-11R-A239-07
unc.edu.02486980-eb4f-4930-ba27-356e346929b6.1677030.rsem.genes.normalized_results	TCGA-D9-A3Z1-06A-11R-A239-07
unc.edu.02486980-eb4f-4930-ba27-356e346929b6.1677031.rsem.isoforms.normalized_results	TCGA-D9-A3Z1-06A-11R-A239-07
unc.edu.02486980-eb4f-4930-ba27-356e346929b6.1749519.bt.exon_quantification.txt	TCGA-D9-A3Z1-06A-11R-A239-07
unc.edu.024d98cb-3e52-4b3e-a07b-aefdee10e571.2431330.junction_quantification.txt	TCGA-WE-A8ZX-06A-11R-A37K-07
unc.edu.024d98cb-3e52-4b3e-a07b-aefdee10e571.2431801.rsem.genes.results	TCGA-WE-A8ZX-06A-11R-A37K-07
unc.edu.024d98cb-3e52-4b3e-a07b-aefdee10e571.2431802.rsem.isoforms.results	TCGA-WE-A8ZX-06A-11R-A37K-07
unc.edu.024d98cb-3e52-4b3e-a07b-aefdee10e571.2431821.rsem.genes.normalized_results	TCGA-WE-A8ZX-06A-11R-A37K-07
unc.edu.024d98cb-3e52-4b3e-a07b-aefdee10e571.2431822.rsem.isoforms.normalized_results	TCGA-WE-A8ZX-06A-11R-A37K-07
unc.edu.024d98cb-3e52-4b3e-a07b-aefdee10e571.2431889.bt.exon_quantification.txt	TCGA-WE-A8ZX-06A-11R-A37K-07
unc.edu.02c76d24-f1d2-4029-95b4-8be3bda8fdbe.2250882.junction_quantification.txt	TCGA-EB-A5VV-06A-11R-A32P-07
unc.edu.02c76d24-f1d2-4029-95b4-8be3bda8fdbe.2251088.rsem.genes.results	TCGA-EB-A5VV-06A-11R-A32P-07
unc.edu.02c76d24-f1d2-4029-95b4-8be3bda8fdbe.2251089.rsem.isoforms.results	TCGA-EB-A5VV-06A-11R-A32P-07
unc.edu.02c76d24-f1d2-4029-95b4-8be3bda8fdbe.2251101.rsem.genes.normalized_results	TCGA-EB-A5VV-06A-11R-A32P-07
unc.edu.02c76d24-f1d2-4029-95b4-8be3bda8fdbe.2251102.rsem.isoforms.normalized_results	TCGA-EB-A5VV-06A-11R-A32P-07
unc.edu.02c76d24-f1d2-4029-95b4-8be3bda8fdbe.2251151.bt.exon_quantification.txt	TCGA-EB-A5VV-06A-11R-A32P-07
unc.edu.035590dc-c5f6-461e-9160-b4e2b6faea29.1981077.junction_quantification.txt	TCGA-EB-A51B-01A-11R-A27Q-07
unc.edu.035590dc-c5f6-461e-9160-b4e2b6faea29.1981929.rsem.genes.results	TCGA-EB-A51B-01A-11R-A27Q-07
unc.edu.035590dc-c5f6-461e-9160-b4e2b6faea29.1981930.rsem.isoforms.results	TCGA-EB-A51B-01A-11R-A27Q-07
unc.edu.035590dc-c5f6-461e-9160-b4e2b6faea29.1981953.rsem.isoforms.normalized_results	TCGA-EB-A51B-01A-11R-A27Q-07
unc.edu.035590dc-c5f6-461e-9160-b4e2b6faea29.1981954.rsem.genes.normalized_results	TCGA-EB-A51B-01A-11R-A27Q-07
unc.edu.035590dc-c5f6-461e-9160-b4e2b6faea29.1982024.bt.exon_quantification.txt	TCGA-EB-A51B-01A-11R-A27Q-07
unc.edu.03903d4c-2420-49e3-bdb0-8e452333af62.1240267.junction_quantification.txt	TCGA-D3-A1Q3-06A-11R-A18T-07
unc.edu.03903d4c-2420-49e3-bdb0-8e452333af62.1250862.rsem.genes.results	TCGA-D3-A1Q3-06A-11R-A18T-07
unc.edu.03903d4c-2420-49e3-bdb0-8e452333af62.1250863.rsem.isoforms.results	TCGA-D3-A1Q3-06A-11R-A18T-07
unc.edu.03903d4c-2420-49e3-bdb0-8e452333af62.1251128.rsem.isoforms.normalized_results	TCGA-D3-A1Q3-06A-11R-A18T-07
unc.edu.03903d4c-2420-49e3-bdb0-8e452333af62.1251137.rsem.genes.normalized_results	TCGA-D3-A1Q3-06A-11R-A18T-07
unc.edu.03903d4c-2420-49e3-bdb0-8e452333af62.1758933.bt.exon_quantification.txt	TCGA-D3-A1Q3-06A-11R-A18T-07
unc.edu.03a38948-5a2d-4451-8103-12f6e0cf4984.1860061.junction_quantification.txt	TCGA-FR-A44A-06A-11R-A24X-07
unc.edu.03a38948-5a2d-4451-8103-12f6e0cf4984.1861047.rsem.genes.results	TCGA-FR-A44A-06A-11R-A24X-07
unc.edu.03a38948-5a2d-4451-8103-12f6e0cf4984.1861048.rsem.isoforms.results	TCGA-FR-A44A-06A-11R-A24X-07
unc.edu.03a38948-5a2d-4451-8103-12f6e0cf4984.1861065.rsem.genes.normalized_results	TCGA-FR-A44A-06A-11R-A24X-07
unc.edu.03a38948-5a2d-4451-8103-12f6e0cf4984.1861066.rsem.isoforms.normalized_results	TCGA-FR-A44A-06A-11R-A24X-07
unc.edu.03a38948-5a2d-4451-8103-12f6e0cf4984.1861309.bt.exon_quantification.txt	TCGA-FR-A44A-06A-11R-A24X-07
