filename	barcode(s)
unc.edu.005b4e63-e063-4c90-8a19-d1cbff0b7a04.2698891.junction_quantification.txt	TCGA-D7-6521-01A-11R-1802-13
unc.edu.005b4e63-e063-4c90-8a19-d1cbff0b7a04.2699499.rsem.genes.results	TCGA-D7-6521-01A-11R-1802-13
unc.edu.005b4e63-e063-4c90-8a19-d1cbff0b7a04.2699500.rsem.isoforms.results	TCGA-D7-6521-01A-11R-1802-13
unc.edu.005b4e63-e063-4c90-8a19-d1cbff0b7a04.2699586.rsem.genes.normalized_results	TCGA-D7-6521-01A-11R-1802-13
unc.edu.005b4e63-e063-4c90-8a19-d1cbff0b7a04.2699589.rsem.isoforms.normalized_results	TCGA-D7-6521-01A-11R-1802-13
unc.edu.005b4e63-e063-4c90-8a19-d1cbff0b7a04.2699645.bt.exon_quantification.txt	TCGA-D7-6521-01A-11R-1802-13
unc.edu.019f1194-1c08-4f78-adf5-a08f33d967aa.2712217.junction_quantification.txt	TCGA-VQ-A91K-01A-11R-A414-31
unc.edu.019f1194-1c08-4f78-adf5-a08f33d967aa.2712447.rsem.genes.results	TCGA-VQ-A91K-01A-11R-A414-31
unc.edu.019f1194-1c08-4f78-adf5-a08f33d967aa.2712448.rsem.isoforms.results	TCGA-VQ-A91K-01A-11R-A414-31
unc.edu.019f1194-1c08-4f78-adf5-a08f33d967aa.2712460.rsem.genes.normalized_results	TCGA-VQ-A91K-01A-11R-A414-31
unc.edu.019f1194-1c08-4f78-adf5-a08f33d967aa.2712461.rsem.isoforms.normalized_results	TCGA-VQ-A91K-01A-11R-A414-31
unc.edu.019f1194-1c08-4f78-adf5-a08f33d967aa.2712480.bt.exon_quantification.txt	TCGA-VQ-A91K-01A-11R-A414-31
unc.edu.03ece93c-67f7-42b9-942f-653583ca3bee.2699237.junction_quantification.txt	TCGA-CG-4462-01A-01R-1157-13
unc.edu.03ece93c-67f7-42b9-942f-653583ca3bee.2699758.rsem.genes.results	TCGA-CG-4462-01A-01R-1157-13
unc.edu.03ece93c-67f7-42b9-942f-653583ca3bee.2699759.rsem.isoforms.results	TCGA-CG-4462-01A-01R-1157-13
unc.edu.03ece93c-67f7-42b9-942f-653583ca3bee.2699777.rsem.genes.normalized_results	TCGA-CG-4462-01A-01R-1157-13
unc.edu.03ece93c-67f7-42b9-942f-653583ca3bee.2699780.rsem.isoforms.normalized_results	TCGA-CG-4462-01A-01R-1157-13
unc.edu.03ece93c-67f7-42b9-942f-653583ca3bee.2699823.bt.exon_quantification.txt	TCGA-CG-4462-01A-01R-1157-13
unc.edu.04c93226-fea0-483a-babf-da36d34f44bd.2699576.junction_quantification.txt	TCGA-FP-7735-11A-01R-2055-13
unc.edu.04c93226-fea0-483a-babf-da36d34f44bd.2700324.rsem.genes.results	TCGA-FP-7735-11A-01R-2055-13
unc.edu.04c93226-fea0-483a-babf-da36d34f44bd.2700325.rsem.isoforms.results	TCGA-FP-7735-11A-01R-2055-13
unc.edu.04c93226-fea0-483a-babf-da36d34f44bd.2700340.rsem.isoforms.normalized_results	TCGA-FP-7735-11A-01R-2055-13
unc.edu.04c93226-fea0-483a-babf-da36d34f44bd.2700343.rsem.genes.normalized_results	TCGA-FP-7735-11A-01R-2055-13
unc.edu.04c93226-fea0-483a-babf-da36d34f44bd.2700455.bt.exon_quantification.txt	TCGA-FP-7735-11A-01R-2055-13
unc.edu.0561fb66-fe14-45cc-aeea-0e7e2955cc81.2699109.junction_quantification.txt	TCGA-D7-6519-01A-11R-1802-13
unc.edu.0561fb66-fe14-45cc-aeea-0e7e2955cc81.2699592.rsem.genes.results	TCGA-D7-6519-01A-11R-1802-13
unc.edu.0561fb66-fe14-45cc-aeea-0e7e2955cc81.2699593.rsem.isoforms.results	TCGA-D7-6519-01A-11R-1802-13
unc.edu.0561fb66-fe14-45cc-aeea-0e7e2955cc81.2699632.rsem.genes.normalized_results	TCGA-D7-6519-01A-11R-1802-13
unc.edu.0561fb66-fe14-45cc-aeea-0e7e2955cc81.2699636.rsem.isoforms.normalized_results	TCGA-D7-6519-01A-11R-1802-13
unc.edu.0561fb66-fe14-45cc-aeea-0e7e2955cc81.2699753.bt.exon_quantification.txt	TCGA-D7-6519-01A-11R-1802-13
unc.edu.05a438e3-f71c-477a-9904-dd21fe804eaa.2699558.junction_quantification.txt	TCGA-HU-A4GN-01A-11R-A251-31
unc.edu.05a438e3-f71c-477a-9904-dd21fe804eaa.2700636.rsem.genes.results	TCGA-HU-A4GN-01A-11R-A251-31
unc.edu.05a438e3-f71c-477a-9904-dd21fe804eaa.2700637.rsem.isoforms.results	TCGA-HU-A4GN-01A-11R-A251-31
unc.edu.05a438e3-f71c-477a-9904-dd21fe804eaa.2700649.rsem.genes.normalized_results	TCGA-HU-A4GN-01A-11R-A251-31
unc.edu.05a438e3-f71c-477a-9904-dd21fe804eaa.2700650.rsem.isoforms.normalized_results	TCGA-HU-A4GN-01A-11R-A251-31
unc.edu.05a438e3-f71c-477a-9904-dd21fe804eaa.2700718.bt.exon_quantification.txt	TCGA-HU-A4GN-01A-11R-A251-31
unc.edu.06b5f940-c53d-45bb-973c-dfea676564ed.2712251.junction_quantification.txt	TCGA-IN-A6RS-01A-12R-A354-31
unc.edu.06b5f940-c53d-45bb-973c-dfea676564ed.2712428.rsem.genes.results	TCGA-IN-A6RS-01A-12R-A354-31
unc.edu.06b5f940-c53d-45bb-973c-dfea676564ed.2712429.rsem.isoforms.results	TCGA-IN-A6RS-01A-12R-A354-31
unc.edu.06b5f940-c53d-45bb-973c-dfea676564ed.2712439.rsem.isoforms.normalized_results	TCGA-IN-A6RS-01A-12R-A354-31
unc.edu.06b5f940-c53d-45bb-973c-dfea676564ed.2712442.rsem.genes.normalized_results	TCGA-IN-A6RS-01A-12R-A354-31
