filename	barcode(s)
TCGA-2E-A9G8-01A-11R-A404-13.isoform.quantification.txt	TCGA-2E-A9G8-01A-11R-A404-13
TCGA-2E-A9G8-01A-11R-A404-13.mirna.quantification.txt	TCGA-2E-A9G8-01A-11R-A404-13
TCGA-4E-A92E-01A-11R-A37P-13.isoform.quantification.txt	TCGA-4E-A92E-01A-11R-A37P-13
TCGA-4E-A92E-01A-11R-A37P-13.mirna.quantification.txt	TCGA-4E-A92E-01A-11R-A37P-13
TCGA-5B-A90C-01A-11R-A37P-13.isoform.quantification.txt	TCGA-5B-A90C-01A-11R-A37P-13
TCGA-5B-A90C-01A-11R-A37P-13.mirna.quantification.txt	TCGA-5B-A90C-01A-11R-A37P-13
TCGA-5S-A9Q8-01A-11R-A404-13.isoform.quantification.txt	TCGA-5S-A9Q8-01A-11R-A404-13
TCGA-5S-A9Q8-01A-11R-A404-13.mirna.quantification.txt	TCGA-5S-A9Q8-01A-11R-A404-13
TCGA-A5-A0G1-01A-11R-A119-13.isoform.quantification.txt	TCGA-A5-A0G1-01A-11R-A119-13
TCGA-A5-A0G1-01A-11R-A119-13.mirna.quantification.txt	TCGA-A5-A0G1-01A-11R-A119-13
TCGA-A5-A0GB-01A-11R-A041-13.isoform.quantification.txt	TCGA-A5-A0GB-01A-11R-A041-13
TCGA-A5-A0GB-01A-11R-A041-13.mirna.quantification.txt	TCGA-A5-A0GB-01A-11R-A041-13
TCGA-A5-A0GG-01A-11R-A119-13.isoform.quantification.txt	TCGA-A5-A0GG-01A-11R-A119-13
TCGA-A5-A0GG-01A-11R-A119-13.mirna.quantification.txt	TCGA-A5-A0GG-01A-11R-A119-13
TCGA-A5-A0GN-01A-11R-A041-13.isoform.quantification.txt	TCGA-A5-A0GN-01A-11R-A041-13
TCGA-A5-A0GN-01A-11R-A041-13.mirna.quantification.txt	TCGA-A5-A0GN-01A-11R-A041-13
TCGA-A5-A0GQ-01A-11R-A119-13.isoform.quantification.txt	TCGA-A5-A0GQ-01A-11R-A119-13
TCGA-A5-A0GQ-01A-11R-A119-13.mirna.quantification.txt	TCGA-A5-A0GQ-01A-11R-A119-13
TCGA-A5-A0GR-01A-11R-A119-13.isoform.quantification.txt	TCGA-A5-A0GR-01A-11R-A119-13
TCGA-A5-A0GR-01A-11R-A119-13.mirna.quantification.txt	TCGA-A5-A0GR-01A-11R-A119-13
TCGA-A5-A1OF-01A-11R-A14C-13.isoform.quantification.txt	TCGA-A5-A1OF-01A-11R-A14C-13
TCGA-A5-A1OF-01A-11R-A14C-13.mirna.quantification.txt	TCGA-A5-A1OF-01A-11R-A14C-13
TCGA-A5-A1OG-01A-11R-A14C-13.isoform.quantification.txt	TCGA-A5-A1OG-01A-11R-A14C-13
TCGA-A5-A1OG-01A-11R-A14C-13.mirna.quantification.txt	TCGA-A5-A1OG-01A-11R-A14C-13
TCGA-A5-A1OH-01A-21R-A22I-13.isoform.quantification.txt	TCGA-A5-A1OH-01A-21R-A22I-13
TCGA-A5-A1OH-01A-21R-A22I-13.mirna.quantification.txt	TCGA-A5-A1OH-01A-21R-A22I-13
TCGA-A5-A1OJ-01A-11R-A14C-13.isoform.quantification.txt	TCGA-A5-A1OJ-01A-11R-A14C-13
TCGA-A5-A1OJ-01A-11R-A14C-13.mirna.quantification.txt	TCGA-A5-A1OJ-01A-11R-A14C-13
TCGA-A5-A1OK-01A-11R-A14L-13.isoform.quantification.txt	TCGA-A5-A1OK-01A-11R-A14L-13
TCGA-A5-A1OK-01A-11R-A14L-13.mirna.quantification.txt	TCGA-A5-A1OK-01A-11R-A14L-13
TCGA-A5-A2K2-01A-11R-A18L-13.isoform.quantification.txt	TCGA-A5-A2K2-01A-11R-A18L-13
TCGA-A5-A2K2-01A-11R-A18L-13.mirna.quantification.txt	TCGA-A5-A2K2-01A-11R-A18L-13
TCGA-A5-A2K3-01A-11R-A17X-13.isoform.quantification.txt	TCGA-A5-A2K3-01A-11R-A17X-13
TCGA-A5-A2K3-01A-11R-A17X-13.mirna.quantification.txt	TCGA-A5-A2K3-01A-11R-A17X-13
TCGA-A5-A2K4-01A-11R-A18L-13.isoform.quantification.txt	TCGA-A5-A2K4-01A-11R-A18L-13
TCGA-A5-A2K4-01A-11R-A18L-13.mirna.quantification.txt	TCGA-A5-A2K4-01A-11R-A18L-13
TCGA-A5-A2K5-01A-11R-A17X-13.isoform.quantification.txt	TCGA-A5-A2K5-01A-11R-A17X-13
TCGA-A5-A2K5-01A-11R-A17X-13.mirna.quantification.txt	TCGA-A5-A2K5-01A-11R-A17X-13
TCGA-A5-A2K7-01A-11R-A17X-13.isoform.quantification.txt	TCGA-A5-A2K7-01A-11R-A17X-13
TCGA-A5-A2K7-01A-11R-A17X-13.mirna.quantification.txt	TCGA-A5-A2K7-01A-11R-A17X-13
TCGA-A5-A3LO-01A-11R-A22I-13.isoform.quantification.txt	TCGA-A5-A3LO-01A-11R-A22I-13
TCGA-A5-A3LO-01A-11R-A22I-13.mirna.quantification.txt	TCGA-A5-A3LO-01A-11R-A22I-13
TCGA-A5-A3LP-01A-11R-A22I-13.isoform.quantification.txt	TCGA-A5-A3LP-01A-11R-A22I-13
TCGA-A5-A3LP-01A-11R-A22I-13.mirna.quantification.txt	TCGA-A5-A3LP-01A-11R-A22I-13
TCGA-A5-A7WJ-01A-12R-A34O-13.isoform.quantification.txt	TCGA-A5-A7WJ-01A-12R-A34O-13
TCGA-A5-A7WJ-01A-12R-A34O-13.mirna.quantification.txt	TCGA-A5-A7WJ-01A-12R-A34O-13
TCGA-A5-A7WK-01A-11R-A34O-13.isoform.quantification.txt	TCGA-A5-A7WK-01A-11R-A34O-13
TCGA-A5-A7WK-01A-11R-A34O-13.mirna.quantification.txt	TCGA-A5-A7WK-01A-11R-A34O-13
TCGA-A5-AB3J-01A-11R-A404-13.isoform.quantification.txt	TCGA-A5-AB3J-01A-11R-A404-13
TCGA-A5-AB3J-01A-11R-A404-13.mirna.quantification.txt	TCGA-A5-AB3J-01A-11R-A404-13
TCGA-AJ-A23M-01A-11R-A156-13.isoform.quantification.txt	TCGA-AJ-A23M-01A-11R-A156-13
TCGA-AJ-A23M-01A-11R-A156-13.mirna.quantification.txt	TCGA-AJ-A23M-01A-11R-A156-13
TCGA-AJ-A23N-01A-11R-A22I-13.isoform.quantification.txt	TCGA-AJ-A23N-01A-11R-A22I-13
TCGA-AJ-A23N-01A-11R-A22I-13.mirna.quantification.txt	TCGA-AJ-A23N-01A-11R-A22I-13
TCGA-AJ-A23O-01A-11R-A156-13.isoform.quantification.txt	TCGA-AJ-A23O-01A-11R-A156-13
TCGA-AJ-A23O-01A-11R-A156-13.mirna.quantification.txt	TCGA-AJ-A23O-01A-11R-A156-13
TCGA-AJ-A2QK-01A-11R-A18L-13.isoform.quantification.txt	TCGA-AJ-A2QK-01A-11R-A18L-13
TCGA-AJ-A2QK-01A-11R-A18L-13.mirna.quantification.txt	TCGA-AJ-A2QK-01A-11R-A18L-13
TCGA-AJ-A2QL-01A-11R-A18L-13.isoform.quantification.txt	TCGA-AJ-A2QL-01A-11R-A18L-13
TCGA-AJ-A2QL-01A-11R-A18L-13.mirna.quantification.txt	TCGA-AJ-A2QL-01A-11R-A18L-13
TCGA-AJ-A2QL-11A-11R-A18L-13.isoform.quantification.txt	TCGA-AJ-A2QL-11A-11R-A18L-13
TCGA-AJ-A2QL-11A-11R-A18L-13.mirna.quantification.txt	TCGA-AJ-A2QL-11A-11R-A18L-13
TCGA-AJ-A2QM-01A-11R-A18L-13.isoform.quantification.txt	TCGA-AJ-A2QM-01A-11R-A18L-13
TCGA-AJ-A2QM-01A-11R-A18L-13.mirna.quantification.txt	TCGA-AJ-A2QM-01A-11R-A18L-13
TCGA-AJ-A2QN-01A-11R-A18L-13.isoform.quantification.txt	TCGA-AJ-A2QN-01A-11R-A18L-13
TCGA-AJ-A2QN-01A-11R-A18L-13.mirna.quantification.txt	TCGA-AJ-A2QN-01A-11R-A18L-13
TCGA-AJ-A2QO-01A-11R-A18L-13.isoform.quantification.txt	TCGA-AJ-A2QO-01A-11R-A18L-13
TCGA-AJ-A2QO-01A-11R-A18L-13.mirna.quantification.txt	TCGA-AJ-A2QO-01A-11R-A18L-13
TCGA-AJ-A3BD-01A-11R-A19V-13.isoform.quantification.txt	TCGA-AJ-A3BD-01A-11R-A19V-13
TCGA-AJ-A3BD-01A-11R-A19V-13.mirna.quantification.txt	TCGA-AJ-A3BD-01A-11R-A19V-13
TCGA-AJ-A3BF-01A-11R-A214-13.isoform.quantification.txt	TCGA-AJ-A3BF-01A-11R-A214-13
TCGA-AJ-A3BF-01A-11R-A214-13.mirna.quantification.txt	TCGA-AJ-A3BF-01A-11R-A214-13
TCGA-AJ-A3BG-01A-11R-A19V-13.isoform.quantification.txt	TCGA-AJ-A3BG-01A-11R-A19V-13
TCGA-AJ-A3BG-01A-11R-A19V-13.mirna.quantification.txt	TCGA-AJ-A3BG-01A-11R-A19V-13
TCGA-AJ-A3BH-01A-11R-A19V-13.isoform.quantification.txt	TCGA-AJ-A3BH-01A-11R-A19V-13
TCGA-AJ-A3BH-01A-11R-A19V-13.mirna.quantification.txt	TCGA-AJ-A3BH-01A-11R-A19V-13
TCGA-AJ-A3BI-01A-11R-A214-13.isoform.quantification.txt	TCGA-AJ-A3BI-01A-11R-A214-13
TCGA-AJ-A3BI-01A-11R-A214-13.mirna.quantification.txt	TCGA-AJ-A3BI-01A-11R-A214-13
TCGA-AJ-A3BK-01A-11R-A19V-13.isoform.quantification.txt	TCGA-AJ-A3BK-01A-11R-A19V-13
TCGA-AJ-A3BK-01A-11R-A19V-13.mirna.quantification.txt	TCGA-AJ-A3BK-01A-11R-A19V-13
TCGA-AJ-A3EJ-01A-11R-A19V-13.isoform.quantification.txt	TCGA-AJ-A3EJ-01A-11R-A19V-13
TCGA-AJ-A3EJ-01A-11R-A19V-13.mirna.quantification.txt	TCGA-AJ-A3EJ-01A-11R-A19V-13
TCGA-AJ-A3EK-01A-11R-A19V-13.isoform.quantification.txt	TCGA-AJ-A3EK-01A-11R-A19V-13
TCGA-AJ-A3EK-01A-11R-A19V-13.mirna.quantification.txt	TCGA-AJ-A3EK-01A-11R-A19V-13
TCGA-AJ-A3EL-01A-11R-A214-13.isoform.quantification.txt	TCGA-AJ-A3EL-01A-11R-A214-13
TCGA-AJ-A3EL-01A-11R-A214-13.mirna.quantification.txt	TCGA-AJ-A3EL-01A-11R-A214-13
TCGA-AJ-A3EM-01A-11R-A214-13.isoform.quantification.txt	TCGA-AJ-A3EM-01A-11R-A214-13
TCGA-AJ-A3EM-01A-11R-A214-13.mirna.quantification.txt	TCGA-AJ-A3EM-01A-11R-A214-13
TCGA-AJ-A3I9-01A-11R-A22I-13.isoform.quantification.txt	TCGA-AJ-A3I9-01A-11R-A22I-13
TCGA-AJ-A3I9-01A-11R-A22I-13.mirna.quantification.txt	TCGA-AJ-A3I9-01A-11R-A22I-13
TCGA-AJ-A3IA-01A-11R-A214-13.isoform.quantification.txt	TCGA-AJ-A3IA-01A-11R-A214-13
TCGA-AJ-A3IA-01A-11R-A214-13.mirna.quantification.txt	TCGA-AJ-A3IA-01A-11R-A214-13
TCGA-AJ-A3NC-01A-11R-A22I-13.isoform.quantification.txt	TCGA-AJ-A3NC-01A-11R-A22I-13
