filename	barcode(s)
unc.edu.00186124-cecf-4580-9dca-cef7c09f741c.1633752.junction_quantification.txt	TCGA-AP-A05O-01A-12R-A118-07
unc.edu.00186124-cecf-4580-9dca-cef7c09f741c.1635105.rsem.genes.results	TCGA-AP-A05O-01A-12R-A118-07
unc.edu.00186124-cecf-4580-9dca-cef7c09f741c.1635106.rsem.isoforms.results	TCGA-AP-A05O-01A-12R-A118-07
unc.edu.00186124-cecf-4580-9dca-cef7c09f741c.1635295.rsem.isoforms.normalized_results	TCGA-AP-A05O-01A-12R-A118-07
unc.edu.00186124-cecf-4580-9dca-cef7c09f741c.1635304.rsem.genes.normalized_results	TCGA-AP-A05O-01A-12R-A118-07
unc.edu.00186124-cecf-4580-9dca-cef7c09f741c.1753560.bt.exon_quantification.txt	TCGA-AP-A05O-01A-12R-A118-07
unc.edu.00ea54c2-1043-4a7f-ae62-e2851eb94ba1.1603724.junction_quantification.txt	TCGA-D1-A1O7-01A-11R-A14D-07
unc.edu.00ea54c2-1043-4a7f-ae62-e2851eb94ba1.1604625.rsem.genes.results	TCGA-D1-A1O7-01A-11R-A14D-07
unc.edu.00ea54c2-1043-4a7f-ae62-e2851eb94ba1.1604626.rsem.isoforms.results	TCGA-D1-A1O7-01A-11R-A14D-07
unc.edu.00ea54c2-1043-4a7f-ae62-e2851eb94ba1.1604730.rsem.genes.normalized_results	TCGA-D1-A1O7-01A-11R-A14D-07
unc.edu.00ea54c2-1043-4a7f-ae62-e2851eb94ba1.1604733.rsem.isoforms.normalized_results	TCGA-D1-A1O7-01A-11R-A14D-07
unc.edu.00ea54c2-1043-4a7f-ae62-e2851eb94ba1.1748378.bt.exon_quantification.txt	TCGA-D1-A1O7-01A-11R-A14D-07
unc.edu.02302c44-fe54-4b39-9bef-c56db229c2ac.1604296.junction_quantification.txt	TCGA-EY-A1GU-01A-11R-A13S-07
unc.edu.02302c44-fe54-4b39-9bef-c56db229c2ac.1605285.rsem.genes.results	TCGA-EY-A1GU-01A-11R-A13S-07
unc.edu.02302c44-fe54-4b39-9bef-c56db229c2ac.1605289.rsem.isoforms.results	TCGA-EY-A1GU-01A-11R-A13S-07
unc.edu.02302c44-fe54-4b39-9bef-c56db229c2ac.1605360.rsem.isoforms.normalized_results	TCGA-EY-A1GU-01A-11R-A13S-07
unc.edu.02302c44-fe54-4b39-9bef-c56db229c2ac.1605364.rsem.genes.normalized_results	TCGA-EY-A1GU-01A-11R-A13S-07
unc.edu.02302c44-fe54-4b39-9bef-c56db229c2ac.1748752.bt.exon_quantification.txt	TCGA-EY-A1GU-01A-11R-A13S-07
unc.edu.02528092-3a7a-4ddf-8801-e47a48fdeafe.1610863.junction_quantification.txt	TCGA-AP-A05A-01A-11R-A00V-07
unc.edu.02528092-3a7a-4ddf-8801-e47a48fdeafe.1611044.rsem.genes.results	TCGA-AP-A05A-01A-11R-A00V-07
unc.edu.02528092-3a7a-4ddf-8801-e47a48fdeafe.1611045.rsem.isoforms.results	TCGA-AP-A05A-01A-11R-A00V-07
unc.edu.02528092-3a7a-4ddf-8801-e47a48fdeafe.1611096.rsem.isoforms.normalized_results	TCGA-AP-A05A-01A-11R-A00V-07
unc.edu.02528092-3a7a-4ddf-8801-e47a48fdeafe.1611097.rsem.genes.normalized_results	TCGA-AP-A05A-01A-11R-A00V-07
unc.edu.02528092-3a7a-4ddf-8801-e47a48fdeafe.1755399.bt.exon_quantification.txt	TCGA-AP-A05A-01A-11R-A00V-07
unc.edu.03141105-bc66-4e89-ad97-c54fcf189468.1626313.junction_quantification.txt	TCGA-AX-A2HD-01A-21R-A17B-07
unc.edu.03141105-bc66-4e89-ad97-c54fcf189468.1628050.rsem.genes.results	TCGA-AX-A2HD-01A-21R-A17B-07
unc.edu.03141105-bc66-4e89-ad97-c54fcf189468.1628081.rsem.isoforms.results	TCGA-AX-A2HD-01A-21R-A17B-07
unc.edu.03141105-bc66-4e89-ad97-c54fcf189468.1628166.rsem.genes.normalized_results	TCGA-AX-A2HD-01A-21R-A17B-07
unc.edu.03141105-bc66-4e89-ad97-c54fcf189468.1628167.rsem.isoforms.normalized_results	TCGA-AX-A2HD-01A-21R-A17B-07
unc.edu.03141105-bc66-4e89-ad97-c54fcf189468.1751573.bt.exon_quantification.txt	TCGA-AX-A2HD-01A-21R-A17B-07
unc.edu.05a3cad5-b1a2-481d-a2b7-f0e80ec78ed2.1613867.junction_quantification.txt	TCGA-DF-A2KS-01A-11R-A18M-07
unc.edu.05a3cad5-b1a2-481d-a2b7-f0e80ec78ed2.1615516.rsem.genes.results	TCGA-DF-A2KS-01A-11R-A18M-07
unc.edu.05a3cad5-b1a2-481d-a2b7-f0e80ec78ed2.1615517.rsem.isoforms.results	TCGA-DF-A2KS-01A-11R-A18M-07
unc.edu.05a3cad5-b1a2-481d-a2b7-f0e80ec78ed2.1615623.rsem.genes.normalized_results	TCGA-DF-A2KS-01A-11R-A18M-07
unc.edu.05a3cad5-b1a2-481d-a2b7-f0e80ec78ed2.1615632.rsem.isoforms.normalized_results	TCGA-DF-A2KS-01A-11R-A18M-07
unc.edu.05a3cad5-b1a2-481d-a2b7-f0e80ec78ed2.1749533.bt.exon_quantification.txt	TCGA-DF-A2KS-01A-11R-A18M-07
unc.edu.06745c8c-5e2b-4131-93a5-9023c32665ac.1618875.junction_quantification.txt	TCGA-FI-A2EX-01A-11R-A17B-07
unc.edu.06745c8c-5e2b-4131-93a5-9023c32665ac.1619867.rsem.genes.results	TCGA-FI-A2EX-01A-11R-A17B-07
unc.edu.06745c8c-5e2b-4131-93a5-9023c32665ac.1619869.rsem.isoforms.results	TCGA-FI-A2EX-01A-11R-A17B-07
unc.edu.06745c8c-5e2b-4131-93a5-9023c32665ac.1620077.rsem.genes.normalized_results	TCGA-FI-A2EX-01A-11R-A17B-07
unc.edu.06745c8c-5e2b-4131-93a5-9023c32665ac.1620078.rsem.isoforms.normalized_results	TCGA-FI-A2EX-01A-11R-A17B-07
unc.edu.06745c8c-5e2b-4131-93a5-9023c32665ac.1752002.bt.exon_quantification.txt	TCGA-FI-A2EX-01A-11R-A17B-07
unc.edu.06c39fc6-9167-4913-bf84-4fde036869a2.1607447.junction_quantification.txt	TCGA-BG-A0MU-01A-11R-A104-07
unc.edu.06c39fc6-9167-4913-bf84-4fde036869a2.1607927.rsem.genes.results	TCGA-BG-A0MU-01A-11R-A104-07
unc.edu.06c39fc6-9167-4913-bf84-4fde036869a2.1607929.rsem.isoforms.results	TCGA-BG-A0MU-01A-11R-A104-07
unc.edu.06c39fc6-9167-4913-bf84-4fde036869a2.1608033.rsem.isoforms.normalized_results	TCGA-BG-A0MU-01A-11R-A104-07
unc.edu.06c39fc6-9167-4913-bf84-4fde036869a2.1608043.rsem.genes.normalized_results	TCGA-BG-A0MU-01A-11R-A104-07
unc.edu.06c39fc6-9167-4913-bf84-4fde036869a2.1754884.bt.exon_quantification.txt	TCGA-BG-A0MU-01A-11R-A104-07
unc.edu.06ee29fc-036c-4c36-b62b-f304c6ccad50.1632369.junction_quantification.txt	TCGA-AX-A06L-01A-11R-A118-07
unc.edu.06ee29fc-036c-4c36-b62b-f304c6ccad50.1632869.rsem.genes.results	TCGA-AX-A06L-01A-11R-A118-07
unc.edu.06ee29fc-036c-4c36-b62b-f304c6ccad50.1632881.rsem.isoforms.results	TCGA-AX-A06L-01A-11R-A118-07
unc.edu.06ee29fc-036c-4c36-b62b-f304c6ccad50.1632985.rsem.isoforms.normalized_results	TCGA-AX-A06L-01A-11R-A118-07
unc.edu.06ee29fc-036c-4c36-b62b-f304c6ccad50.1632986.rsem.genes.normalized_results	TCGA-AX-A06L-01A-11R-A118-07
unc.edu.06ee29fc-036c-4c36-b62b-f304c6ccad50.1753541.bt.exon_quantification.txt	TCGA-AX-A06L-01A-11R-A118-07
unc.edu.07508c27-8f79-414e-af9d-e78240df5c48.1626386.junction_quantification.txt	TCGA-D1-A17U-01A-21R-A12I-07
unc.edu.07508c27-8f79-414e-af9d-e78240df5c48.1627878.rsem.genes.results	TCGA-D1-A17U-01A-21R-A12I-07
unc.edu.07508c27-8f79-414e-af9d-e78240df5c48.1627879.rsem.isoforms.results	TCGA-D1-A17U-01A-21R-A12I-07
unc.edu.07508c27-8f79-414e-af9d-e78240df5c48.1627970.rsem.genes.normalized_results	TCGA-D1-A17U-01A-21R-A12I-07
unc.edu.07508c27-8f79-414e-af9d-e78240df5c48.1627973.rsem.isoforms.normalized_results	TCGA-D1-A17U-01A-21R-A12I-07
unc.edu.07508c27-8f79-414e-af9d-e78240df5c48.1752789.bt.exon_quantification.txt	TCGA-D1-A17U-01A-21R-A12I-07
unc.edu.0824e6ac-f3f0-4b71-81a3-7ee671a256eb.1624415.junction_quantification.txt	TCGA-A5-A0R7-01A-31R-A16W-07
unc.edu.0824e6ac-f3f0-4b71-81a3-7ee671a256eb.1625430.rsem.genes.results	TCGA-A5-A0R7-01A-31R-A16W-07
unc.edu.0824e6ac-f3f0-4b71-81a3-7ee671a256eb.1625474.rsem.isoforms.results	TCGA-A5-A0R7-01A-31R-A16W-07
unc.edu.0824e6ac-f3f0-4b71-81a3-7ee671a256eb.1625588.rsem.genes.normalized_results	TCGA-A5-A0R7-01A-31R-A16W-07
unc.edu.0824e6ac-f3f0-4b71-81a3-7ee671a256eb.1625590.rsem.isoforms.normalized_results	TCGA-A5-A0R7-01A-31R-A16W-07
unc.edu.0824e6ac-f3f0-4b71-81a3-7ee671a256eb.1752392.bt.exon_quantification.txt	TCGA-A5-A0R7-01A-31R-A16W-07
unc.edu.08890bb3-7ad1-41c2-8774-b10bf86ee047.1623432.junction_quantification.txt	TCGA-BS-A0UV-01A-11R-A16W-07
unc.edu.08890bb3-7ad1-41c2-8774-b10bf86ee047.1623919.rsem.genes.results	TCGA-BS-A0UV-01A-11R-A16W-07
unc.edu.08890bb3-7ad1-41c2-8774-b10bf86ee047.1623920.rsem.isoforms.results	TCGA-BS-A0UV-01A-11R-A16W-07
unc.edu.08890bb3-7ad1-41c2-8774-b10bf86ee047.1623957.rsem.isoforms.normalized_results	TCGA-BS-A0UV-01A-11R-A16W-07
unc.edu.08890bb3-7ad1-41c2-8774-b10bf86ee047.1623958.rsem.genes.normalized_results	TCGA-BS-A0UV-01A-11R-A16W-07
unc.edu.08890bb3-7ad1-41c2-8774-b10bf86ee047.1752375.bt.exon_quantification.txt	TCGA-BS-A0UV-01A-11R-A16W-07
unc.edu.093be209-e5ac-4129-83b2-5f79f6a5c15f.1616175.junction_quantification.txt	TCGA-B5-A0JX-01A-21R-A14M-07
unc.edu.093be209-e5ac-4129-83b2-5f79f6a5c15f.1616981.rsem.genes.results	TCGA-B5-A0JX-01A-21R-A14M-07
unc.edu.093be209-e5ac-4129-83b2-5f79f6a5c15f.1616990.rsem.isoforms.results	TCGA-B5-A0JX-01A-21R-A14M-07
unc.edu.093be209-e5ac-4129-83b2-5f79f6a5c15f.1617158.rsem.genes.normalized_results	TCGA-B5-A0JX-01A-21R-A14M-07
unc.edu.093be209-e5ac-4129-83b2-5f79f6a5c15f.1617159.rsem.isoforms.normalized_results	TCGA-B5-A0JX-01A-21R-A14M-07
unc.edu.093be209-e5ac-4129-83b2-5f79f6a5c15f.1751947.bt.exon_quantification.txt	TCGA-B5-A0JX-01A-21R-A14M-07
unc.edu.09807f16-30aa-47b0-ace0-0dfb6a5342c2.1630068.junction_quantification.txt	TCGA-D1-A167-01A-11R-A12I-07
unc.edu.09807f16-30aa-47b0-ace0-0dfb6a5342c2.1631136.rsem.genes.results	TCGA-D1-A167-01A-11R-A12I-07
unc.edu.09807f16-30aa-47b0-ace0-0dfb6a5342c2.1631137.rsem.isoforms.results	TCGA-D1-A167-01A-11R-A12I-07
unc.edu.09807f16-30aa-47b0-ace0-0dfb6a5342c2.1631167.rsem.isoforms.normalized_results	TCGA-D1-A167-01A-11R-A12I-07
unc.edu.09807f16-30aa-47b0-ace0-0dfb6a5342c2.1631188.rsem.genes.normalized_results	TCGA-D1-A167-01A-11R-A12I-07
unc.edu.09807f16-30aa-47b0-ace0-0dfb6a5342c2.1753163.bt.exon_quantification.txt	TCGA-D1-A167-01A-11R-A12I-07
unc.edu.09b4aa83-d8e7-4615-bfad-da877df4fe7d.1637356.junction_quantification.txt	TCGA-BG-A0MS-01A-11R-A104-07
unc.edu.09b4aa83-d8e7-4615-bfad-da877df4fe7d.1637801.rsem.genes.results	TCGA-BG-A0MS-01A-11R-A104-07
unc.edu.09b4aa83-d8e7-4615-bfad-da877df4fe7d.1637802.rsem.isoforms.results	TCGA-BG-A0MS-01A-11R-A104-07
unc.edu.09b4aa83-d8e7-4615-bfad-da877df4fe7d.1637842.rsem.genes.normalized_results	TCGA-BG-A0MS-01A-11R-A104-07
unc.edu.09b4aa83-d8e7-4615-bfad-da877df4fe7d.1637843.rsem.isoforms.normalized_results	TCGA-BG-A0MS-01A-11R-A104-07
unc.edu.09b4aa83-d8e7-4615-bfad-da877df4fe7d.1754595.bt.exon_quantification.txt	TCGA-BG-A0MS-01A-11R-A104-07
